; Candidate 5189
; ADRP+ADD at VM 0xfffffff0087de650 (fileoff 0x17da650): page=0x1fea0b000 add_imm=0xe80

0xfffffff0087de5d0: 18020034  cbz	w24, #0xfffffff0087de610
0xfffffff0087de5d4: 68ee40b9  ldr	w8, [x19, #0xec]
0xfffffff0087de5d8: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff0087de5dc: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff0087de5e0: a851ff90  adrp	x8, #0xfffffff007212000
0xfffffff0087de5e4: 08553591  add	x8, x8, #0xd55
0xfffffff0087de5e8: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087de5ec: a851ff90  adrp	x8, #0xfffffff007212000
0xfffffff0087de5f0: 081d0291  add	x8, x8, #0x87
0xfffffff0087de5f4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087de5f8: 280a8052  mov	w8, #0x51
0xfffffff0087de5fc: a051ff90  adrp	x0, #0xfffffff007212000
0xfffffff0087de600: 00c82691  add	x0, x0, #0x9b2
0xfffffff0087de604: f72300a9  stp	x23, x8, [sp]
0xfffffff0087de608: 9663d797  bl	#0xfffffff007db7460
0xfffffff0087de60c: 19000014  b	#0xfffffff0087de670
0xfffffff0087de610: e7560394  bl	#0xfffffff0088b41ac
0xfffffff0087de614: f70300aa  mov	x23, x0
0xfffffff0087de618: e0008052  mov	w0, #7
0xfffffff0087de61c: 8d740294  bl	#0xfffffff00887b850
0xfffffff0087de620: e80316aa  mov	x8, x22
0xfffffff0087de624: 69ee40b9  ldr	w9, [x19, #0xec]
0xfffffff0087de628: f52304a9  stp	x21, x8, [sp, #0x40]
0xfffffff0087de62c: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff0087de630: a851ff90  adrp	x8, #0xfffffff007212000
0xfffffff0087de634: 08553591  add	x8, x8, #0xd55
0xfffffff0087de638: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087de63c: a851ff90  adrp	x8, #0xfffffff007212000
0xfffffff0087de640: 081d0291  add	x8, x8, #0x87
0xfffffff0087de644: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087de648: 280a8052  mov	w8, #0x51
0xfffffff0087de64c: f72300a9  stp	x23, x8, [sp]
0xfffffff0087de650: 4050fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087de654: 00003a91  add	x0, x0, #0xe80
0xfffffff0087de658: 4191ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087de65c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087de660: e352fff0  adrp	x3, #0xfffffff00723d000
0xfffffff0087de664: 63400e91  add	x3, x3, #0x390
0xfffffff0087de668: 02008052  mov	w2, #0
0xfffffff0087de66c: b152ed97  bl	#0xfffffff008333130
0xfffffff0087de670: e00316aa  mov	x0, x22
0xfffffff0087de674: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff0087de678: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff0087de67c: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff0087de680: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff0087de684: ff830291  add	sp, sp, #0xa0
0xfffffff0087de688: ff0f5fd6  retab	
0xfffffff0087de68c: 7f2303d5  pacibsp	
0xfffffff0087de690: ff4302d1  sub	sp, sp, #0x90
0xfffffff0087de694: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff0087de698: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff0087de69c: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff0087de6a0: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff0087de6a4: fd030291  add	x29, sp, #0x80
0xfffffff0087de6a8: f50302aa  mov	x21, x2
0xfffffff0087de6ac: f40301aa  mov	x20, x1
0xfffffff0087de6b0: f30300aa  mov	x19, x0
0xfffffff0087de6b4: 200a8052  mov	w0, #0x51
0xfffffff0087de6b8: 01018052  mov	w1, #8
0xfffffff0087de6bc: 45740294  bl	#0xfffffff00887b7d0
0xfffffff0087de6c0: 60050034  cbz	w0, #0xfffffff0087de76c
0xfffffff0087de6c4: 200a8052  mov	w0, #0x51
0xfffffff0087de6c8: 54740294  bl	#0xfffffff00887b818
0xfffffff0087de6cc: f70300aa  mov	x23, x0
