; Candidate 4555
; ADRP+ADD at VM 0xfffffff0087bb27c (fileoff 0x17b727c): page=0x1fe976000 add_imm=0xd90

0xfffffff0087bb1fc: 29054139  ldrb	w9, [x9, #0x41]
0xfffffff0087bb200: c9f8ff34  cbz	w9, #0xfffffff0087bb118
0xfffffff0087bb204: 014dfff0  adrp	x1, #0xfffffff00715e000
0xfffffff0087bb208: 21a82b91  add	x1, x1, #0xaea
0xfffffff0087bb20c: e00313aa  mov	x0, x19
0xfffffff0087bb210: 22008052  mov	w2, #1
0xfffffff0087bb214: 2b000094  bl	#0xfffffff0087bb2c0
0xfffffff0087bb218: 1f000071  cmp	w0, #0
0xfffffff0087bb21c: e8079f1a  cset	w8, ne
0xfffffff0087bb220: 693240f9  ldr	x9, [x19, #0x60]
0xfffffff0087bb224: 28810239  strb	w8, [x9, #0xa0]
0xfffffff0087bb228: bdffff17  b	#0xfffffff0087bb11c
0xfffffff0087bb22c: 28f98052  mov	w8, #0x7c9
0xfffffff0087bb230: a94cffb0  adrp	x9, #0xfffffff007150000
0xfffffff0087bb234: 29f90591  add	x9, x9, #0x17e
0xfffffff0087bb238: e92300a9  stp	x9, x8, [sp]
0xfffffff0087bb23c: a04bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087bb240: 00403691  add	x0, x0, #0xd90
0xfffffff0087bb244: 0192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bb248: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bb24c: 834cffb0  adrp	x3, #0xfffffff00714c000
0xfffffff0087bb250: 63ac3a91  add	x3, x3, #0xeab
0xfffffff0087bb254: 02008052  mov	w2, #0
0xfffffff0087bb258: b6dfed97  bl	#0xfffffff008333130
0xfffffff0087bb25c: 60f8ff17  b	#0xfffffff0087b93dc
0xfffffff0087bb260: 00008052  mov	w0, #0
0xfffffff0087bb264: 1f6b00b9  str	wzr, [x24, #0x68]
0xfffffff0087bb268: 5ef8ff17  b	#0xfffffff0087b93e0
0xfffffff0087bb26c: c9ff8052  mov	w9, #0x7fe
0xfffffff0087bb270: a84cffb0  adrp	x8, #0xfffffff007150000
0xfffffff0087bb274: 08f90591  add	x8, x8, #0x17e
0xfffffff0087bb278: e82700a9  stp	x8, x9, [sp]
0xfffffff0087bb27c: a04bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087bb280: 00403691  add	x0, x0, #0xd90
0xfffffff0087bb284: 0192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bb288: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bb28c: 834cffb0  adrp	x3, #0xfffffff00714c000
0xfffffff0087bb290: 63b43d91  add	x3, x3, #0xf6d
0xfffffff0087bb294: 02008052  mov	w2, #0
0xfffffff0087bb298: a6dfed97  bl	#0xfffffff008333130
0xfffffff0087bb29c: 50f8ff17  b	#0xfffffff0087b93dc
0xfffffff0087bb2a0: 5f2403d5  bti	c
0xfffffff0087bb2a4: 081040b9  ldr	w8, [x0, #0x10]
0xfffffff0087bb2a8: 090840b9  ldr	w9, [x0, #8]
0xfffffff0087bb2ac: 0801094b  sub	w8, w8, w9
0xfffffff0087bb2b0: 08711d53  lsl	w8, w8, #3
0xfffffff0087bb2b4: 092c40b9  ldr	w9, [x0, #0x2c]
0xfffffff0087bb2b8: 0001094b  sub	w0, w8, w9
0xfffffff0087bb2bc: c0035fd6  ret	
0xfffffff0087bb2c0: 7f2303d5  pacibsp	
0xfffffff0087bb2c4: ff0302d1  sub	sp, sp, #0x80
0xfffffff0087bb2c8: fa6703a9  stp	x26, x25, [sp, #0x30]
0xfffffff0087bb2cc: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff0087bb2d0: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff0087bb2d4: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff0087bb2d8: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff0087bb2dc: fdc30191  add	x29, sp, #0x70
0xfffffff0087bb2e0: 42010034  cbz	w2, #0xfffffff0087bb308
0xfffffff0087bb2e4: f30302aa  mov	x19, x2
0xfffffff0087bb2e8: f40301aa  mov	x20, x1
0xfffffff0087bb2ec: f50300aa  mov	x21, x0
0xfffffff0087bb2f0: 37008052  mov	w23, #1
0xfffffff0087bb2f4: 1701a072  movk	w23, #8, lsl #16
0xfffffff0087bb2f8: 082c40b9  ldr	w8, [x0, #0x2c]
