; Candidate 12502
; ADRP+ADD at VM 0xfffffff0090aa888 (fileoff 0x20a6888): page=0x1fe3af000 add_imm=0xe24

0xfffffff0090aa808: 991dfff0  adrp	x25, #0xfffffff00745d000
0xfffffff0090aa80c: 39433c91  add	x25, x25, #0xf10
0xfffffff0090aa810: 1f290071  cmp	w8, #0xa
0xfffffff0090aa814: a8000054  b.hi	#0xfffffff0090aa828
0xfffffff0090aa818: f96300a9  stp	x25, x24, [sp]
0xfffffff0090aa81c: 601dfff0  adrp	x0, #0xfffffff007459000
0xfffffff0090aa820: 00583191  add	x0, x0, #0xc56
0xfffffff0090aa824: ffb1ca97  bl	#0xfffffff008357020
0xfffffff0090aa828: 930400b4  cbz	x19, #0xfffffff0090aa8b8
0xfffffff0090aa82c: 680240f9  ldr	x8, [x19]
0xfffffff0090aa830: 1b0114ab  adds	x27, x8, x20
0xfffffff0090aa834: 02060054  b.hs	#0xfffffff0090aa8f4
0xfffffff0090aa838: 760000b4  cbz	x22, #0xfffffff0090aa844
0xfffffff0090aa83c: 7f0317eb  cmp	x27, x23
0xfffffff0090aa840: e8060054  b.hi	#0xfffffff0090aa91c
0xfffffff0090aa844: 160100b4  cbz	x22, #0xfffffff0090aa864
0xfffffff0090aa848: f50000b4  cbz	x21, #0xfffffff0090aa864
0xfffffff0090aa84c: d40000b4  cbz	x20, #0xfffffff0090aa864
0xfffffff0090aa850: c00208ab  adds	x0, x22, x8
0xfffffff0090aa854: 22080054  b.hs	#0xfffffff0090aa958
0xfffffff0090aa858: e10315aa  mov	x1, x21
0xfffffff0090aa85c: e20314aa  mov	x2, x20
0xfffffff0090aa860: 4c88b297  bl	#0xfffffff007d4c990
0xfffffff0090aa864: 14008052  mov	w20, #0
0xfffffff0090aa868: 7b0200f9  str	x27, [x19]
0xfffffff0090aa86c: 48018052  mov	w8, #0xa
0xfffffff0090aa870: 49034039  ldrb	w9, [x26]
0xfffffff0090aa874: 1f01096b  cmp	w8, w9
0xfffffff0090aa878: e3000054  b.lo	#0xfffffff0090aa894
0xfffffff0090aa87c: 887e4093  sxtw	x8, w20
0xfffffff0090aa880: f96300a9  stp	x25, x24, [sp]
0xfffffff0090aa884: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090aa888: 601dfff0  adrp	x0, #0xfffffff007459000
0xfffffff0090aa88c: 00903891  add	x0, x0, #0xe24
0xfffffff0090aa890: e4b1ca97  bl	#0xfffffff008357020
0xfffffff0090aa894: e00314aa  mov	x0, x20
0xfffffff0090aa898: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff0090aa89c: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff0090aa8a0: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff0090aa8a4: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff0090aa8a8: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff0090aa8ac: fc6f43a9  ldp	x28, x27, [sp, #0x30]
0xfffffff0090aa8b0: ff430291  add	sp, sp, #0x90
0xfffffff0090aa8b4: ff0f5fd6  retab	
0xfffffff0090aa8b8: 28068052  mov	w8, #0x31
0xfffffff0090aa8bc: c91dffd0  adrp	x9, #0xfffffff007464000
0xfffffff0090aa8c0: 29a52d91  add	x9, x9, #0xb69
0xfffffff0090aa8c4: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0090aa8c8: 681dfff0  adrp	x8, #0xfffffff007459000
0xfffffff0090aa8cc: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090aa8d0: ca1dffd0  adrp	x10, #0xfffffff007464000
0xfffffff0090aa8d4: 4a812d91  add	x10, x10, #0xb60
0xfffffff0090aa8d8: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff0090aa8dc: ea0300f9  str	x10, [sp]
0xfffffff0090aa8e0: 601dfff0  adrp	x0, #0xfffffff007459000
0xfffffff0090aa8e4: 00d42c91  add	x0, x0, #0xb35
0xfffffff0090aa8e8: ceb1ca97  bl	#0xfffffff008357020
0xfffffff0090aa8ec: 54008012  mov	w20, #-3
0xfffffff0090aa8f0: 29000014  b	#0xfffffff0090aa994
0xfffffff0090aa8f4: ca068052  mov	w10, #0x36
0xfffffff0090aa8f8: c81dffd0  adrp	x8, #0xfffffff007464000
0xfffffff0090aa8fc: 08a52d91  add	x8, x8, #0xb69
0xfffffff0090aa900: 691dfff0  adrp	x9, #0xfffffff007459000
0xfffffff0090aa904: 29b92d91  add	x9, x9, #0xb6e
