; Candidate 13425
; ADRP+ADD at VM 0xfffffff0092cfebc (fileoff 0x22cbebc): page=0x1fe210000 add_imm=0xe26

0xfffffff0092cfe3c: 400300b4  cbz	x0, #0xfffffff0092cfea4
0xfffffff0092cfe40: 700240f9  ldr	x16, [x19]
0xfffffff0092cfe44: f10313aa  mov	x17, x19
0xfffffff0092cfe48: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cfe4c: 301ac1da  autda	x16, x17
0xfffffff0092cfe50: 116e80d2  mov	x17, #0x370
0xfffffff0092cfe54: 1002118b  add	x16, x16, x17
0xfffffff0092cfe58: 080240f9  ldr	x8, [x16]
0xfffffff0092cfe5c: e90310aa  mov	x9, x16
0xfffffff0092cfe60: e00313aa  mov	x0, x19
0xfffffff0092cfe64: f10309aa  mov	x17, x9
0xfffffff0092cfe68: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0092cfe6c: 11093fd7  blraa	x8, x17
0xfffffff0092cfe70: 100040f9  ldr	x16, [x0]
0xfffffff0092cfe74: f10300aa  mov	x17, x0
0xfffffff0092cfe78: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cfe7c: 301ac1da  autda	x16, x17
0xfffffff0092cfe80: 113d80d2  mov	x17, #0x1e8
0xfffffff0092cfe84: 1002118b  add	x16, x16, x17
0xfffffff0092cfe88: 080240f9  ldr	x8, [x16]
0xfffffff0092cfe8c: e90310aa  mov	x9, x16
0xfffffff0092cfe90: 010080d2  mov	x1, #0
0xfffffff0092cfe94: f10309aa  mov	x17, x9
0xfffffff0092cfe98: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092cfe9c: 11093fd7  blraa	x8, x17
0xfffffff0092cfea0: 03000014  b	#0xfffffff0092cfeac
0xfffffff0092cfea4: 6010fff0  adrp	x0, #0xfffffff0074de000
0xfffffff0092cfea8: 00102191  add	x0, x0, #0x844
0xfffffff0092cfeac: a8024079  ldrh	w8, [x21]
0xfffffff0092cfeb0: f4a301a9  stp	x20, x8, [sp, #0x18]
0xfffffff0092cfeb4: f78300a9  stp	x23, x0, [sp, #8]
0xfffffff0092cfeb8: f60300f9  str	x22, [sp]
0xfffffff0092cfebc: 8010ff90  adrp	x0, #0xfffffff0074df000
0xfffffff0092cfec0: 00983891  add	x0, x0, #0xe26
0xfffffff0092cfec4: 571cc297  bl	#0xfffffff008357020
0xfffffff0092cfec8: 75aa3a91  add	x21, x19, #0xeaa
0xfffffff0092cfecc: 9410ff90  adrp	x20, #0xfffffff0074df000
0xfffffff0092cfed0: 94ce3291  add	x20, x20, #0xcb3
0xfffffff0092cfed4: e00314aa  mov	x0, x20
0xfffffff0092cfed8: e10315aa  mov	x1, x21
0xfffffff0092cfedc: 42008052  mov	w2, #2
0xfffffff0092cfee0: 3674c697  bl	#0xfffffff00846cfb8
0xfffffff0092cfee4: c0070034  cbz	w0, #0xfffffff0092cffdc
0xfffffff0092cfee8: 700240f9  ldr	x16, [x19]
0xfffffff0092cfeec: f10313aa  mov	x17, x19
0xfffffff0092cfef0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cfef4: 301ac1da  autda	x16, x17
0xfffffff0092cfef8: 113d80d2  mov	x17, #0x1e8
0xfffffff0092cfefc: 1002118b  add	x16, x16, x17
0xfffffff0092cff00: 080240f9  ldr	x8, [x16]
0xfffffff0092cff04: e90310aa  mov	x9, x16
0xfffffff0092cff08: e00313aa  mov	x0, x19
0xfffffff0092cff0c: 010080d2  mov	x1, #0
0xfffffff0092cff10: f10309aa  mov	x17, x9
0xfffffff0092cff14: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092cff18: 11093fd7  blraa	x8, x17
0xfffffff0092cff1c: f60300aa  mov	x22, x0
0xfffffff0092cff20: 700240f9  ldr	x16, [x19]
0xfffffff0092cff24: f10313aa  mov	x17, x19
0xfffffff0092cff28: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cff2c: 301ac1da  autda	x16, x17
0xfffffff0092cff30: 116e80d2  mov	x17, #0x370
0xfffffff0092cff34: 1002118b  add	x16, x16, x17
0xfffffff0092cff38: 080240f9  ldr	x8, [x16]
