; Candidate 10843
; ADRP+ADD at VM 0xfffffff008de93e8 (fileoff 0x1de53e8): page=0x1fe5db000 add_imm=0xe15

0xfffffff008de9368: df0208eb  cmp	x22, x8
0xfffffff008de936c: 83feff54  b.lo	#0xfffffff008de933c
0xfffffff008de9370: cfffff17  b	#0xfffffff008de92ac
0xfffffff008de9374: 15008052  mov	w21, #0
0xfffffff008de9378: cdffff17  b	#0xfffffff008de92ac
0xfffffff008de937c: a8688052  mov	w8, #0x345
0xfffffff008de9380: c92effb0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de9384: 29e92e91  add	x9, x9, #0xbba
0xfffffff008de9388: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de938c: c82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de9390: 08493991  add	x8, x8, #0xe52
0xfffffff008de9394: ca2eff90  adrp	x10, #0xfffffff0073c1000
0xfffffff008de9398: 4ab12391  add	x10, x10, #0x8ec
0xfffffff008de939c: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008de93a0: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff008de93a4: c02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de93a8: 00543891  add	x0, x0, #0xe15
0xfffffff008de93ac: 1db7d597  bl	#0xfffffff008357020
0xfffffff008de93b0: 55008012  mov	w21, #-3
0xfffffff008de93b4: beffff17  b	#0xfffffff008de92ac
0xfffffff008de93b8: f50300aa  mov	x21, x0
0xfffffff008de93bc: a87e4093  sxtw	x8, w21
0xfffffff008de93c0: a9668052  mov	w9, #0x335
0xfffffff008de93c4: ca2effb0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de93c8: 4ae92e91  add	x10, x10, #0xbba
0xfffffff008de93cc: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008de93d0: c92efff0  adrp	x9, #0xfffffff0073c4000
0xfffffff008de93d4: 29493991  add	x9, x9, #0xe52
0xfffffff008de93d8: cb2efff0  adrp	x11, #0xfffffff0073c4000
0xfffffff008de93dc: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008de93e0: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008de93e4: eb0300f9  str	x11, [sp]
0xfffffff008de93e8: c02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de93ec: 00543891  add	x0, x0, #0xe15
0xfffffff008de93f0: 0cb7d597  bl	#0xfffffff008357020
0xfffffff008de93f4: aeffff17  b	#0xfffffff008de92ac
0xfffffff008de93f8: 28628052  mov	w8, #0x311
0xfffffff008de93fc: c92effb0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de9400: 29e92e91  add	x9, x9, #0xbba
0xfffffff008de9404: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de9408: c82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de940c: 08493991  add	x8, x8, #0xe52
0xfffffff008de9410: ca2eff90  adrp	x10, #0xfffffff0073c1000
0xfffffff008de9414: 4a092191  add	x10, x10, #0x842
0xfffffff008de9418: e1ffff17  b	#0xfffffff008de939c
0xfffffff008de941c: 48628052  mov	w8, #0x312
0xfffffff008de9420: c92effb0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de9424: 29e92e91  add	x9, x9, #0xbba
0xfffffff008de9428: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de942c: c82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de9430: 08493991  add	x8, x8, #0xe52
0xfffffff008de9434: ca2effb0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de9438: 4a713091  add	x10, x10, #0xc1c
0xfffffff008de943c: d8ffff17  b	#0xfffffff008de939c
0xfffffff008de9440: a87e4093  sxtw	x8, w21
0xfffffff008de9444: c9678052  mov	w9, #0x33e
0xfffffff008de9448: ca2effb0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de944c: 4ae92e91  add	x10, x10, #0xbba
0xfffffff008de9450: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008de9454: c92efff0  adrp	x9, #0xfffffff0073c4000
0xfffffff008de9458: 29493991  add	x9, x9, #0xe52
0xfffffff008de945c: cb2efff0  adrp	x11, #0xfffffff0073c4000
0xfffffff008de9460: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008de9464: e8a700a9  stp	x8, x9, [sp, #8]
