; Candidate 5072
; ADRP+ADD at VM 0xfffffff0087d6864 (fileoff 0x17d2864): page=0x1fea13000 add_imm=0xe80

0xfffffff0087d67e4: 48f90737  tbnz	w8, #0, #0xfffffff0087d670c
0xfffffff0087d67e8: 20296a1e  fadd	d0, d9, d10
0xfffffff0087d67ec: 01106c1e  fmov	d1, #0.50000000
0xfffffff0087d67f0: 0008611e  fmul	d0, d0, d1
0xfffffff0087d67f4: c0ffff17  b	#0xfffffff0087d66f4
0xfffffff0087d67f8: f6030caa  mov	x22, x12
0xfffffff0087d67fc: 6c760394  bl	#0xfffffff0088b41ac
0xfffffff0087d6800: e03300f9  str	x0, [sp, #0x60]
0xfffffff0087d6804: e0008052  mov	w0, #7
0xfffffff0087d6808: 12940294  bl	#0xfffffff00887b850
0xfffffff0087d680c: 807a7afc  ldr	d0, [x20, x26, lsl #3]
0xfffffff0087d6810: 00086c1e  fmul	d0, d0, d12
0xfffffff0087d6814: 0800781e  fcvtzs	w8, d0
0xfffffff0087d6818: 807a79fc  ldr	d0, [x20, x25, lsl #3]
0xfffffff0087d681c: 00086c1e  fmul	d0, d0, d12
0xfffffff0087d6820: 0900781e  fcvtzs	w9, d0
0xfffffff0087d6824: 807a78fc  ldr	d0, [x20, x24, lsl #3]
0xfffffff0087d6828: 00086c1e  fmul	d0, d0, d12
0xfffffff0087d682c: 0a00781e  fcvtzs	w10, d0
0xfffffff0087d6830: 807a77fc  ldr	d0, [x20, x23, lsl #3]
0xfffffff0087d6834: 00086c1e  fmul	d0, d0, d12
0xfffffff0087d6838: 0b00781e  fcvtzs	w11, d0
0xfffffff0087d683c: f56f03a9  stp	x21, x27, [sp, #0x30]
0xfffffff0087d6840: f67302a9  stp	x22, x28, [sp, #0x20]
0xfffffff0087d6844: e04f01a9  stp	x0, x19, [sp, #0x10]
0xfffffff0087d6848: 6d0f8052  mov	w13, #0x7b
0xfffffff0087d684c: ec3340f9  ldr	x12, [sp, #0x60]
0xfffffff0087d6850: ec3700a9  stp	x12, x13, [sp]
0xfffffff0087d6854: ea2f05a9  stp	x10, x11, [sp, #0x50]
0xfffffff0087d6858: 2353ffb0  adrp	x3, #0xfffffff00723b000
0xfffffff0087d685c: 63782191  add	x3, x3, #0x85e
0xfffffff0087d6860: e82704a9  stp	x8, x9, [sp, #0x40]
0xfffffff0087d6864: 8050fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d6868: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d686c: 8191ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087d6870: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d6874: 02008052  mov	w2, #0
0xfffffff0087d6878: 2e72ed97  bl	#0xfffffff008333130
0xfffffff0087d687c: 0041601e  fmov	d0, d8
0xfffffff0087d6880: fd7b4fa9  ldp	x29, x30, [sp, #0xf0]
0xfffffff0087d6884: f44f4ea9  ldp	x20, x19, [sp, #0xe0]
0xfffffff0087d6888: f6574da9  ldp	x22, x21, [sp, #0xd0]
0xfffffff0087d688c: f85f4ca9  ldp	x24, x23, [sp, #0xc0]
0xfffffff0087d6890: fa674ba9  ldp	x26, x25, [sp, #0xb0]
0xfffffff0087d6894: fc6f4aa9  ldp	x28, x27, [sp, #0xa0]
0xfffffff0087d6898: e923496d  ldp	d9, d8, [sp, #0x90]
0xfffffff0087d689c: eb2b486d  ldp	d11, d10, [sp, #0x80]
0xfffffff0087d68a0: ed33476d  ldp	d13, d12, [sp, #0x70]
0xfffffff0087d68a4: ff030491  add	sp, sp, #0x100
0xfffffff0087d68a8: ff0f5fd6  retab	
0xfffffff0087d68ac: 7f2303d5  pacibsp	
0xfffffff0087d68b0: ffc303d1  sub	sp, sp, #0xf0
0xfffffff0087d68b4: eb2b076d  stp	d11, d10, [sp, #0x70]
0xfffffff0087d68b8: e923086d  stp	d9, d8, [sp, #0x80]
0xfffffff0087d68bc: fc6f09a9  stp	x28, x27, [sp, #0x90]
0xfffffff0087d68c0: fa670aa9  stp	x26, x25, [sp, #0xa0]
0xfffffff0087d68c4: f85f0ba9  stp	x24, x23, [sp, #0xb0]
0xfffffff0087d68c8: f6570ca9  stp	x22, x21, [sp, #0xc0]
0xfffffff0087d68cc: f44f0da9  stp	x20, x19, [sp, #0xd0]
0xfffffff0087d68d0: fd7b0ea9  stp	x29, x30, [sp, #0xe0]
0xfffffff0087d68d4: fd830391  add	x29, sp, #0xe0
0xfffffff0087d68d8: f70304aa  mov	x23, x4
0xfffffff0087d68dc: f60303aa  mov	x22, x3
0xfffffff0087d68e0: f50301aa  mov	x21, x1
