; Candidate 8463
; ADRP+ADD at VM 0xfffffff0088ac1e4 (fileoff 0x18a81e4): page=0x1fe93d000 add_imm=0xe80

0xfffffff0088ac164: 3405f8b7  tbnz	x20, #0x3f, #0xfffffff0088ac208
0xfffffff0088ac168: 1505f837  tbnz	w21, #0x1f, #0xfffffff0088ac208
0xfffffff0088ac16c: 68964cb9  ldr	w8, [x19, #0xc94]
0xfffffff0088ac170: 1f01156b  cmp	w8, w21
0xfffffff0088ac174: ad040054  b.le	#0xfffffff0088ac208
0xfffffff0088ac178: 6852358b  add	x8, x19, w21, uxtw #4
0xfffffff0088ac17c: 16413091  add	x22, x8, #0xc10
0xfffffff0088ac180: e00316aa  mov	x0, x22
0xfffffff0088ac184: 810ffe97  bl	#0xfffffff00882ff88
0xfffffff0088ac188: f70300aa  mov	x23, x0
0xfffffff0088ac18c: e00316aa  mov	x0, x22
0xfffffff0088ac190: 930ffe97  bl	#0xfffffff00882ffdc
0xfffffff0088ac194: ff0200eb  cmp	x23, x0
0xfffffff0088ac198: e00d0054  b.eq	#0xfffffff0088ac354
0xfffffff0088ac19c: e80e40f9  ldr	x8, [x23, #0x18]
0xfffffff0088ac1a0: 1f0114eb  cmp	x8, x20
0xfffffff0088ac1a4: e0090054  b.eq	#0xfffffff0088ac2e0
0xfffffff0088ac1a8: e00317aa  mov	x0, x23
0xfffffff0088ac1ac: 4a0dfe97  bl	#0xfffffff00882f6d4
0xfffffff0088ac1b0: f6ffff17  b	#0xfffffff0088ac188
0xfffffff0088ac1b4: fe1f0094  bl	#0xfffffff0088b41ac
0xfffffff0088ac1b8: f60300aa  mov	x22, x0
0xfffffff0088ac1bc: e0008052  mov	w0, #7
0xfffffff0088ac1c0: a43dff97  bl	#0xfffffff00887b850
0xfffffff0088ac1c4: e80315aa  mov	x8, x21
0xfffffff0088ac1c8: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff0088ac1cc: 284cfff0  adrp	x8, #0xfffffff007233000
0xfffffff0088ac1d0: 08092091  add	x8, x8, #0x802
0xfffffff0088ac1d4: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088ac1d8: c80f8052  mov	w8, #0x7e
0xfffffff0088ac1dc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088ac1e0: f60300f9  str	x22, [sp]
0xfffffff0088ac1e4: e049ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088ac1e8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088ac1ec: e18aff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088ac1f0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088ac1f4: a34dfff0  adrp	x3, #0xfffffff007263000
0xfffffff0088ac1f8: 63e42291  add	x3, x3, #0x8b9
0xfffffff0088ac1fc: 02008052  mov	w2, #0
0xfffffff0088ac200: cc1bea97  bl	#0xfffffff008333130
0xfffffff0088ac204: 13fbffb5  cbnz	x19, #0xfffffff0088ac164
0xfffffff0088ac208: c00f8052  mov	w0, #0x7e
0xfffffff0088ac20c: 81008052  mov	w1, #4
0xfffffff0088ac210: 703dff97  bl	#0xfffffff00887b7d0
0xfffffff0088ac214: 20060034  cbz	w0, #0xfffffff0088ac2d8
0xfffffff0088ac218: c00f8052  mov	w0, #0x7e
0xfffffff0088ac21c: 7f3dff97  bl	#0xfffffff00887b818
0xfffffff0088ac220: f70300aa  mov	x23, x0
0xfffffff0088ac224: e21f0094  bl	#0xfffffff0088b41ac
0xfffffff0088ac228: f60300aa  mov	x22, x0
0xfffffff0088ac22c: 80008052  mov	w0, #4
0xfffffff0088ac230: 883dff97  bl	#0xfffffff00887b850
0xfffffff0088ac234: 37020034  cbz	w23, #0xfffffff0088ac278
0xfffffff0088ac238: e80315aa  mov	x8, x21
0xfffffff0088ac23c: f4a303a9  stp	x20, x8, [sp, #0x38]
0xfffffff0088ac240: 284cfff0  adrp	x8, #0xfffffff007233000
0xfffffff0088ac244: 08612191  add	x8, x8, #0x858
0xfffffff0088ac248: e9758052  mov	w9, #0x3af
0xfffffff0088ac24c: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0088ac250: 284cfff0  adrp	x8, #0xfffffff007233000
0xfffffff0088ac254: 08092091  add	x8, x8, #0x802
0xfffffff0088ac258: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088ac25c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088ac260: c80f8052  mov	w8, #0x7e
