; Candidate 5197
; ADRP+ADD at VM 0xfffffff0087dee34 (fileoff 0x17dae34): page=0x1fea0b000 add_imm=0xe80

0xfffffff0087dedb4: 37020034  cbz	w23, #0xfffffff0087dedf8
0xfffffff0087dedb8: 68ee40b9  ldr	w8, [x19, #0xec]
0xfffffff0087dedbc: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff0087dedc0: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff0087dedc4: a851ff90  adrp	x8, #0xfffffff007212000
0xfffffff0087dedc8: 09993591  add	x9, x8, #0xd66
0xfffffff0087dedcc: a851ff90  adrp	x8, #0xfffffff007212000
0xfffffff0087dedd0: 081d0291  add	x8, x8, #0x87
0xfffffff0087dedd4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087dedd8: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087deddc: 280a8052  mov	w8, #0x51
0xfffffff0087dede0: a051ff90  adrp	x0, #0xfffffff007212000
0xfffffff0087dede4: 000c2191  add	x0, x0, #0x843
0xfffffff0087dede8: f62300a9  stp	x22, x8, [sp]
0xfffffff0087dedec: 9d61d797  bl	#0xfffffff007db7460
0xfffffff0087dedf0: 540300b5  cbnz	x20, #0xfffffff0087dee58
0xfffffff0087dedf4: 22000014  b	#0xfffffff0087dee7c
0xfffffff0087dedf8: ed540394  bl	#0xfffffff0088b41ac
0xfffffff0087dedfc: f60300aa  mov	x22, x0
0xfffffff0087dee00: e0008052  mov	w0, #7
0xfffffff0087dee04: 93720294  bl	#0xfffffff00887b850
0xfffffff0087dee08: 68ee40b9  ldr	w8, [x19, #0xec]
0xfffffff0087dee0c: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff0087dee10: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff0087dee14: a851ff90  adrp	x8, #0xfffffff007212000
0xfffffff0087dee18: 09993591  add	x9, x8, #0xd66
0xfffffff0087dee1c: a851ff90  adrp	x8, #0xfffffff007212000
0xfffffff0087dee20: 081d0291  add	x8, x8, #0x87
0xfffffff0087dee24: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087dee28: 280a8052  mov	w8, #0x51
0xfffffff0087dee2c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087dee30: f60300f9  str	x22, [sp]
0xfffffff0087dee34: 4050fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087dee38: 00003a91  add	x0, x0, #0xe80
0xfffffff0087dee3c: 4191ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087dee40: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087dee44: e352fff0  adrp	x3, #0xfffffff00723d000
0xfffffff0087dee48: 63081291  add	x3, x3, #0x482
0xfffffff0087dee4c: 02008052  mov	w2, #0
0xfffffff0087dee50: b850ed97  bl	#0xfffffff008333130
0xfffffff0087dee54: 540100b4  cbz	x20, #0xfffffff0087dee7c
0xfffffff0087dee58: 350100b4  cbz	x21, #0xfffffff0087dee7c
0xfffffff0087dee5c: 606e40f9  ldr	x0, [x19, #0xd8]
0xfffffff0087dee60: c00400b4  cbz	x0, #0xfffffff0087deef8
0xfffffff0087dee64: 68aa40f9  ldr	x8, [x19, #0x150]
0xfffffff0087dee68: 880400b4  cbz	x8, #0xfffffff0087deef8
0xfffffff0087dee6c: 01008012  mov	w1, #-1
0xfffffff0087dee70: 57d8ff97  bl	#0xfffffff0087d4fcc
0xfffffff0087dee74: f60300aa  mov	x22, x0
0xfffffff0087dee78: 7c000014  b	#0xfffffff0087df068
0xfffffff0087dee7c: 200a8052  mov	w0, #0x51
0xfffffff0087dee80: 81008052  mov	w1, #4
0xfffffff0087dee84: 53720294  bl	#0xfffffff00887b7d0
0xfffffff0087dee88: 000b0034  cbz	w0, #0xfffffff0087defe8
0xfffffff0087dee8c: 200a8052  mov	w0, #0x51
0xfffffff0087dee90: 62720294  bl	#0xfffffff00887b818
0xfffffff0087dee94: f70300aa  mov	x23, x0
0xfffffff0087dee98: c5540394  bl	#0xfffffff0088b41ac
0xfffffff0087dee9c: f60300aa  mov	x22, x0
0xfffffff0087deea0: 80008052  mov	w0, #4
0xfffffff0087deea4: 6b720294  bl	#0xfffffff00887b850
0xfffffff0087deea8: b7060034  cbz	w23, #0xfffffff0087def7c
0xfffffff0087deeac: 68ee40b9  ldr	w8, [x19, #0xec]
0xfffffff0087deeb0: f4d704a9  stp	x20, x21, [sp, #0x48]
