; Candidate 9828
; ADRP+ADD at VM 0xfffffff008b4e2c4 (fileoff 0x1b4a2c4): page=0x1793000 add_imm=0xed0

0xfffffff008b4e244: f10314aa  mov	x17, x20
0xfffffff008b4e248: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b4e24c: 300ac1da  pacda	x16, x17
0xfffffff008b4e250: 900200f9  str	x16, [x20]
0xfffffff008b4e254: 80bc00f0  adrp	x0, #0xfffffff00a2e1000
0xfffffff008b4e258: 00003a91  add	x0, x0, #0xe80
0xfffffff008b4e25c: a13dffd0  adrp	x1, #0xfffffff007304000
0xfffffff008b4e260: 21843c91  add	x1, x1, #0xf21
0xfffffff008b4e264: e20314aa  mov	x2, x20
0xfffffff008b4e268: 03048052  mov	w3, #0x20
0xfffffff008b4e26c: 3356de97  bl	#0xfffffff0082e3b38
0xfffffff008b4e270: f079ff90  adrp	x16, #0xfffffff007a8a000
0xfffffff008b4e274: 10e23591  add	x16, x16, #0xd78
0xfffffff008b4e278: 10420091  add	x16, x16, #0x10
0xfffffff008b4e27c: f10300aa  mov	x17, x0
0xfffffff008b4e280: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b4e284: 300ac1da  pacda	x16, x17
0xfffffff008b4e288: 100000f9  str	x16, [x0]
0xfffffff008b4e28c: 80bc00f0  adrp	x0, #0xfffffff00a2e1000
0xfffffff008b4e290: 00a03a91  add	x0, x0, #0xea8
0xfffffff008b4e294: a13dffd0  adrp	x1, #0xfffffff007304000
0xfffffff008b4e298: 21643d91  add	x1, x1, #0xf59
0xfffffff008b4e29c: e20314aa  mov	x2, x20
0xfffffff008b4e2a0: 03038052  mov	w3, #0x18
0xfffffff008b4e2a4: 2556de97  bl	#0xfffffff0082e3b38
0xfffffff008b4e2a8: f079ff90  adrp	x16, #0xfffffff007a8a000
0xfffffff008b4e2ac: 10a23a91  add	x16, x16, #0xea8
0xfffffff008b4e2b0: 10420091  add	x16, x16, #0x10
0xfffffff008b4e2b4: f10300aa  mov	x17, x0
0xfffffff008b4e2b8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b4e2bc: 300ac1da  pacda	x16, x17
0xfffffff008b4e2c0: 100000f9  str	x16, [x0]
0xfffffff008b4e2c4: 80bc00f0  adrp	x0, #0xfffffff00a2e1000
0xfffffff008b4e2c8: 00403b91  add	x0, x0, #0xed0
0xfffffff008b4e2cc: a13dffd0  adrp	x1, #0xfffffff007304000
0xfffffff008b4e2d0: 21383e91  add	x1, x1, #0xf8e
0xfffffff008b4e2d4: e20314aa  mov	x2, x20
0xfffffff008b4e2d8: 03068052  mov	w3, #0x30
0xfffffff008b4e2dc: 1756de97  bl	#0xfffffff0082e3b38
0xfffffff008b4e2e0: f079ff90  adrp	x16, #0xfffffff007a8a000
0xfffffff008b4e2e4: 10a23f91  add	x16, x16, #0xfe8
0xfffffff008b4e2e8: 10420091  add	x16, x16, #0x10
0xfffffff008b4e2ec: f10300aa  mov	x17, x0
0xfffffff008b4e2f0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b4e2f4: 300ac1da  pacda	x16, x17
0xfffffff008b4e2f8: 100000f9  str	x16, [x0]
0xfffffff008b4e2fc: 80bc00f0  adrp	x0, #0xfffffff00a2e1000
0xfffffff008b4e300: 00e03b91  add	x0, x0, #0xef8
0xfffffff008b4e304: a13dffd0  adrp	x1, #0xfffffff007304000
0xfffffff008b4e308: 21103f91  add	x1, x1, #0xfc4
0xfffffff008b4e30c: e20314aa  mov	x2, x20
0xfffffff008b4e310: 03038052  mov	w3, #0x18
0xfffffff008b4e314: 0956de97  bl	#0xfffffff0082e3b38
0xfffffff008b4e318: f079ffb0  adrp	x16, #0xfffffff007a8b000
0xfffffff008b4e31c: 10620491  add	x16, x16, #0x118
0xfffffff008b4e320: 10420091  add	x16, x16, #0x10
0xfffffff008b4e324: f10300aa  mov	x17, x0
0xfffffff008b4e328: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b4e32c: 300ac1da  pacda	x16, x17
0xfffffff008b4e330: 100000f9  str	x16, [x0]
0xfffffff008b4e334: 80bc00f0  adrp	x0, #0xfffffff00a2e1000
0xfffffff008b4e338: 00803c91  add	x0, x0, #0xf20
0xfffffff008b4e33c: a13dffd0  adrp	x1, #0xfffffff007304000
0xfffffff008b4e340: 21c43f91  add	x1, x1, #0xff1
