; Candidate 9217
; ADRP+ADD at VM 0xfffffff008a0d668 (fileoff 0x1a09668): page=0x1fe88c000 add_imm=0xe40

0xfffffff008a0d5e8: 700240f9  ldr	x16, [x19]
0xfffffff008a0d5ec: b01ac1da  autda	x16, x21
0xfffffff008a0d5f0: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008a0d5f4: e90310aa  mov	x9, x16
0xfffffff008a0d5f8: e00313aa  mov	x0, x19
0xfffffff008a0d5fc: f10309aa  mov	x17, x9
0xfffffff008a0d600: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008a0d604: 11093fd7  blraa	x8, x17
0xfffffff008a0d608: e00314aa  mov	x0, x20
0xfffffff008a0d60c: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff008a0d610: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff008a0d614: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff008a0d618: ff430191  add	sp, sp, #0x50
0xfffffff008a0d61c: ff0f5fd6  retab	
0xfffffff008a0d620: 6044ff90  adrp	x0, #0xfffffff007299000
0xfffffff008a0d624: 00003991  add	x0, x0, #0xe40
0xfffffff008a0d628: e181ffd0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a0d62c: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a0d630: 8344ffd0  adrp	x3, #0xfffffff00729f000
0xfffffff008a0d634: 63780b91  add	x3, x3, #0x2de
0xfffffff008a0d638: 02028052  mov	w2, #0x10
0xfffffff008a0d63c: bd96e497  bl	#0xfffffff008333130
0xfffffff008a0d640: 6044ffd0  adrp	x0, #0xfffffff00729b000
0xfffffff008a0d644: 005c1491  add	x0, x0, #0x517
0xfffffff008a0d648: 7626e597  bl	#0xfffffff008357020
0xfffffff008a0d64c: 14008052  mov	w20, #0
0xfffffff008a0d650: eeffff17  b	#0xfffffff008a0d608
0xfffffff008a0d654: 94578052  mov	w20, #0x2bc
0xfffffff008a0d658: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff008a0d65c: 7644ffd0  adrp	x22, #0xfffffff00729b000
0xfffffff008a0d660: d64a1591  add	x22, x22, #0x552
0xfffffff008a0d664: f65300a9  stp	x22, x20, [sp]
0xfffffff008a0d668: 6044ff90  adrp	x0, #0xfffffff007299000
0xfffffff008a0d66c: 00003991  add	x0, x0, #0xe40
0xfffffff008a0d670: e181ffd0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a0d674: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a0d678: 8344ffd0  adrp	x3, #0xfffffff00729f000
0xfffffff008a0d67c: 63f40b91  add	x3, x3, #0x2fd
0xfffffff008a0d680: 02028052  mov	w2, #0x10
0xfffffff008a0d684: ab96e497  bl	#0xfffffff008333130
0xfffffff008a0d688: f65300a9  stp	x22, x20, [sp]
0xfffffff008a0d68c: 6044ffd0  adrp	x0, #0xfffffff00729b000
0xfffffff008a0d690: 00441691  add	x0, x0, #0x591
0xfffffff008a0d694: 6326e597  bl	#0xfffffff008357020
0xfffffff008a0d698: d4ffff17  b	#0xfffffff008a0d5e8
0xfffffff008a0d69c: 14008052  mov	w20, #0
0xfffffff008a0d6a0: f50313aa  mov	x21, x19
0xfffffff008a0d6a4: 35b4f9f2  movk	x21, #0xcda1, lsl #48
0xfffffff008a0d6a8: d0ffff17  b	#0xfffffff008a0d5e8
0xfffffff008a0d6ac: 7f2303d5  pacibsp	
0xfffffff008a0d6b0: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff008a0d6b4: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008a0d6b8: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008a0d6bc: fd830091  add	x29, sp, #0x20
0xfffffff008a0d6c0: f50301aa  mov	x21, x1
0xfffffff008a0d6c4: 135e8052  mov	w19, #0x2f0
0xfffffff008a0d6c8: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008a0d6cc: e881ffd0  adrp	x8, #0xfffffff007a4b000
0xfffffff008a0d6d0: 086146f9  ldr	x8, [x8, #0xcc0]
0xfffffff008a0d6d4: 010140f9  ldr	x1, [x8]
0xfffffff008a0d6d8: 6044ffd0  adrp	x0, #0xfffffff00729b000
0xfffffff008a0d6dc: 00381491  add	x0, x0, #0x50e
0xfffffff008a0d6e0: 020080d2  mov	x2, #0
0xfffffff008a0d6e4: 030080d2  mov	x3, #0
