; Candidate 9494
; ADRP+ADD at VM 0xfffffff008a61034 (fileoff 0x1a5d034): page=0x1fe84c000 add_imm=0xd98

0xfffffff008a60fb4: 113de2f2  movk	x17, #0x11e8, lsl #48
0xfffffff008a60fb8: 11093fd7  blraa	x8, x17
0xfffffff008a60fbc: 60ba40f9  ldr	x0, [x19, #0x170]
0xfffffff008a60fc0: 100040f9  ldr	x16, [x0]
0xfffffff008a60fc4: f10300aa  mov	x17, x0
0xfffffff008a60fc8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a60fcc: 301ac1da  autda	x16, x17
0xfffffff008a60fd0: 080e4bf8  ldr	x8, [x16, #0xb0]!
0xfffffff008a60fd4: e90310aa  mov	x9, x16
0xfffffff008a60fd8: f10309aa  mov	x17, x9
0xfffffff008a60fdc: d162f3f2  movk	x17, #0x9b16, lsl #48
0xfffffff008a60fe0: 11093fd7  blraa	x8, x17
0xfffffff008a60fe4: 17000014  b	#0xfffffff008a61040
0xfffffff008a60fe8: 68e240b9  ldr	w8, [x19, #0xe0]
0xfffffff008a60fec: 1f1d0071  cmp	w8, #7
0xfffffff008a60ff0: 83020054  b.lo	#0xfffffff008a61040
0xfffffff008a60ff4: 700240f9  ldr	x16, [x19]
0xfffffff008a60ff8: f10313aa  mov	x17, x19
0xfffffff008a60ffc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a61000: 301ac1da  autda	x16, x17
0xfffffff008a61004: 113d80d2  mov	x17, #0x1e8
0xfffffff008a61008: 1002118b  add	x16, x16, x17
0xfffffff008a6100c: 080240f9  ldr	x8, [x16]
0xfffffff008a61010: e90310aa  mov	x9, x16
0xfffffff008a61014: e00313aa  mov	x0, x19
0xfffffff008a61018: 010080d2  mov	x1, #0
0xfffffff008a6101c: f10309aa  mov	x17, x9
0xfffffff008a61020: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a61024: 11093fd7  blraa	x8, x17
0xfffffff008a61028: 6842ff90  adrp	x8, #0xfffffff0072ad000
0xfffffff008a6102c: 08553791  add	x8, x8, #0xdd5
0xfffffff008a61030: e02300a9  stp	x0, x8, [sp]
0xfffffff008a61034: 6042ff90  adrp	x0, #0xfffffff0072ad000
0xfffffff008a61038: 00603691  add	x0, x0, #0xd98
0xfffffff008a6103c: f9d7e397  bl	#0xfffffff008357020
0xfffffff008a61040: e87fffb0  adrp	x8, #0xfffffff007a5e000
0xfffffff008a61044: 08a540f9  ldr	x8, [x8, #0x148]
0xfffffff008a61048: 010140f9  ldr	x1, [x8]
0xfffffff008a6104c: e00314aa  mov	x0, x20
0xfffffff008a61050: 290be297  bl	#0xfffffff0082e3cf4
0xfffffff008a61054: a01400b4  cbz	x0, #0xfffffff008a612e8
0xfffffff008a61058: f40300aa  mov	x20, x0
0xfffffff008a6105c: e87fffb0  adrp	x8, #0xfffffff007a5e000
0xfffffff008a61060: 08d940f9  ldr	x8, [x8, #0x1b0]
0xfffffff008a61064: 080140f9  ldr	x8, [x8]
0xfffffff008a61068: 1f0115eb  cmp	x8, x21
0xfffffff008a6106c: 20060054  b.eq	#0xfffffff008a61130
0xfffffff008a61070: e87fffb0  adrp	x8, #0xfffffff007a5e000
0xfffffff008a61074: 08dd40f9  ldr	x8, [x8, #0x1b8]
0xfffffff008a61078: 080140f9  ldr	x8, [x8]
0xfffffff008a6107c: 1f0115eb  cmp	x8, x21
0xfffffff008a61080: 41130054  b.ne	#0xfffffff008a612e8
0xfffffff008a61084: 60b640f9  ldr	x0, [x19, #0x168]
0xfffffff008a61088: 912acd97  bl	#0xfffffff007dabacc
0xfffffff008a6108c: 60b240f9  ldr	x0, [x19, #0x160]
0xfffffff008a61090: 100040f9  ldr	x16, [x0]
0xfffffff008a61094: f10300aa  mov	x17, x0
0xfffffff008a61098: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a6109c: 301ac1da  autda	x16, x17
0xfffffff008a610a0: 080e49f8  ldr	x8, [x16, #0x90]!
0xfffffff008a610a4: e90310aa  mov	x9, x16
0xfffffff008a610a8: f10309aa  mov	x17, x9
0xfffffff008a610ac: 113de5f2  movk	x17, #0x29e8, lsl #48
0xfffffff008a610b0: 11093fd7  blraa	x8, x17
