; Candidate 4467
; ADRP+ADD at VM 0xfffffff0087b3370 (fileoff 0x17af370): page=0x1fe97e000 add_imm=0xd90

0xfffffff0087b32f0: 08008052  mov	w8, #0
0xfffffff0087b32f4: a94dff90  adrp	x9, #0xfffffff007167000
0xfffffff0087b32f8: 205947fd  ldr	d0, [x9, #0xeb0]
0xfffffff0087b32fc: e01b00fd  str	d0, [sp, #0x30]
0xfffffff0087b3300: b65a8052  mov	w22, #0x2d5
0xfffffff0087b3304: 1600bc72  movk	w22, #0xe000, lsl #16
0xfffffff0087b3308: f70308aa  mov	x23, x8
0xfffffff0087b330c: 688245f9  ldr	x8, [x19, #0xb00]
0xfffffff0087b3310: 006d40f9  ldr	x0, [x8, #0xd8]
0xfffffff0087b3314: e1430091  add	x1, sp, #0x10
0xfffffff0087b3318: 62018052  mov	w2, #0xb
0xfffffff0087b331c: fd3dfe97  bl	#0xfffffff008742b10
0xfffffff0087b3320: f40300aa  mov	x20, x0
0xfffffff0087b3324: 1f00166b  cmp	w0, w22
0xfffffff0087b3328: c1000054  b.ne	#0xfffffff0087b3340
0xfffffff0087b332c: 20008052  mov	w0, #1
0xfffffff0087b3330: 2e8fee97  bl	#0xfffffff008356fe8
0xfffffff0087b3334: e8060011  add	w8, w23, #1
0xfffffff0087b3338: ff8e0171  cmp	w23, #0x63
0xfffffff0087b333c: 63feff54  b.lo	#0xfffffff0087b3308
0xfffffff0087b3340: ff8a0171  cmp	w23, #0x62
0xfffffff0087b3344: 809a407a  ccmp	w20, #0, #0, ls
0xfffffff0087b3348: 08268052  mov	w8, #0x130
0xfffffff0087b334c: 1411951a  csel	w20, w8, w21, ne
0xfffffff0087b3350: 688245f9  ldr	x8, [x19, #0xb00]
0xfffffff0087b3354: 014141b9  ldr	w1, [x8, #0x140]
0xfffffff0087b3358: 006d40f9  ldr	x0, [x8, #0xd8]
0xfffffff0087b335c: 6256fe97  bl	#0xfffffff008748ce4
0xfffffff0087b3360: 80010034  cbz	w0, #0xfffffff0087b3390
0xfffffff0087b3364: e84cffd0  adrp	x8, #0xfffffff007151000
0xfffffff0087b3368: 08151591  add	x8, x8, #0x545
0xfffffff0087b336c: e80300a9  stp	x8, x0, [sp]
0xfffffff0087b3370: e04bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087b3374: 00403691  add	x0, x0, #0xd90
0xfffffff0087b3378: 4192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b337c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b3380: c34cff90  adrp	x3, #0xfffffff00714b000
0xfffffff0087b3384: 63483d91  add	x3, x3, #0xf52
0xfffffff0087b3388: 02008052  mov	w2, #0
0xfffffff0087b338c: 69ffed97  bl	#0xfffffff008333130
0xfffffff0087b3390: e00313aa  mov	x0, x19
0xfffffff0087b3394: 26000094  bl	#0xfffffff0087b342c
0xfffffff0087b3398: 68024fb9  ldr	w8, [x19, #0xf00]
0xfffffff0087b339c: 69064fb9  ldr	w9, [x19, #0xf04]
0xfffffff0087b33a0: 1f01096b  cmp	w8, w9
0xfffffff0087b33a4: 62030054  b.hs	#0xfffffff0087b3410
0xfffffff0087b33a8: 75559552  mov	w21, #0xaaab
0xfffffff0087b33ac: 5555b572  movk	w21, #0xaaaa, lsl #16
0xfffffff0087b33b0: 16038052  mov	w22, #0x18
0xfffffff0087b33b4: 17128052  mov	w23, #0x90
0xfffffff0087b33b8: 097db59b  umull	x9, w8, w21
0xfffffff0087b33bc: 29fd64d3  lsr	x9, x9, #0x24
0xfffffff0087b33c0: 29a1161b  msub	w9, w9, w22, w8
0xfffffff0087b33c4: 6a023c91  add	x10, x19, #0xf00
0xfffffff0087b33c8: 2929b79b  umaddl	x9, w9, w23, x10
0xfffffff0087b33cc: 211540b9  ldr	w1, [x9, #0x14]
0xfffffff0087b33d0: 08050011  add	w8, w8, #1
0xfffffff0087b33d4: 68020fb9  str	w8, [x19, #0xf00]
0xfffffff0087b33d8: 700240f9  ldr	x16, [x19]
0xfffffff0087b33dc: f10313aa  mov	x17, x19
0xfffffff0087b33e0: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff0087b33e4: 301ac1da  autda	x16, x17
0xfffffff0087b33e8: 080e45f8  ldr	x8, [x16, #0x50]!
0xfffffff0087b33ec: e90310aa  mov	x9, x16
