; Candidate 6100
; ADRP+ADD at VM 0xfffffff0088147b8 (fileoff 0x18107b8): page=0x1fe9d5000 add_imm=0xe80

0xfffffff008814738: 63700d91  add	x3, x3, #0x35c
0xfffffff00881473c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008814740: f50300f9  str	x21, [sp]
0xfffffff008814744: a04effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008814748: 00003a91  add	x0, x0, #0xe80
0xfffffff00881474c: a18fff90  adrp	x1, #0xfffffff007a08000
0xfffffff008814750: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008814754: 02008052  mov	w2, #0
0xfffffff008814758: 767aec97  bl	#0xfffffff008333130
0xfffffff00881475c: 3d000014  b	#0xfffffff008814850
0xfffffff008814760: 937e0294  bl	#0xfffffff0088b41ac
0xfffffff008814764: f50300aa  mov	x21, x0
0xfffffff008814768: 80008052  mov	w0, #4
0xfffffff00881476c: 399c0194  bl	#0xfffffff00887b850
0xfffffff008814770: 685a40b9  ldr	w8, [x19, #0x58]
0xfffffff008814774: 89c640b9  ldr	w9, [x20, #0xc4]
0xfffffff008814778: 0a0340b9  ldr	w10, [x24]
0xfffffff00881477c: 4b018052  mov	w11, #0xa
0xfffffff008814780: ea2f05a9  stp	x10, x11, [sp, #0x50]
0xfffffff008814784: f42704a9  stp	x20, x9, [sp, #0x40]
0xfffffff008814788: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff00881478c: 4850ffd0  adrp	x8, #0xfffffff00721e000
0xfffffff008814790: 08251991  add	x8, x8, #0x649
0xfffffff008814794: 89988052  mov	w9, #0x4c4
0xfffffff008814798: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00881479c: 4850ffd0  adrp	x8, #0xfffffff00721e000
0xfffffff0088147a0: 08311491  add	x8, x8, #0x50c
0xfffffff0088147a4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088147a8: 880e8052  mov	w8, #0x74
0xfffffff0088147ac: a351ff90  adrp	x3, #0xfffffff007248000
0xfffffff0088147b0: 63dc0f91  add	x3, x3, #0x3f7
0xfffffff0088147b4: f52300a9  stp	x21, x8, [sp]
0xfffffff0088147b8: a04effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088147bc: 00003a91  add	x0, x0, #0xe80
0xfffffff0088147c0: a18fff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088147c4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088147c8: 02008052  mov	w2, #0
0xfffffff0088147cc: 597aec97  bl	#0xfffffff008333130
0xfffffff0088147d0: 20000014  b	#0xfffffff008814850
0xfffffff0088147d4: 800e8052  mov	w0, #0x74
0xfffffff0088147d8: 81008052  mov	w1, #4
0xfffffff0088147dc: fd9b0194  bl	#0xfffffff00887b7d0
0xfffffff0088147e0: 80030034  cbz	w0, #0xfffffff008814850
0xfffffff0088147e4: 800e8052  mov	w0, #0x74
0xfffffff0088147e8: 0c9c0194  bl	#0xfffffff00887b818
0xfffffff0088147ec: f60300aa  mov	x22, x0
0xfffffff0088147f0: 6f7e0294  bl	#0xfffffff0088b41ac
0xfffffff0088147f4: f50300aa  mov	x21, x0
0xfffffff0088147f8: 80008052  mov	w0, #4
0xfffffff0088147fc: 159c0194  bl	#0xfffffff00887b850
0xfffffff008814800: f6060034  cbz	w22, #0xfffffff0088148dc
0xfffffff008814804: 88f644f9  ldr	x8, [x20, #0x9e8]
0xfffffff008814808: e9165939  ldrb	w9, [x23, #0x645]
0xfffffff00881480c: 6a5a40b9  ldr	w10, [x19, #0x58]
0xfffffff008814810: 8bc640b9  ldr	w11, [x20, #0xc4]
0xfffffff008814814: e82705a9  stp	x8, x9, [sp, #0x50]
0xfffffff008814818: f42f04a9  stp	x20, x11, [sp, #0x40]
0xfffffff00881481c: f32b03a9  stp	x19, x10, [sp, #0x30]
0xfffffff008814820: 4850ffd0  adrp	x8, #0xfffffff00721e000
0xfffffff008814824: 08051a91  add	x8, x8, #0x681
0xfffffff008814828: 69998052  mov	w9, #0x4cb
0xfffffff00881482c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008814830: 4850ffd0  adrp	x8, #0xfffffff00721e000
0xfffffff008814834: 08311491  add	x8, x8, #0x50c
