; Candidate 11000
; ADRP+ADD at VM 0xfffffff008df09c4 (fileoff 0x1dec9c4): page=0x1fe5d4000 add_imm=0xd21

0xfffffff008df0944: 02000014  b	#0xfffffff008df094c
0xfffffff008df0948: 68158052  mov	w8, #0xab
0xfffffff008df094c: 697e4093  sxtw	x9, w19
0xfffffff008df0950: aa2eff90  adrp	x10, #0xfffffff0073c4000
0xfffffff008df0954: 4a593991  add	x10, x10, #0xe56
0xfffffff008df0958: eaa301a9  stp	x10, x8, [sp, #0x18]
0xfffffff008df095c: a82eff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008df0960: 08493991  add	x8, x8, #0xe52
0xfffffff008df0964: ab2eff90  adrp	x11, #0xfffffff0073c4000
0xfffffff008df0968: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008df096c: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff008df0970: eb0300f9  str	x11, [sp]
0xfffffff008df0974: a02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008df0978: 00543891  add	x0, x0, #0xe15
0xfffffff008df097c: a999d597  bl	#0xfffffff008357020
0xfffffff008df0980: d4ffff17  b	#0xfffffff008df08d0
0xfffffff008df0984: 7f2303d5  pacibsp	
0xfffffff008df0988: ff4301d1  sub	sp, sp, #0x50
0xfffffff008df098c: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff008df0990: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff008df0994: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff008df0998: fd030191  add	x29, sp, #0x40
0xfffffff008df099c: f30300aa  mov	x19, x0
0xfffffff008df09a0: 76a800f0  adrp	x22, #0xfffffff00a2ff000
0xfffffff008df09a4: c8466c39  ldrb	w8, [x22, #0xb11]
0xfffffff008df09a8: b42eff90  adrp	x20, #0xfffffff0073c4000
0xfffffff008df09ac: 94123e91  add	x20, x20, #0xf84
0xfffffff008df09b0: b52eff90  adrp	x21, #0xfffffff0073c4000
0xfffffff008df09b4: b5ca3491  add	x21, x21, #0xd32
0xfffffff008df09b8: 1f290071  cmp	w8, #0xa
0xfffffff008df09bc: a8000054  b.hi	#0xfffffff008df09d0
0xfffffff008df09c0: f55300a9  stp	x21, x20, [sp]
0xfffffff008df09c4: a02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008df09c8: 00843491  add	x0, x0, #0xd21
0xfffffff008df09cc: 9599d597  bl	#0xfffffff008357020
0xfffffff008df09d0: 70ffffd0  adrp	x16, #0xfffffff008dde000
0xfffffff008df09d4: 10d20e91  add	x16, x16, #0x3b4
0xfffffff008df09d8: 519081d2  mov	x17, #0xc82
0xfffffff008df09dc: 3002c1da  pacia	x16, x17
0xfffffff008df09e0: e00310aa  mov	x0, x16
0xfffffff008df09e4: e10313aa  mov	x1, x19
0xfffffff008df09e8: ffbdff97  bl	#0xfffffff008de01e4
0xfffffff008df09ec: 1f000071  cmp	w0, #0
0xfffffff008df09f0: c8088052  mov	w8, #0x46
0xfffffff008df09f4: 49018052  mov	w9, #0xa
0xfffffff008df09f8: 2801881a  csel	w8, w9, w8, eq
0xfffffff008df09fc: c9466c39  ldrb	w9, [x22, #0xb11]
0xfffffff008df0a00: 1f01096b  cmp	w8, w9
0xfffffff008df0a04: e3000054  b.lo	#0xfffffff008df0a20
0xfffffff008df0a08: 087c4093  sxtw	x8, w0
0xfffffff008df0a0c: f55300a9  stp	x21, x20, [sp]
0xfffffff008df0a10: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008df0a14: a02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008df0a18: 00503591  add	x0, x0, #0xd54
0xfffffff008df0a1c: 8199d597  bl	#0xfffffff008357020
0xfffffff008df0a20: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff008df0a24: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff008df0a28: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff008df0a2c: ff430191  add	sp, sp, #0x50
0xfffffff008df0a30: ff0f5fd6  retab	
0xfffffff008df0a34: 7f2303d5  pacibsp	
0xfffffff008df0a38: ff8301d1  sub	sp, sp, #0x60
0xfffffff008df0a3c: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff008df0a40: f65703a9  stp	x22, x21, [sp, #0x30]
