; Candidate 9261
; ADRP+ADD at VM 0xfffffff008a1aec4 (fileoff 0x1a16ec4): page=0x1fe87f000 add_imm=0xe40

0xfffffff008a1ae44: cc100014  b	#0xfffffff008a1f174
0xfffffff008a1ae48: 54588052  mov	w20, #0x2c2
0xfffffff008a1ae4c: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff008a1ae50: 700240f9  ldr	x16, [x19]
0xfffffff008a1ae54: f10313aa  mov	x17, x19
0xfffffff008a1ae58: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a1ae5c: 301ac1da  autda	x16, x17
0xfffffff008a1ae60: 113d80d2  mov	x17, #0x1e8
0xfffffff008a1ae64: 1002118b  add	x16, x16, x17
0xfffffff008a1ae68: 080240f9  ldr	x8, [x16]
0xfffffff008a1ae6c: e90310aa  mov	x9, x16
0xfffffff008a1ae70: e00313aa  mov	x0, x19
0xfffffff008a1ae74: 010080d2  mov	x1, #0
0xfffffff008a1ae78: f10309aa  mov	x17, x9
0xfffffff008a1ae7c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a1ae80: 11093fd7  blraa	x8, x17
0xfffffff008a1ae84: 700240f9  ldr	x16, [x19]
0xfffffff008a1ae88: f10313aa  mov	x17, x19
0xfffffff008a1ae8c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a1ae90: 301ac1da  autda	x16, x17
0xfffffff008a1ae94: 113d80d2  mov	x17, #0x1e8
0xfffffff008a1ae98: 1002118b  add	x16, x16, x17
0xfffffff008a1ae9c: 080240f9  ldr	x8, [x16]
0xfffffff008a1aea0: e90310aa  mov	x9, x16
0xfffffff008a1aea4: e00313aa  mov	x0, x19
0xfffffff008a1aea8: 010080d2  mov	x1, #0
0xfffffff008a1aeac: f10309aa  mov	x17, x9
0xfffffff008a1aeb0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a1aeb4: 11093fd7  blraa	x8, x17
0xfffffff008a1aeb8: 1544ffd0  adrp	x21, #0xfffffff00729c000
0xfffffff008a1aebc: b58e0791  add	x21, x21, #0x1e3
0xfffffff008a1aec0: e05700a9  stp	x0, x21, [sp]
0xfffffff008a1aec4: e043fff0  adrp	x0, #0xfffffff007299000
0xfffffff008a1aec8: 00003991  add	x0, x0, #0xe40
0xfffffff008a1aecc: 8181ffb0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a1aed0: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a1aed4: 2344ffb0  adrp	x3, #0xfffffff00729f000
0xfffffff008a1aed8: 63542a91  add	x3, x3, #0xa95
0xfffffff008a1aedc: 02028052  mov	w2, #0x10
0xfffffff008a1aee0: 9460e497  bl	#0xfffffff008333130
0xfffffff008a1aee4: 700240f9  ldr	x16, [x19]
0xfffffff008a1aee8: f10313aa  mov	x17, x19
0xfffffff008a1aeec: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a1aef0: 301ac1da  autda	x16, x17
0xfffffff008a1aef4: f10310aa  mov	x17, x16
0xfffffff008a1aef8: f147c1da  xpacd	x17
0xfffffff008a1aefc: 1f0211eb  cmp	x16, x17
0xfffffff008a1af00: 40000054  b.eq	#0xfffffff008a1af08
0xfffffff008a1af04: 408e38d4  brk	#0xc472
0xfffffff008a1af08: 08a20791  add	x8, x16, #0x1e8
0xfffffff008a1af0c: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008a1af10: e00313aa  mov	x0, x19
0xfffffff008a1af14: 010080d2  mov	x1, #0
0xfffffff008a1af18: f10308aa  mov	x17, x8
0xfffffff008a1af1c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a1af20: 31093fd7  blraa	x9, x17
0xfffffff008a1af24: e05700a9  stp	x0, x21, [sp]
0xfffffff008a1af28: 0044ffd0  adrp	x0, #0xfffffff00729c000
0xfffffff008a1af2c: 00c40791  add	x0, x0, #0x1f1
0xfffffff008a1af30: 3cf0e497  bl	#0xfffffff008357020
0xfffffff008a1af34: 34000014  b	#0xfffffff008a1b004
0xfffffff008a1af38: 94021b32  orr	w20, w20, #0x20
0xfffffff008a1af3c: 32000014  b	#0xfffffff008a1b004
0xfffffff008a1af40: 900240f9  ldr	x16, [x20]
