; Candidate 9117
; ADRP+ADD at VM 0xfffffff0089f8fd0 (fileoff 0x19f4fd0): page=0x1fe89c000 add_imm=0xdf4

0xfffffff0089f8f50: 60060034  cbz	w0, #0xfffffff0089f901c
0xfffffff0089f8f54: e203142a  mov	w2, w20
0xfffffff0089f8f58: 700240f9  ldr	x16, [x19]
0xfffffff0089f8f5c: f10313aa  mov	x17, x19
0xfffffff0089f8f60: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0089f8f64: 301ac1da  autda	x16, x17
0xfffffff0089f8f68: 080e4ef8  ldr	x8, [x16, #0xe0]!
0xfffffff0089f8f6c: e90310aa  mov	x9, x16
0xfffffff0089f8f70: e144ffb0  adrp	x1, #0xfffffff007295000
0xfffffff0089f8f74: 21dc2b91  add	x1, x1, #0xaf7
0xfffffff0089f8f78: e00313aa  mov	x0, x19
0xfffffff0089f8f7c: 03048052  mov	w3, #0x20
0xfffffff0089f8f80: f10309aa  mov	x17, x9
0xfffffff0089f8f84: d17ee2f2  movk	x17, #0x13f6, lsl #48
0xfffffff0089f8f88: 11093fd7  blraa	x8, x17
0xfffffff0089f8f8c: c0040036  tbz	w0, #0, #0xfffffff0089f9024
0xfffffff0089f8f90: 20008052  mov	w0, #1
0xfffffff0089f8f94: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0089f8f98: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0089f8f9c: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0089f8fa0: ff830191  add	sp, sp, #0x60
0xfffffff0089f8fa4: ff0f5fd6  retab	
0xfffffff0089f8fa8: e844ffb0  adrp	x8, #0xfffffff007295000
0xfffffff0089f8fac: 08a51791  add	x8, x8, #0x5e9
0xfffffff0089f8fb0: 69d58052  mov	w9, #0x6ab
0xfffffff0089f8fb4: ea44ff90  adrp	x10, #0xfffffff007294000
0xfffffff0089f8fb8: 4a853991  add	x10, x10, #0xe61
0xfffffff0089f8fbc: eb44ffb0  adrp	x11, #0xfffffff007295000
0xfffffff0089f8fc0: 6b6d2b91  add	x11, x11, #0xadb
0xfffffff0089f8fc4: e9ff01a9  stp	x9, xzr, [sp, #0x18]
0xfffffff0089f8fc8: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff0089f8fcc: eb0300f9  str	x11, [sp]
0xfffffff0089f8fd0: e044ff90  adrp	x0, #0xfffffff007294000
0xfffffff0089f8fd4: 00d03791  add	x0, x0, #0xdf4
0xfffffff0089f8fd8: 22f9ce97  bl	#0xfffffff007db7460
0xfffffff0089f8fdc: 684241b9  ldr	w8, [x19, #0x140]
0xfffffff0089f8fe0: 4bd78052  mov	w11, #0x6ba
0xfffffff0089f8fe4: e944ffb0  adrp	x9, #0xfffffff007295000
0xfffffff0089f8fe8: 29052c91  add	x9, x9, #0xb01
0xfffffff0089f8fec: e9af00a9  stp	x9, x11, [sp, #8]
0xfffffff0089f8ff0: e80300f9  str	x8, [sp]
0xfffffff0089f8ff4: e044ff90  adrp	x0, #0xfffffff007294000
0xfffffff0089f8ff8: 00400c91  add	x0, x0, #0x310
0xfffffff0089f8ffc: 6182fff0  adrp	x1, #0xfffffff007a47000
0xfffffff0089f9000: 214047f9  ldr	x1, [x1, #0xe80]
0xfffffff0089f9004: e344ffd0  adrp	x3, #0xfffffff007297000
0xfffffff0089f9008: 63c00591  add	x3, x3, #0x170
0xfffffff0089f900c: 02028052  mov	w2, #0x10
0xfffffff0089f9010: 48e8e497  bl	#0xfffffff008333130
0xfffffff0089f9014: 00008052  mov	w0, #0
0xfffffff0089f9018: dfffff17  b	#0xfffffff0089f8f94
0xfffffff0089f901c: 48d68052  mov	w8, #0x6b2
0xfffffff0089f9020: 02000014  b	#0xfffffff0089f9028
0xfffffff0089f9024: a8d68052  mov	w8, #0x6b5
0xfffffff0089f9028: e944ff90  adrp	x9, #0xfffffff007295000
0xfffffff0089f902c: 29a51791  add	x9, x9, #0x5e9
0xfffffff0089f9030: e8ff01a9  stp	x8, xzr, [sp, #0x18]
0xfffffff0089f9034: ca44fff0  adrp	x10, #0xfffffff007294000
0xfffffff0089f9038: 4a853991  add	x10, x10, #0xe61
0xfffffff0089f903c: eb44ff90  adrp	x11, #0xfffffff007295000
0xfffffff0089f9040: 6bcd2b91  add	x11, x11, #0xaf3
0xfffffff0089f9044: eaa700a9  stp	x10, x9, [sp, #8]
0xfffffff0089f9048: eb0300f9  str	x11, [sp]
0xfffffff0089f904c: c044fff0  adrp	x0, #0xfffffff007294000
