; Candidate 8918
; ADRP+ADD at VM 0xfffffff0088ee288 (fileoff 0x18ea288): page=0x1ff12c000 add_imm=0xdb0

0xfffffff0088ee208: f10309aa  mov	x17, x9
0xfffffff0088ee20c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0088ee210: 11093fd7  blraa	x8, x17
0xfffffff0088ee214: 7f6e00f9  str	xzr, [x19, #0xd8]
0xfffffff0088ee218: e00313aa  mov	x0, x19
0xfffffff0088ee21c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0088ee220: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0088ee224: ff2303d5  autibsp	
0xfffffff0088ee228: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0088ee22c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0088ee234
0xfffffff0088ee230: 208e38d4  brk	#0xc471
0xfffffff0088ee234: 5248ec17  b	#0xfffffff00840037c
0xfffffff0088ee238: 7f2303d5  pacibsp	
0xfffffff0088ee23c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0088ee240: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0088ee244: fd430091  add	x29, sp, #0x10
0xfffffff0088ee248: f30300aa  mov	x19, x0
0xfffffff0088ee24c: dbffff97  bl	#0xfffffff0088ee1b8
0xfffffff0088ee250: 6089ff90  adrp	x0, #0xfffffff007a1a000
0xfffffff0088ee254: 00c03691  add	x0, x0, #0xdb0
0xfffffff0088ee258: e10313aa  mov	x1, x19
0xfffffff0088ee25c: 02258052  mov	w2, #0x128
0xfffffff0088ee260: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0088ee264: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0088ee268: ff2303d5  autibsp	
0xfffffff0088ee26c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0088ee270: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0088ee278
0xfffffff0088ee274: 208e38d4  brk	#0xc471
0xfffffff0088ee278: 09e5e717  b	#0xfffffff0082e769c
0xfffffff0088ee27c: 5f2403d5  bti	c
0xfffffff0088ee280: e20301aa  mov	x2, x1
0xfffffff0088ee284: e10300aa  mov	x1, x0
0xfffffff0088ee288: 6089ff90  adrp	x0, #0xfffffff007a1a000
0xfffffff0088ee28c: 00c03691  add	x0, x0, #0xdb0
0xfffffff0088ee290: 03e5e717  b	#0xfffffff0082e769c
0xfffffff0088ee294: 5f2403d5  bti	c
0xfffffff0088ee298: 60cf00b0  adrp	x0, #0xfffffff00a2db000
0xfffffff0088ee29c: 00603191  add	x0, x0, #0xc58
0xfffffff0088ee2a0: c0035fd6  ret	
0xfffffff0088ee2a4: 7f2303d5  pacibsp	
0xfffffff0088ee2a8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0088ee2ac: fd030091  mov	x29, sp
0xfffffff0088ee2b0: 014cffb0  adrp	x1, #0xfffffff00726f000
0xfffffff0088ee2b4: 21fc1191  add	x1, x1, #0x47f
0xfffffff0088ee2b8: 4289ffb0  adrp	x2, #0xfffffff007a17000
0xfffffff0088ee2bc: 428443f9  ldr	x2, [x2, #0x708]
0xfffffff0088ee2c0: 03258052  mov	w3, #0x128
0xfffffff0088ee2c4: 1dd6e797  bl	#0xfffffff0082e3b38
0xfffffff0088ee2c8: 5089fff0  adrp	x16, #0xfffffff007a19000
0xfffffff0088ee2cc: 10a21291  add	x16, x16, #0x4a8
0xfffffff0088ee2d0: 10420091  add	x16, x16, #0x10
0xfffffff0088ee2d4: f10300aa  mov	x17, x0
0xfffffff0088ee2d8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088ee2dc: 300ac1da  pacda	x16, x17
0xfffffff0088ee2e0: 100000f9  str	x16, [x0]
0xfffffff0088ee2e4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0088ee2e8: ff0f5fd6  retab	
0xfffffff0088ee2ec: 7f2303d5  pacibsp	
0xfffffff0088ee2f0: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0088ee2f4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0088ee2f8: fd430091  add	x29, sp, #0x10
0xfffffff0088ee2fc: 6089ff90  adrp	x0, #0xfffffff007a1a000
0xfffffff0088ee300: 00c03691  add	x0, x0, #0xdb0
0xfffffff0088ee304: 01258052  mov	w1, #0x128
