; Candidate 4009
; ADRP+ADD at VM 0xfffffff0087821b4 (fileoff 0x177e1b4): page=0x1fe9af000 add_imm=0xd90

0xfffffff008782134: e85700a9  stp	x8, x21, [sp]
0xfffffff008782138: 604dfff0  adrp	x0, #0xfffffff007131000
0xfffffff00878213c: 00403691  add	x0, x0, #0xd90
0xfffffff008782140: c193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008782144: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008782148: 034efff0  adrp	x3, #0xfffffff007145000
0xfffffff00878214c: 63901491  add	x3, x3, #0x524
0xfffffff008782150: 02008052  mov	w2, #0
0xfffffff008782154: f7c3ee97  bl	#0xfffffff008333130
0xfffffff008782158: 800240f9  ldr	x0, [x20]
0xfffffff00878215c: e1730091  add	x1, sp, #0x1c
0xfffffff008782160: e20315aa  mov	x2, x21
0xfffffff008782164: 2dd2fc97  bl	#0xfffffff0086b6a18
0xfffffff008782168: 80030034  cbz	w0, #0xfffffff0087821d8
0xfffffff00878216c: 684effd0  adrp	x8, #0xfffffff007150000
0xfffffff008782170: 08c12c91  add	x8, x8, #0xb30
0xfffffff008782174: e80300f9  str	x8, [sp]
0xfffffff008782178: 604dfff0  adrp	x0, #0xfffffff007131000
0xfffffff00878217c: 00403691  add	x0, x0, #0xd90
0xfffffff008782180: c193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008782184: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008782188: 034efff0  adrp	x3, #0xfffffff007145000
0xfffffff00878218c: 63a81591  add	x3, x3, #0x56a
0xfffffff008782190: 02008052  mov	w2, #0
0xfffffff008782194: e7c3ee97  bl	#0xfffffff008333130
0xfffffff008782198: 14008052  mov	w20, #0
0xfffffff00878219c: 87ffff17  b	#0xfffffff008781fb8
0xfffffff0087821a0: 94578052  mov	w20, #0x2bc
0xfffffff0087821a4: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff0087821a8: 684effd0  adrp	x8, #0xfffffff007150000
0xfffffff0087821ac: 08c12c91  add	x8, x8, #0xb30
0xfffffff0087821b0: e80300f9  str	x8, [sp]
0xfffffff0087821b4: 604dfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087821b8: 00403691  add	x0, x0, #0xd90
0xfffffff0087821bc: c193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087821c0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087821c4: 034efff0  adrp	x3, #0xfffffff007145000
0xfffffff0087821c8: 63e41391  add	x3, x3, #0x4f9
0xfffffff0087821cc: 02008052  mov	w2, #0
0xfffffff0087821d0: d8c3ee97  bl	#0xfffffff008333130
0xfffffff0087821d4: c7ffff17  b	#0xfffffff0087820f0
0xfffffff0087821d8: e81f40b9  ldr	w8, [sp, #0x1c]
0xfffffff0087821dc: 684a00b9  str	w8, [x19, #0x48]
0xfffffff0087821e0: 602240f9  ldr	x0, [x19, #0x40]
0xfffffff0087821e4: a8d1fc97  bl	#0xfffffff0086b6884
0xfffffff0087821e8: 602240f9  ldr	x0, [x19, #0x40]
0xfffffff0087821ec: e1d1fc97  bl	#0xfffffff0086b6970
0xfffffff0087821f0: f40300aa  mov	x20, x0
0xfffffff0087821f4: bfffff17  b	#0xfffffff0087820f0
0xfffffff0087821f8: 7f2303d5  pacibsp	
0xfffffff0087821fc: ffc300d1  sub	sp, sp, #0x30
0xfffffff008782200: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008782204: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008782208: fd830091  add	x29, sp, #0x20
0xfffffff00878220c: 93578052  mov	w19, #0x2bc
0xfffffff008782210: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008782214: 081040f9  ldr	x8, [x0, #0x20]
0xfffffff008782218: e80400b4  cbz	x8, #0xfffffff0087822b4
0xfffffff00878221c: f40300aa  mov	x20, x0
0xfffffff008782220: 002040f9  ldr	x0, [x0, #0x40]
0xfffffff008782224: 800400b4  cbz	x0, #0xfffffff0087822b4
0xfffffff008782228: 88324139  ldrb	w8, [x20, #0x4c]
0xfffffff00878222c: 48040034  cbz	w8, #0xfffffff0087822b4
0xfffffff008782230: 21008052  mov	w1, #1
