; Candidate 1088
; ADRP+ADD at VM 0xfffffff0081f82a4 (fileoff 0x11f42a4): page=0x1fd3000 add_imm=0xd24

0xfffffff0081f8224: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0081f8228: ff0f5fd6  retab	
0xfffffff0081f822c: 017d1853  lsr	w1, w8, #0x18
0xfffffff0081f8230: 80fe00f0  adrp	x0, #0xfffffff00a1cb000
0xfffffff0081f8234: 00903491  add	x0, x0, #0xd24
0xfffffff0081f8238: fcdbee97  bl	#0xfffffff007daf228
0xfffffff0081f823c: e4ffff17  b	#0xfffffff0081f81cc
0xfffffff0081f8240: 7f2303d5  pacibsp	
0xfffffff0081f8244: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0081f8248: fd030091  mov	x29, sp
0xfffffff0081f824c: 82d038d5  mrs	x2, tpidr_el1
0xfffffff0081f8250: 484841b9  ldr	w8, [x2, #0x148]
0xfffffff0081f8254: 08050011  add	w8, w8, #1
0xfffffff0081f8258: 484801b9  str	w8, [x2, #0x148]
0xfffffff0081f825c: 88fe00f0  adrp	x8, #0xfffffff00a1cb000
0xfffffff0081f8260: 08b13491  add	x8, x8, #0xd2c
0xfffffff0081f8264: 0920a052  mov	w9, #0x1000000
0xfffffff0081f8268: 0801a9b8  ldadda	w9, w8, [x8]
0xfffffff0081f826c: 095d1053  ubfx	w9, w8, #0x10, #8
0xfffffff0081f8270: 3f61486b  cmp	w9, w8, lsr #24
0xfffffff0081f8274: 41020054  b.ne	#0xfffffff0081f82bc
0xfffffff0081f8278: 481844b9  ldr	w8, [x2, #0x418]
0xfffffff0081f827c: 89fe00f0  adrp	x9, #0xfffffff00a1cb000
0xfffffff0081f8280: 28310db9  str	w8, [x9, #0xd30]
0xfffffff0081f8284: e00001d0  adrp	x0, #0xfffffff00a216000
0xfffffff0081f8288: 00402b91  add	x0, x0, #0xad0
0xfffffff0081f828c: 080040b9  ldr	w8, [x0]
0xfffffff0081f8290: 08751d12  and	w8, w8, #0xfffffff9
0xfffffff0081f8294: 088400b8  str	w8, [x0], #8
0xfffffff0081f8298: ef1c0094  bl	#0xfffffff0081ff654
0xfffffff0081f829c: 680201b0  adrp	x8, #0xfffffff00a245000
0xfffffff0081f82a0: 1f491b39  strb	wzr, [x8, #0x6d2]
0xfffffff0081f82a4: 80fe00f0  adrp	x0, #0xfffffff00a1cb000
0xfffffff0081f82a8: 00903491  add	x0, x0, #0xd24
0xfffffff0081f82ac: 92dcee97  bl	#0xfffffff007daf4f4
0xfffffff0081f82b0: 00008052  mov	w0, #0
0xfffffff0081f82b4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0081f82b8: ff0f5fd6  retab	
0xfffffff0081f82bc: 017d1853  lsr	w1, w8, #0x18
0xfffffff0081f82c0: 80fe00f0  adrp	x0, #0xfffffff00a1cb000
0xfffffff0081f82c4: 00903491  add	x0, x0, #0xd24
0xfffffff0081f82c8: d8dbee97  bl	#0xfffffff007daf228
0xfffffff0081f82cc: eeffff17  b	#0xfffffff0081f8284
0xfffffff0081f82d0: 7f2303d5  pacibsp	
0xfffffff0081f82d4: fc6fbaa9  stp	x28, x27, [sp, #-0x60]!
0xfffffff0081f82d8: fa6701a9  stp	x26, x25, [sp, #0x10]
0xfffffff0081f82dc: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff0081f82e0: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0081f82e4: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0081f82e8: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0081f82ec: fd430191  add	x29, sp, #0x50
0xfffffff0081f82f0: f60302aa  mov	x22, x2
0xfffffff0081f82f4: f30301aa  mov	x19, x1
0xfffffff0081f82f8: 94d038d5  mrs	x20, tpidr_el1
0xfffffff0081f82fc: 884a41b9  ldr	w8, [x20, #0x148]
0xfffffff0081f8300: 08050011  add	w8, w8, #1
0xfffffff0081f8304: 884a01b9  str	w8, [x20, #0x148]
0xfffffff0081f8308: 99fe00f0  adrp	x25, #0xfffffff00a1cb000
0xfffffff0081f830c: 39b33491  add	x25, x25, #0xd2c
0xfffffff0081f8310: 0820a052  mov	w8, #0x1000000
0xfffffff0081f8314: 2803a8b8  ldadda	w8, w8, [x25]
0xfffffff0081f8318: 095d1053  ubfx	w9, w8, #0x10, #8
0xfffffff0081f831c: 3f61486b  cmp	w9, w8, lsr #24
0xfffffff0081f8320: 9afe00f0  adrp	x26, #0xfffffff00a1cb000
