; Candidate 11282
; ADRP+ADD at VM 0xfffffff008edef84 (fileoff 0x1edaf84): page=0x1fe52e000 add_imm=0xd6b

0xfffffff008edef04: a1128052  mov	w1, #0x95
0xfffffff008edef08: 2b000014  b	#0xfffffff008edefb4
0xfffffff008edef0c: e90300f9  str	x9, [sp]
0xfffffff008edef10: 2029ffd0  adrp	x0, #0xfffffff007404000
0xfffffff008edef14: 00a81191  add	x0, x0, #0x46a
0xfffffff008edef18: 42e0d197  bl	#0xfffffff008357020
0xfffffff008edef1c: 08008052  mov	w8, #0
0xfffffff008edef20: 2d000014  b	#0xfffffff008edefd4
0xfffffff008edef24: 9f2403d5  bti	j
0xfffffff008edef28: 6029ffd0  adrp	x0, #0xfffffff00740c000
0xfffffff008edef2c: 00142591  add	x0, x0, #0x945
0xfffffff008edef30: 04000014  b	#0xfffffff008edef40
0xfffffff008edef34: 9f2403d5  bti	j
0xfffffff008edef38: 6029ffd0  adrp	x0, #0xfffffff00740c000
0xfffffff008edef3c: 00482791  add	x0, x0, #0x9d2
0xfffffff008edef40: a1118052  mov	w1, #0x8d
0xfffffff008edef44: 1c000014  b	#0xfffffff008edefb4
0xfffffff008edef48: 9f2403d5  bti	j
0xfffffff008edef4c: 6029ffd0  adrp	x0, #0xfffffff00740c000
0xfffffff008edef50: 007c2991  add	x0, x0, #0xa5f
0xfffffff008edef54: a1138052  mov	w1, #0x9d
0xfffffff008edef58: 17000014  b	#0xfffffff008edefb4
0xfffffff008edef5c: 9f2403d5  bti	j
0xfffffff008edef60: 6029ffd0  adrp	x0, #0xfffffff00740c000
0xfffffff008edef64: 00442e91  add	x0, x0, #0xb91
0xfffffff008edef68: 01388052  mov	w1, #0x1c0
0xfffffff008edef6c: 12000014  b	#0xfffffff008edefb4
0xfffffff008edef70: 9f2403d5  bti	j
0xfffffff008edef74: 6029ffd0  adrp	x0, #0xfffffff00740c000
0xfffffff008edef78: 00443591  add	x0, x0, #0xd51
0xfffffff008edef7c: 08000014  b	#0xfffffff008edef9c
0xfffffff008edef80: 9f2403d5  bti	j
0xfffffff008edef84: 6029ffd0  adrp	x0, #0xfffffff00740c000
0xfffffff008edef88: 00ac3591  add	x0, x0, #0xd6b
0xfffffff008edef8c: 04000014  b	#0xfffffff008edef9c
0xfffffff008edef90: 9f2403d5  bti	j
0xfffffff008edef94: 6029ffd0  adrp	x0, #0xfffffff00740c000
0xfffffff008edef98: 00143691  add	x0, x0, #0xd85
0xfffffff008edef9c: 41038052  mov	w1, #0x1a
0xfffffff008edefa0: 05000014  b	#0xfffffff008edefb4
0xfffffff008edefa4: 9f2403d5  bti	j
0xfffffff008edefa8: 6029ffd0  adrp	x0, #0xfffffff00740c000
0xfffffff008edefac: 007c3691  add	x0, x0, #0xd9f
0xfffffff008edefb0: 61148052  mov	w1, #0xa3
0xfffffff008edefb4: 9f2403d5  bti	j
0xfffffff008edefb8: e8430091  add	x8, sp, #0x10
0xfffffff008edefbc: 8bffff97  bl	#0xfffffff008edede8
0xfffffff008edefc0: e08740ad  ldp	q0, q1, [sp, #0x10]
0xfffffff008edefc4: 600600ad  stp	q0, q1, [x19]
0xfffffff008edefc8: e08741ad  ldp	q0, q1, [sp, #0x30]
0xfffffff008edefcc: 600601ad  stp	q0, q1, [x19, #0x20]
0xfffffff008edefd0: 28008052  mov	w8, #1
0xfffffff008edefd4: 9f2403d5  bti	j
0xfffffff008edefd8: e00308aa  mov	x0, x8
0xfffffff008edefdc: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff008edefe0: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff008edefe4: ffc30191  add	sp, sp, #0x70
0xfffffff008edefe8: ff0f5fd6  retab	
0xfffffff008edefec: e8000000  udf	#0xe8
0xfffffff008edeff0: c8000000  udf	#0xc8
0xfffffff008edeff4: e8000000  udf	#0xe8
0xfffffff008edeff8: e8000000  udf	#0xe8
0xfffffff008edeffc: 38000000  udf	#0x38
0xfffffff008edf000: 48000000  udf	#0x48
