; Candidate 8385
; ADRP+ADD at VM 0xfffffff0088a8074 (fileoff 0x18a4074): page=0x1fe941000 add_imm=0xe80

0xfffffff0088a7ff4: 6c3d50b3  bfi	x12, x11, #0x30, #0x10
0xfffffff0088a7ff8: 4c8500f8  str	x12, [x10], #8
0xfffffff0088a7ffc: 08050051  sub	w8, w8, #1
0xfffffff0088a8000: 1f050071  cmp	w8, #1
0xfffffff0088a8004: 08feff54  b.hi	#0xfffffff0088a7fc4
0xfffffff0088a8008: 19008052  mov	w25, #0
0xfffffff0088a800c: 21000014  b	#0xfffffff0088a8090
0xfffffff0088a8010: 67300094  bl	#0xfffffff0088b41ac
0xfffffff0088a8014: f90300aa  mov	x25, x0
0xfffffff0088a8018: 80008052  mov	w0, #4
0xfffffff0088a801c: 0d4eff97  bl	#0xfffffff00887b850
0xfffffff0088a8020: 680240b9  ldr	w8, [x19]
0xfffffff0088a8024: e90318aa  mov	x9, x24
0xfffffff0088a8028: e95f06a9  stp	x9, x23, [sp, #0x60]
0xfffffff0088a802c: e90316aa  mov	x9, x22
0xfffffff0088a8030: ea0315aa  mov	x10, x21
0xfffffff0088a8034: ea2705a9  stp	x10, x9, [sp, #0x50]
0xfffffff0088a8038: e85304a9  stp	x8, x20, [sp, #0x40]
0xfffffff0088a803c: 484cffd0  adrp	x8, #0xfffffff007232000
0xfffffff0088a8040: 08e53591  add	x8, x8, #0xd79
0xfffffff0088a8044: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff0088a8048: e8ae8052  mov	w8, #0x577
0xfffffff0088a804c: 494cffd0  adrp	x9, #0xfffffff007232000
0xfffffff0088a8050: 297d3491  add	x9, x9, #0xd1f
0xfffffff0088a8054: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088a8058: 484cffd0  adrp	x8, #0xfffffff007232000
0xfffffff0088a805c: 08593a91  add	x8, x8, #0xe96
0xfffffff0088a8060: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a8064: 680f8052  mov	w8, #0x7b
0xfffffff0088a8068: c34dffd0  adrp	x3, #0xfffffff007262000
0xfffffff0088a806c: 63883491  add	x3, x3, #0xd22
0xfffffff0088a8070: f92300a9  stp	x25, x8, [sp]
0xfffffff0088a8074: 004affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a8078: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a807c: 018bff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088a8080: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a8084: 02008052  mov	w2, #0
0xfffffff0088a8088: 2a2cea97  bl	#0xfffffff008333130
0xfffffff0088a808c: 197d8012  mov	w25, #-0x3e9
0xfffffff0088a8090: 600f8052  mov	w0, #0x7b
0xfffffff0088a8094: e1008052  mov	w1, #7
0xfffffff0088a8098: ce4dff97  bl	#0xfffffff00887b7d0
0xfffffff0088a809c: 80060034  cbz	w0, #0xfffffff0088a816c
0xfffffff0088a80a0: 600f8052  mov	w0, #0x7b
0xfffffff0088a80a4: dd4dff97  bl	#0xfffffff00887b818
0xfffffff0088a80a8: fb0300aa  mov	x27, x0
0xfffffff0088a80ac: 40300094  bl	#0xfffffff0088b41ac
0xfffffff0088a80b0: fa0300aa  mov	x26, x0
0xfffffff0088a80b4: e0008052  mov	w0, #7
0xfffffff0088a80b8: e64dff97  bl	#0xfffffff00887b850
0xfffffff0088a80bc: 5b020034  cbz	w27, #0xfffffff0088a8104
0xfffffff0088a80c0: 680240b9  ldr	w8, [x19]
0xfffffff0088a80c4: f7e705a9  stp	x23, x25, [sp, #0x58]
0xfffffff0088a80c8: f6e304a9  stp	x22, x24, [sp, #0x48]
0xfffffff0088a80cc: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff0088a80d0: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff0088a80d4: 484cffd0  adrp	x8, #0xfffffff007232000
0xfffffff0088a80d8: 097d3491  add	x9, x8, #0xd1f
0xfffffff0088a80dc: 484cffd0  adrp	x8, #0xfffffff007232000
0xfffffff0088a80e0: 08593a91  add	x8, x8, #0xe96
0xfffffff0088a80e4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088a80e8: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088a80ec: 680f8052  mov	w8, #0x7b
0xfffffff0088a80f0: 404cffd0  adrp	x0, #0xfffffff007232000
