; Candidate 16715
; ADRP+ADD at VM 0xfffffff009f32528 (fileoff 0x2f2e528): page=0x1fd924000 add_imm=0xd1a

0xfffffff009f324a8: f10306a9  stp	x17, x0, [sp, #0x60]
0xfffffff009f324ac: ef4305a9  stp	x15, x16, [sp, #0x50]
0xfffffff009f324b0: ed3b04a9  stp	x13, x14, [sp, #0x40]
0xfffffff009f324b4: eb3303a9  stp	x11, x12, [sp, #0x30]
0xfffffff009f324b8: e82b02a9  stp	x8, x10, [sp, #0x20]
0xfffffff009f324bc: e90701a9  stp	x9, x1, [sp, #0x10]
0xfffffff009f324c0: a8418052  mov	w8, #0x20d
0xfffffff009f324c4: f82300a9  stp	x24, x8, [sp]
0xfffffff009f324c8: 20c9fe90  adrp	x0, #0xfffffff007856000
0xfffffff009f324cc: 008c3291  add	x0, x0, #0xca3
0xfffffff009f324d0: e734fd97  bl	#0xfffffff009e7f86c
0xfffffff009f324d4: 480340f9  ldr	x8, [x26]
0xfffffff009f324d8: 086540f9  ldr	x8, [x8, #0xc8]
0xfffffff009f324dc: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff009f324e0: 49a34039  ldrb	w9, [x26, #0x28]
0xfffffff009f324e4: 4bab56a9  ldp	x11, x10, [x26, #0x168]
0xfffffff009f324e8: 4db355a9  ldp	x13, x12, [x26, #0x158]
0xfffffff009f324ec: 4fbb54a9  ldp	x15, x14, [x26, #0x148]
0xfffffff009f324f0: 50a340f9  ldr	x16, [x26, #0x140]
0xfffffff009f324f4: b00000b4  cbz	x16, #0xfffffff009f32508
0xfffffff009f324f8: f109d09a  udiv	x17, x15, x16
0xfffffff009f324fc: ef4705a9  stp	x15, x17, [sp, #0x50]
0xfffffff009f32500: f02700f9  str	x16, [sp, #0x48]
0xfffffff009f32504: 03000014  b	#0xfffffff009f32510
0xfffffff009f32508: ef7f05a9  stp	x15, xzr, [sp, #0x50]
0xfffffff009f3250c: ff2700f9  str	xzr, [sp, #0x48]
0xfffffff009f32510: edbb03a9  stp	x13, x14, [sp, #0x38]
0xfffffff009f32514: ebb302a9  stp	x11, x12, [sp, #0x28]
0xfffffff009f32518: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff009f3251c: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009f32520: 68428052  mov	w8, #0x213
0xfffffff009f32524: f82300a9  stp	x24, x8, [sp]
0xfffffff009f32528: 20c9fe90  adrp	x0, #0xfffffff007856000
0xfffffff009f3252c: 00683491  add	x0, x0, #0xd1a
0xfffffff009f32530: cf34fd97  bl	#0xfffffff009e7f86c
0xfffffff009f32534: 29008052  mov	w9, #1
0xfffffff009f32538: 28008052  mov	w8, #1
0xfffffff009f3253c: 1be50736  tbz	w27, #0, #0xfffffff009f321dc
0xfffffff009f32540: 0d000014  b	#0xfffffff009f32574
0xfffffff009f32544: 481340f9  ldr	x8, [x26, #0x20]
0xfffffff009f32548: 49a75439  ldrb	w9, [x26, #0x529]
0xfffffff009f3254c: 29f57ed3  lsl	x9, x9, #2
0xfffffff009f32550: 696b6978  ldrh	w9, [x27, x9]
0xfffffff009f32554: 2821149b  madd	x8, x9, x20, x8
0xfffffff009f32558: 092140a9  ldp	x9, x8, [x8]
0xfffffff009f3255c: 29cd4092  and	x9, x9, #0xfffffffffffff
0xfffffff009f32560: 08cd4092  and	x8, x8, #0xfffffffffffff
0xfffffff009f32564: a48357f8  ldur	x4, [x29, #-0x88]
0xfffffff009f32568: 290104cb  sub	x9, x9, x4
0xfffffff009f3256c: 2801088b  add	x8, x9, x8
0xfffffff009f32570: 67ffff17  b	#0xfffffff009f3230c
0xfffffff009f32574: e00314aa  mov	x0, x20
0xfffffff009f32578: b2120094  bl	#0xfffffff009f37040
0xfffffff009f3257c: b30357f8  ldur	x19, [x29, #-0x90]
0xfffffff009f32580: f44f40f9  ldr	x20, [sp, #0x98]
0xfffffff009f32584: 55c9fef0  adrp	x21, #0xfffffff00785d000
0xfffffff009f32588: b5620d91  add	x21, x21, #0x358
0xfffffff009f3258c: 806e40f9  ldr	x0, [x20, #0xd8]
0xfffffff009f32590: 67850094  bl	#0xfffffff009f53b2c
0xfffffff009f32594: e00314aa  mov	x0, x20
0xfffffff009f32598: 01008052  mov	w1, #0
0xfffffff009f3259c: 22008052  mov	w2, #1
0xfffffff009f325a0: 715d0094  bl	#0xfffffff009f49b64
0xfffffff009f325a4: 20010034  cbz	w0, #0xfffffff009f325c8
