; Candidate 14742
; ADRP+ADD at VM 0xfffffff0098b7f4c (fileoff 0x28b3f4c): page=0x1fe3b9000 add_imm=0xd78

0xfffffff0098b7ecc: e05600b0  adrp	x0, #0xfffffff00a394000
0xfffffff0098b7ed0: 00203691  add	x0, x0, #0xd88
0xfffffff0098b7ed4: c0035fd6  ret	
0xfffffff0098b7ed8: 7f2303d5  pacibsp	
0xfffffff0098b7edc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0098b7ee0: fd030091  mov	x29, sp
0xfffffff0098b7ee4: 21e9feb0  adrp	x1, #0xfffffff0075dc000
0xfffffff0098b7ee8: 21a01191  add	x1, x1, #0x468
0xfffffff0098b7eec: a21dfff0  adrp	x2, #0xfffffff007c6e000
0xfffffff0098b7ef0: 42ec42f9  ldr	x2, [x2, #0x5d8]
0xfffffff0098b7ef4: 03168052  mov	w3, #0xb0
0xfffffff0098b7ef8: 10afa897  bl	#0xfffffff0082e3b38
0xfffffff0098b7efc: d01dff90  adrp	x16, #0xfffffff007c6f000
0xfffffff0098b7f00: 10c22f91  add	x16, x16, #0xbf0
0xfffffff0098b7f04: 10420091  add	x16, x16, #0x10
0xfffffff0098b7f08: f10300aa  mov	x17, x0
0xfffffff0098b7f0c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0098b7f10: 300ac1da  pacda	x16, x17
0xfffffff0098b7f14: 100000f9  str	x16, [x0]
0xfffffff0098b7f18: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0098b7f1c: ff0f5fd6  retab	
0xfffffff0098b7f20: 5f2403d5  bti	c
0xfffffff0098b7f24: 000080d2  mov	x0, #0
0xfffffff0098b7f28: c0035fd6  ret	
0xfffffff0098b7f2c: 5f2403d5  bti	c
0xfffffff0098b7f30: e10300aa  mov	x1, x0
0xfffffff0098b7f34: c01dffb0  adrp	x0, #0xfffffff007c70000
0xfffffff0098b7f38: 00e03591  add	x0, x0, #0xd78
0xfffffff0098b7f3c: bfbda817  b	#0xfffffff0082e7638
0xfffffff0098b7f40: 5f2403d5  bti	c
0xfffffff0098b7f44: e20301aa  mov	x2, x1
0xfffffff0098b7f48: e10300aa  mov	x1, x0
0xfffffff0098b7f4c: c01dffb0  adrp	x0, #0xfffffff007c70000
0xfffffff0098b7f50: 00e03591  add	x0, x0, #0xd78
0xfffffff0098b7f54: d2bda817  b	#0xfffffff0082e769c
0xfffffff0098b7f58: 7f2303d5  pacibsp	
0xfffffff0098b7f5c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0098b7f60: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0098b7f64: fd430091  add	x29, sp, #0x10
0xfffffff0098b7f68: f40301aa  mov	x20, x1
0xfffffff0098b7f6c: f30300aa  mov	x19, x0
0xfffffff0098b7f70: a81dfff0  adrp	x8, #0xfffffff007c6e000
0xfffffff0098b7f74: 081143f9  ldr	x8, [x8, #0x620]
0xfffffff0098b7f78: 09411591  add	x9, x8, #0x550
0xfffffff0098b7f7c: 08a942f9  ldr	x8, [x8, #0x550]
0xfffffff0098b7f80: f10309aa  mov	x17, x9
0xfffffff0098b7f84: d1b5f0f2  movk	x17, #0x85ae, lsl #48
0xfffffff0098b7f88: 11093fd7  blraa	x8, x17
0xfffffff0098b7f8c: 60040034  cbz	w0, #0xfffffff0098b8018
0xfffffff0098b7f90: a81dfff0  adrp	x8, #0xfffffff007c6e000
0xfffffff0098b7f94: 08f942f9  ldr	x8, [x8, #0x5f0]
0xfffffff0098b7f98: 010140f9  ldr	x1, [x8]
0xfffffff0098b7f9c: e00314aa  mov	x0, x20
0xfffffff0098b7fa0: 55afa897  bl	#0xfffffff0082e3cf4
0xfffffff0098b7fa4: 100040f9  ldr	x16, [x0]
0xfffffff0098b7fa8: f10300aa  mov	x17, x0
0xfffffff0098b7fac: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0098b7fb0: 301ac1da  autda	x16, x17
0xfffffff0098b7fb4: 11b580d2  mov	x17, #0x5a8
0xfffffff0098b7fb8: 1002118b  add	x16, x16, x17
0xfffffff0098b7fbc: 080240f9  ldr	x8, [x16]
0xfffffff0098b7fc0: e90310aa  mov	x9, x16
0xfffffff0098b7fc4: f10309aa  mov	x17, x9
0xfffffff0098b7fc8: b1f8e6f2  movk	x17, #0x37c5, lsl #48
