; Candidate 15424
; ADRP+ADD at VM 0xfffffff009b8fa6c (fileoff 0x2b8ba6c): page=0x1fdaa7000 add_imm=0xd17

0xfffffff009b8f9ec: 81040054  b.ne	#0xfffffff009b8fa7c
0xfffffff009b8f9f0: 700240f9  ldr	x16, [x19]
0xfffffff009b8f9f4: f10313aa  mov	x17, x19
0xfffffff009b8f9f8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b8f9fc: 301ac1da  autda	x16, x17
0xfffffff009b8fa00: 113d80d2  mov	x17, #0x1e8
0xfffffff009b8fa04: 1002118b  add	x16, x16, x17
0xfffffff009b8fa08: 080240f9  ldr	x8, [x16]
0xfffffff009b8fa0c: e90310aa  mov	x9, x16
0xfffffff009b8fa10: e00313aa  mov	x0, x19
0xfffffff009b8fa14: 010080d2  mov	x1, #0
0xfffffff009b8fa18: f10309aa  mov	x17, x9
0xfffffff009b8fa1c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b8fa20: 11093fd7  blraa	x8, x17
0xfffffff009b8fa24: f40300aa  mov	x20, x0
0xfffffff009b8fa28: 700240f9  ldr	x16, [x19]
0xfffffff009b8fa2c: f10313aa  mov	x17, x19
0xfffffff009b8fa30: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b8fa34: 301ac1da  autda	x16, x17
0xfffffff009b8fa38: 114380d2  mov	x17, #0x218
0xfffffff009b8fa3c: 1002118b  add	x16, x16, x17
0xfffffff009b8fa40: 080240f9  ldr	x8, [x16]
0xfffffff009b8fa44: e90310aa  mov	x9, x16
0xfffffff009b8fa48: e00313aa  mov	x0, x19
0xfffffff009b8fa4c: 010080d2  mov	x1, #0
0xfffffff009b8fa50: f10309aa  mov	x17, x9
0xfffffff009b8fa54: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b8fa58: 11093fd7  blraa	x8, x17
0xfffffff009b8fa5c: 28008052  mov	w8, #1
0xfffffff009b8fa60: f8a301a9  stp	x24, x8, [sp, #0x18]
0xfffffff009b8fa64: e0df00a9  stp	x0, x23, [sp, #8]
0xfffffff009b8fa68: f40300f9  str	x20, [sp]
0xfffffff009b8fa6c: 20d5fef0  adrp	x0, #0xfffffff007636000
0xfffffff009b8fa70: 005c3491  add	x0, x0, #0xd17
0xfffffff009b8fa74: 6b1d9f97  bl	#0xfffffff008357020
0xfffffff009b8fa78: 4d000014  b	#0xfffffff009b8fbac
0xfffffff009b8fa7c: 88027e92  and	x8, x20, #4
0xfffffff009b8fa80: 08fd41d3  lsr	x8, x8, #1
0xfffffff009b8fa84: 14011f52  eor	w20, w8, #2
0xfffffff009b8fa88: 700240f9  ldr	x16, [x19]
0xfffffff009b8fa8c: f10313aa  mov	x17, x19
0xfffffff009b8fa90: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b8fa94: 301ac1da  autda	x16, x17
0xfffffff009b8fa98: 113d80d2  mov	x17, #0x1e8
0xfffffff009b8fa9c: 1002118b  add	x16, x16, x17
0xfffffff009b8faa0: 080240f9  ldr	x8, [x16]
0xfffffff009b8faa4: e90310aa  mov	x9, x16
0xfffffff009b8faa8: e00313aa  mov	x0, x19
0xfffffff009b8faac: 010080d2  mov	x1, #0
0xfffffff009b8fab0: f10309aa  mov	x17, x9
0xfffffff009b8fab4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b8fab8: 11093fd7  blraa	x8, x17
0xfffffff009b8fabc: 700240f9  ldr	x16, [x19]
0xfffffff009b8fac0: f10313aa  mov	x17, x19
0xfffffff009b8fac4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b8fac8: 301ac1da  autda	x16, x17
0xfffffff009b8facc: 114380d2  mov	x17, #0x218
0xfffffff009b8fad0: 1002118b  add	x16, x16, x17
0xfffffff009b8fad4: 080240f9  ldr	x8, [x16]
0xfffffff009b8fad8: e90310aa  mov	x9, x16
0xfffffff009b8fadc: e00313aa  mov	x0, x19
0xfffffff009b8fae0: 010080d2  mov	x1, #0
0xfffffff009b8fae4: f10309aa  mov	x17, x9
0xfffffff009b8fae8: 11a8e6f2  movk	x17, #0x3540, lsl #48
