; Candidate 828
; ADRP+ADD at VM 0xfffffff0080d64b0 (fileoff 0x10d24b0): page=0x1fefa1000 add_imm=0xdb3

0xfffffff0080d6430: 94e21f91  add	x20, x20, #0x7f8
0xfffffff0080d6434: 897ee8c8  casa	x8, x9, [x20]
0xfffffff0080d6438: 1f0100f1  cmp	x8, #0
0xfffffff0080d643c: 61040054  b.ne	#0xfffffff0080d64c8
0xfffffff0080d6440: 480b01f0  adrp	x8, #0xfffffff00a241000
0xfffffff0080d6444: 35008052  mov	w21, #1
0xfffffff0080d6448: 150108b9  str	w21, [x8, #0x800]
0xfffffff0080d644c: 560b01f0  adrp	x22, #0xfffffff00a241000
0xfffffff0080d6450: c8226039  ldrb	w8, [x22, #0x808]
0xfffffff0080d6454: c8010037  tbnz	w8, #0, #0xfffffff0080d648c
0xfffffff0080d6458: 400b01f0  adrp	x0, #0xfffffff00a241000
0xfffffff0080d645c: 00c01f91  add	x0, x0, #0x7f0
0xfffffff0080d6460: 4d59f397  bl	#0xfffffff007dac994
0xfffffff0080d6464: d5222039  strb	w21, [x22, #0x808]
0xfffffff0080d6468: 080701d0  adrp	x8, #0xfffffff00a1b8000
0xfffffff0080d646c: 02114cb9  ldr	w2, [x8, #0xc10]
0xfffffff0080d6470: f0fffff0  adrp	x16, #0xfffffff0080d5000
0xfffffff0080d6474: 10423891  add	x16, x16, #0xe10
0xfffffff0080d6478: d15785d2  mov	x17, #0x2abe
0xfffffff0080d647c: 3002c1da  pacia	x16, x17
0xfffffff0080d6480: e00310aa  mov	x0, x16
0xfffffff0080d6484: 010080d2  mov	x1, #0
0xfffffff0080d6488: efbf0294  bl	#0xfffffff008186444
0xfffffff0080d648c: 681a44b9  ldr	w8, [x19, #0x418]
0xfffffff0080d6490: e20308aa  mov	x2, x8
0xfffffff0080d6494: 9ffea288  casl	w2, wzr, [x20]
0xfffffff0080d6498: 5f00086b  cmp	w2, w8
0xfffffff0080d649c: 21020054  b.ne	#0xfffffff0080d64e0
0xfffffff0080d64a0: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0080d64a4: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0080d64a8: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff0080d64ac: ff0f5fd6  retab	
0xfffffff0080d64b0: 007dffb0  adrp	x0, #0xfffffff007077000
0xfffffff0080d64b4: 00cc3691  add	x0, x0, #0xdb3
0xfffffff0080d64b8: 017dffb0  adrp	x1, #0xfffffff007077000
0xfffffff0080d64bc: 214c3791  add	x1, x1, #0xdd3
0xfffffff0080d64c0: e2088052  mov	w2, #0x47
0xfffffff0080d64c4: d4240f94  bl	#0xfffffff00849f814
0xfffffff0080d64c8: 400b01f0  adrp	x0, #0xfffffff00a241000
0xfffffff0080d64cc: 00c01f91  add	x0, x0, #0x7f0
0xfffffff0080d64d0: e10313aa  mov	x1, x19
0xfffffff0080d64d4: 22008052  mov	w2, #1
0xfffffff0080d64d8: 8855f397  bl	#0xfffffff007dabaf8
0xfffffff0080d64dc: d9ffff17  b	#0xfffffff0080d6440
0xfffffff0080d64e0: 400b01f0  adrp	x0, #0xfffffff00a241000
0xfffffff0080d64e4: 00c01f91  add	x0, x0, #0x7f0
0xfffffff0080d64e8: e10313aa  mov	x1, x19
0xfffffff0080d64ec: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0080d64f0: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0080d64f4: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff0080d64f8: ff2303d5  autibsp	
0xfffffff0080d64fc: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0080d6500: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0080d6508
0xfffffff0080d6504: 208e38d4  brk	#0xc471
0xfffffff0080d6508: 9758f317  b	#0xfffffff007dac764
0xfffffff0080d650c: 7f2303d5  pacibsp	
0xfffffff0080d6510: ff4301d1  sub	sp, sp, #0x50
0xfffffff0080d6514: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff0080d6518: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0080d651c: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0080d6520: fd030191  add	x29, sp, #0x40
0xfffffff0080d6524: 161040f9  ldr	x22, [x0, #0x20]
0xfffffff0080d6528: d60c00b4  cbz	x22, #0xfffffff0080d66c0
0xfffffff0080d652c: f30300aa  mov	x19, x0
