; Candidate 1282
; ADRP+ADD at VM 0xfffffff008340974 (fileoff 0x133c974): page=0x1fed63000 add_imm=0xd29

0xfffffff0083408f4: 090200b5  cbnz	x9, #0xfffffff008340934
0xfffffff0083408f8: 00d105f9  str	x0, [x8, #0xba0]
0xfffffff0083408fc: 68afff90  adrp	x8, #0xfffffff00792c000
0xfffffff008340900: 10d545f9  ldr	x16, [x8, #0xba8]
0xfffffff008340904: 300100b4  cbz	x16, #0xfffffff008340928
0xfffffff008340908: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00834090c: ff830091  add	sp, sp, #0x20
0xfffffff008340910: ff2303d5  autibsp	
0xfffffff008340914: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff008340918: 5100f0b6  tbz	x17, #0x3e, #0xfffffff008340920
0xfffffff00834091c: 208e38d4  brk	#0xc471
0xfffffff008340920: f14489d2  mov	x17, #0x4a27
0xfffffff008340924: 110a1fd7  braa	x16, x17
0xfffffff008340928: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00834092c: ff830091  add	sp, sp, #0x20
0xfffffff008340930: ff0f5fd6  retab	
0xfffffff008340934: e86aff90  adrp	x8, #0xfffffff00709c000
0xfffffff008340938: 08f92d91  add	x8, x8, #0xb7e
0xfffffff00834093c: 29028052  mov	w9, #0x11
0xfffffff008340940: e82700a9  stp	x8, x9, [sp]
0xfffffff008340944: e06aff90  adrp	x0, #0xfffffff00709c000
0xfffffff008340948: 00542d91  add	x0, x0, #0xb55
0xfffffff00834094c: f04e0594  bl	#0xfffffff00849450c
0xfffffff008340950: 7f2303d5  pacibsp	
0xfffffff008340954: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008340958: fd030091  mov	x29, sp
0xfffffff00834095c: 280040f9  ldr	x8, [x1]
0xfffffff008340960: 081d40b9  ldr	w8, [x8, #0x1c]
0xfffffff008340964: 89d19652  mov	w9, #0xb68c
0xfffffff008340968: 49b4a972  movk	w9, #0x4da2, lsl #16
0xfffffff00834096c: 1f01096b  cmp	w8, w9
0xfffffff008340970: 80000054  b.eq	#0xfffffff008340980
0xfffffff008340974: 006bfff0  adrp	x0, #0xfffffff0070a3000
0xfffffff008340978: 00a43491  add	x0, x0, #0xd29
0xfffffff00834097c: e58afe97  bl	#0xfffffff0082e3510
0xfffffff008340980: e0588052  mov	w0, #0x2c7
0xfffffff008340984: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff008340988: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00834098c: ff0f5fd6  retab	
0xfffffff008340990: 7f2303d5  pacibsp	
0xfffffff008340994: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008340998: fd030091  mov	x29, sp
0xfffffff00834099c: 280040f9  ldr	x8, [x1]
0xfffffff0083409a0: 081d40b9  ldr	w8, [x8, #0x1c]
0xfffffff0083409a4: 89d19652  mov	w9, #0xb68c
0xfffffff0083409a8: 49b4a972  movk	w9, #0x4da2, lsl #16
0xfffffff0083409ac: 1f01096b  cmp	w8, w9
0xfffffff0083409b0: 80000054  b.eq	#0xfffffff0083409c0
0xfffffff0083409b4: 006bfff0  adrp	x0, #0xfffffff0070a3000
0xfffffff0083409b8: 00a43491  add	x0, x0, #0xd29
0xfffffff0083409bc: d58afe97  bl	#0xfffffff0082e3510
0xfffffff0083409c0: e0588052  mov	w0, #0x2c7
0xfffffff0083409c4: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff0083409c8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0083409cc: ff0f5fd6  retab	
0xfffffff0083409d0: 7f2303d5  pacibsp	
0xfffffff0083409d4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0083409d8: fd030091  mov	x29, sp
0xfffffff0083409dc: 280040f9  ldr	x8, [x1]
0xfffffff0083409e0: 081d40b9  ldr	w8, [x8, #0x1c]
0xfffffff0083409e4: 89d19652  mov	w9, #0xb68c
0xfffffff0083409e8: 49b4a972  movk	w9, #0x4da2, lsl #16
0xfffffff0083409ec: 1f01096b  cmp	w8, w9
0xfffffff0083409f0: 80000054  b.eq	#0xfffffff008340a00
