; Candidate 2817
; ADRP+ADD at VM 0xfffffff0086eb478 (fileoff 0x16e7478): page=0x1fea46000 add_imm=0xd90

0xfffffff0086eb3f8: ad014039  ldrb	w13, [x13]
0xfffffff0086eb3fc: d6020d2a  orr	w22, w22, w13
0xfffffff0086eb400: ed030eaa  mov	x13, x14
0xfffffff0086eb404: 6b050071  subs	w11, w11, #1
0xfffffff0086eb408: a1feff54  b.ne	#0xfffffff0086eb3dc
0xfffffff0086eb40c: ea030a4b  neg	w10, w10
0xfffffff0086eb410: 2925ca1a  lsr	w9, w9, w10
0xfffffff0086eb414: 3821d71a  lsl	w24, w9, w23
0xfffffff0086eb418: 69ce5eb9  ldr	w9, [x19, #0x1ecc]
0xfffffff0086eb41c: 3f01156a  tst	w9, w21
0xfffffff0086eb420: 60050054  b.eq	#0xfffffff0086eb4cc
0xfffffff0086eb424: f62300a9  stp	x22, x8, [sp]
0xfffffff0086eb428: 2052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086eb42c: 00403691  add	x0, x0, #0xd90
0xfffffff0086eb430: 8198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086eb434: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086eb438: 4352ff90  adrp	x3, #0xfffffff007133000
0xfffffff0086eb43c: 63ac3091  add	x3, x3, #0xc2b
0xfffffff0086eb440: 02008052  mov	w2, #0
0xfffffff0086eb444: 3b1ff197  bl	#0xfffffff008333130
0xfffffff0086eb448: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff0086eb44c: 20000014  b	#0xfffffff0086eb4cc
0xfffffff0086eb450: 68ce5eb9  ldr	w8, [x19, #0x1ecc]
0xfffffff0086eb454: 29008052  mov	w9, #1
0xfffffff0086eb458: 8900a072  movk	w9, #4, lsl #16
0xfffffff0086eb45c: 1f01096a  tst	w8, w9
0xfffffff0086eb460: e0010054  b.eq	#0xfffffff0086eb49c
0xfffffff0086eb464: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff0086eb468: f4a300a9  stp	x20, x8, [sp, #8]
0xfffffff0086eb46c: 2853ffb0  adrp	x8, #0xfffffff007150000
0xfffffff0086eb470: 08b52a91  add	x8, x8, #0xaad
0xfffffff0086eb474: e80300f9  str	x8, [sp]
0xfffffff0086eb478: 2052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086eb47c: 00403691  add	x0, x0, #0xd90
0xfffffff0086eb480: 8198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086eb484: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086eb488: 4352ff90  adrp	x3, #0xfffffff007133000
0xfffffff0086eb48c: 63243291  add	x3, x3, #0xc89
0xfffffff0086eb490: 02008052  mov	w2, #0
0xfffffff0086eb494: 271ff197  bl	#0xfffffff008333130
0xfffffff0086eb498: 744640b9  ldr	w20, [x19, #0x44]
0xfffffff0086eb49c: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff0086eb4a0: 8802084b  sub	w8, w20, w8
0xfffffff0086eb4a4: 087d0353  lsr	w8, w8, #3
0xfffffff0086eb4a8: 690a40f9  ldr	x9, [x19, #0x10]
0xfffffff0086eb4ac: 2801088b  add	x8, x9, x8
0xfffffff0086eb4b0: 680a00f9  str	x8, [x19, #0x10]
0xfffffff0086eb4b4: 7f1600f9  str	xzr, [x19, #0x28]
0xfffffff0086eb4b8: 1a000014  b	#0xfffffff0086eb520
0xfffffff0086eb4bc: 18008052  mov	w24, #0
0xfffffff0086eb4c0: e8030aaa  mov	x8, x10
0xfffffff0086eb4c4: f60309aa  mov	x22, x9
0xfffffff0086eb4c8: f70314aa  mov	x23, x20
0xfffffff0086eb4cc: c922d71a  lsl	w9, w22, w23
0xfffffff0086eb4d0: 0801174b  sub	w8, w8, w23
0xfffffff0086eb4d4: 69220529  stp	w9, w8, [x19, #0x28]
0xfffffff0086eb4d8: 69ce5eb9  ldr	w9, [x19, #0x1ecc]
0xfffffff0086eb4dc: 3f01156a  tst	w9, w21
0xfffffff0086eb4e0: 00020054  b.eq	#0xfffffff0086eb520
0xfffffff0086eb4e4: e903174b  neg	w9, w23
0xfffffff0086eb4e8: c926c91a  lsr	w9, w22, w9
0xfffffff0086eb4ec: 2901182a  orr	w9, w9, w24
0xfffffff0086eb4f0: 2a53ffb0  adrp	x10, #0xfffffff007150000
0xfffffff0086eb4f4: 4add2a91  add	x10, x10, #0xab7
