; Candidate 12747
; ADRP+ADD at VM 0xfffffff00915046c (fileoff 0x214c46c): page=0x1fe337000 add_imm=0xcf9

0xfffffff0091503ec: b156fcf2  movk	x17, #0xe2b5, lsl #48
0xfffffff0091503f0: 11093fd7  blraa	x8, x17
0xfffffff0091503f4: 68e25539  ldrb	w8, [x19, #0x578]
0xfffffff0091503f8: 68000037  tbnz	w8, #0, #0xfffffff009150404
0xfffffff0091503fc: 605a41b9  ldr	w0, [x19, #0x158]
0xfffffff009150400: 03000014  b	#0xfffffff00915040c
0xfffffff009150404: a0058052  mov	w0, #0x2d
0xfffffff009150408: 605a01b9  str	w0, [x19, #0x158]
0xfffffff00915040c: 62820491  add	x2, x19, #0x120
0xfffffff009150410: 01409952  mov	w1, #0xca00
0xfffffff009150414: 4173a772  movk	w1, #0x3b9a, lsl #16
0xfffffff009150418: 9df8b097  bl	#0xfffffff007d8e68c
0xfffffff00915041c: 288e00b0  adrp	x8, #0xfffffff00a315000
0xfffffff009150420: 08c11f91  add	x8, x8, #0x7f0
0xfffffff009150424: 080140b9  ldr	w8, [x8]
0xfffffff009150428: 1f090071  cmp	w8, #2
0xfffffff00915042c: 230a0054  b.lo	#0xfffffff009150570
0xfffffff009150430: 88635e39  ldrb	w8, [x28, #0x798]
0xfffffff009150434: c8000034  cbz	w8, #0xfffffff00915044c
0xfffffff009150438: 685a41b9  ldr	w8, [x19, #0x158]
0xfffffff00915043c: e80300f9  str	x8, [sp]
0xfffffff009150440: a019fff0  adrp	x0, #0xfffffff007487000
0xfffffff009150444: 00683291  add	x0, x0, #0xc9a
0xfffffff009150448: 47ffff17  b	#0xfffffff009150164
0xfffffff00915044c: 94f6b597  bl	#0xfffffff007ecde9c
0xfffffff009150450: 685a41b9  ldr	w8, [x19, #0x158]
0xfffffff009150454: c0070034  cbz	w0, #0xfffffff00915054c
0xfffffff009150458: e80300f9  str	x8, [sp]
0xfffffff00915045c: a019fff0  adrp	x0, #0xfffffff007487000
0xfffffff009150460: 00683291  add	x0, x0, #0xc9a
0xfffffff009150464: 6effff17  b	#0xfffffff00915021c
0xfffffff009150468: e00300f9  str	x0, [sp]
0xfffffff00915046c: a019fff0  adrp	x0, #0xfffffff007487000
0xfffffff009150470: 00e43391  add	x0, x0, #0xcf9
0xfffffff009150474: 377ccc97  bl	#0xfffffff00846f550
0xfffffff009150478: 68724539  ldrb	w8, [x19, #0x15c]
0xfffffff00915047c: a8030034  cbz	w8, #0xfffffff0091504f0
0xfffffff009150480: 700240f9  ldr	x16, [x19]
0xfffffff009150484: f10313aa  mov	x17, x19
0xfffffff009150488: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00915048c: 301ac1da  autda	x16, x17
0xfffffff009150490: 11bd80d2  mov	x17, #0x5e8
0xfffffff009150494: 1002118b  add	x16, x16, x17
0xfffffff009150498: 080240f9  ldr	x8, [x16]
0xfffffff00915049c: e90310aa  mov	x9, x16
0xfffffff0091504a0: e4bf0091  add	x4, sp, #0x2f
0xfffffff0091504a4: e00313aa  mov	x0, x19
0xfffffff0091504a8: a1088a52  mov	w1, #0x5045
0xfffffff0091504ac: e188a972  movk	w1, #0x4c47, lsl #16
0xfffffff0091504b0: 02008052  mov	w2, #0
0xfffffff0091504b4: 23008052  mov	w3, #1
0xfffffff0091504b8: f10309aa  mov	x17, x9
0xfffffff0091504bc: 71bbf3f2  movk	x17, #0x9ddb, lsl #48
0xfffffff0091504c0: 11093fd7  blraa	x8, x17
0xfffffff0091504c4: 20050035  cbnz	w0, #0xfffffff009150568
0xfffffff0091504c8: e8bf4039  ldrb	w8, [sp, #0x2f]
0xfffffff0091504cc: e8040034  cbz	w8, #0xfffffff009150568
0xfffffff0091504d0: 28008052  mov	w8, #1
0xfffffff0091504d4: 68220439  strb	w8, [x19, #0x108]
0xfffffff0091504d8: 88635e39  ldrb	w8, [x28, #0x798]
0xfffffff0091504dc: 28020034  cbz	w8, #0xfffffff009150520
0xfffffff0091504e0: a019fff0  adrp	x0, #0xfffffff007487000
0xfffffff0091504e4: 00783491  add	x0, x0, #0xd1e
0xfffffff0091504e8: de9bb197  bl	#0xfffffff007db7460
