; Candidate 7229
; ADRP+ADD at VM 0xfffffff0088614fc (fileoff 0x185d4fc): page=0x1fe988000 add_imm=0xe80

0xfffffff00886147c: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff008861480: 284effd0  adrp	x8, #0xfffffff007227000
0xfffffff008861484: 08811191  add	x8, x8, #0x460
0xfffffff008861488: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00886148c: 680c8052  mov	w8, #0x63
0xfffffff008861490: a34fff90  adrp	x3, #0xfffffff007255000
0xfffffff008861494: 63f83b91  add	x3, x3, #0xefe
0xfffffff008861498: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00886149c: f60300f9  str	x22, [sp]
0xfffffff0088614a0: 404cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088614a4: 00003a91  add	x0, x0, #0xe80
0xfffffff0088614a8: 218dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088614ac: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088614b0: 02008052  mov	w2, #0
0xfffffff0088614b4: 1f47eb97  bl	#0xfffffff008333130
0xfffffff0088614b8: 78fdff17  b	#0xfffffff008860a98
0xfffffff0088614bc: 3c4b0194  bl	#0xfffffff0088b41ac
0xfffffff0088614c0: f60300aa  mov	x22, x0
0xfffffff0088614c4: 80008052  mov	w0, #4
0xfffffff0088614c8: e2680094  bl	#0xfffffff00887b850
0xfffffff0088614cc: e8031aaa  mov	x8, x26
0xfffffff0088614d0: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff0088614d4: c8158052  mov	w8, #0xae
0xfffffff0088614d8: 894dff90  adrp	x9, #0xfffffff007211000
0xfffffff0088614dc: 29892c91  add	x9, x9, #0xb22
0xfffffff0088614e0: e8d302a9  stp	x8, x20, [sp, #0x28]
0xfffffff0088614e4: 284effd0  adrp	x8, #0xfffffff007227000
0xfffffff0088614e8: 08811191  add	x8, x8, #0x460
0xfffffff0088614ec: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088614f0: 680c8052  mov	w8, #0x63
0xfffffff0088614f4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088614f8: f60300f9  str	x22, [sp]
0xfffffff0088614fc: 404cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008861500: 00003a91  add	x0, x0, #0xe80
0xfffffff008861504: 218dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008861508: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00886150c: a34fff90  adrp	x3, #0xfffffff007255000
0xfffffff008861510: 630c3b91  add	x3, x3, #0xec3
0xfffffff008861514: 02008052  mov	w2, #0
0xfffffff008861518: 0647eb97  bl	#0xfffffff008333130
0xfffffff00886151c: 3affff17  b	#0xfffffff008861204
0xfffffff008861520: 2800a052  mov	w8, #0x10000
0xfffffff008861524: 1621da9a  lsl	x22, x8, x26
0xfffffff008861528: e00319aa  mov	x0, x25
0xfffffff00886152c: e10316aa  mov	x1, x22
0xfffffff008861530: 0cde0094  bl	#0xfffffff008898d60
0xfffffff008861534: 608dff90  adrp	x0, #0xfffffff007a0d000
0xfffffff008861538: 00602191  add	x0, x0, #0x858
0xfffffff00886153c: eed3eb97  bl	#0xfffffff0083564f4
0xfffffff008861540: d68b0094  bl	#0xfffffff008884498
0xfffffff008861544: 603600f9  str	x0, [x19, #0x68]
0xfffffff008861548: c00800b4  cbz	x0, #0xfffffff008861660
0xfffffff00886154c: 643240f9  ldr	x4, [x19, #0x60]
0xfffffff008861550: e1031baa  mov	x1, x27
0xfffffff008861554: e20317aa  mov	x2, x23
0xfffffff008861558: e3031aaa  mov	x3, x26
0xfffffff00886155c: a5008052  mov	w5, #5
0xfffffff008861560: 278c0094  bl	#0xfffffff0088845fc
0xfffffff008861564: 800b0034  cbz	w0, #0xfffffff0088616d4
0xfffffff008861568: fc0300aa  mov	x28, x0
0xfffffff00886156c: 600c8052  mov	w0, #0x63
0xfffffff008861570: 81008052  mov	w1, #4
0xfffffff008861574: 97680094  bl	#0xfffffff00887b7d0
0xfffffff008861578: 00a9ff34  cbz	w0, #0xfffffff008860a98
