; Candidate 16422
; ADRP+ADD at VM 0xfffffff009e9cb84 (fileoff 0x2e98b84): page=0x1fd998000 add_imm=0xd89

0xfffffff009e9cb04: 40010034  cbz	w0, #0xfffffff009e9cb2c
0xfffffff009e9cb08: 083e8452  mov	w8, #0x21f0
0xfffffff009e9cb0c: 9502088b  add	x21, x20, x8
0xfffffff009e9cb10: 680640f9  ldr	x8, [x19, #8]
0xfffffff009e9cb14: e9b740f9  ldr	x9, [sp, #0x168]
0xfffffff009e9cb18: 1fa80171  cmp	w0, #0x6a
0xfffffff009e9cb1c: 69040054  b.ls	#0xfffffff009e9cba8
0xfffffff009e9cb20: 6acdfed0  adrp	x10, #0xfffffff00784a000
0xfffffff009e9cb24: 4a9d0691  add	x10, x10, #0x1a7
0xfffffff009e9cb28: 23000014  b	#0xfffffff009e9cbb4
0xfffffff009e9cb2c: e8bb40f9  ldr	x8, [sp, #0x170]
0xfffffff009e9cb30: 480100b4  cbz	x8, #0xfffffff009e9cb58
0xfffffff009e9cb34: a90350f8  ldur	x9, [x29, #-0x100]
0xfffffff009e9cb38: 280100f9  str	x8, [x9]
0xfffffff009e9cb3c: e82340f9  ldr	x8, [sp, #0x40]
0xfffffff009e9cb40: a80500b4  cbz	x8, #0xfffffff009e9cbf4
0xfffffff009e9cb44: e00314aa  mov	x0, x20
0xfffffff009e9cb48: e10313aa  mov	x1, x19
0xfffffff009e9cb4c: e22340f9  ldr	x2, [sp, #0x40]
0xfffffff009e9cb50: 18edff97  bl	#0xfffffff009e97fb0
0xfffffff009e9cb54: 28000014  b	#0xfffffff009e9cbf4
0xfffffff009e9cb58: 083e8452  mov	w8, #0x21f0
0xfffffff009e9cb5c: 9502088b  add	x21, x20, x8
0xfffffff009e9cb60: 680640f9  ldr	x8, [x19, #8]
0xfffffff009e9cb64: e9b740f9  ldr	x9, [sp, #0x168]
0xfffffff009e9cb68: 6acdfeb0  adrp	x10, #0xfffffff007849000
0xfffffff009e9cb6c: 4aad2091  add	x10, x10, #0x82b
0xfffffff009e9cb70: eaff02a9  stp	x10, xzr, [sp, #0x28]
0xfffffff009e9cb74: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff009e9cb78: c8ccfe90  adrp	x8, #0xfffffff007834000
0xfffffff009e9cb7c: 08153291  add	x8, x8, #0xc85
0xfffffff009e9cb80: c9938452  mov	w9, #0x249e
0xfffffff009e9cb84: c0ccfe90  adrp	x0, #0xfffffff007834000
0xfffffff009e9cb88: 00243691  add	x0, x0, #0xd89
0xfffffff009e9cb8c: e9d700a9  stp	x9, x21, [sp, #8]
0xfffffff009e9cb90: e80300f9  str	x8, [sp]
0xfffffff009e9cb94: 4c8bff97  bl	#0xfffffff009e7f8c4
0xfffffff009e9cb98: 80038052  mov	w0, #0x1c
0xfffffff009e9cb9c: e05701b9  str	w0, [sp, #0x154]
0xfffffff009e9cba0: 680640f9  ldr	x8, [x19, #8]
0xfffffff009e9cba4: e9b740f9  ldr	x9, [sp, #0x168]
0xfffffff009e9cba8: caf4fe90  adrp	x10, #0xfffffff007d34000
0xfffffff009e9cbac: 4a011191  add	x10, x10, #0x440
0xfffffff009e9cbb0: 4a5960f8  ldr	x10, [x10, w0, uxtw #3]
0xfffffff009e9cbb4: ea8302a9  stp	x10, x0, [sp, #0x28]
0xfffffff009e9cbb8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff009e9cbbc: c8ccfe90  adrp	x8, #0xfffffff007834000
0xfffffff009e9cbc0: 08153291  add	x8, x8, #0xc85
0xfffffff009e9cbc4: 89948452  mov	w9, #0x24a4
0xfffffff009e9cbc8: c0ccfe90  adrp	x0, #0xfffffff007834000
0xfffffff009e9cbcc: 00483791  add	x0, x0, #0xdd2
0xfffffff009e9cbd0: e9d700a9  stp	x9, x21, [sp, #8]
0xfffffff009e9cbd4: e80300f9  str	x8, [sp]
0xfffffff009e9cbd8: 3b8bff97  bl	#0xfffffff009e7f8c4
0xfffffff009e9cbdc: e82340f9  ldr	x8, [sp, #0x40]
0xfffffff009e9cbe0: a80000b4  cbz	x8, #0xfffffff009e9cbf4
0xfffffff009e9cbe4: e00314aa  mov	x0, x20
0xfffffff009e9cbe8: e10313aa  mov	x1, x19
0xfffffff009e9cbec: e22340f9  ldr	x2, [sp, #0x40]
0xfffffff009e9cbf0: 9aedff97  bl	#0xfffffff009e98258
0xfffffff009e9cbf4: 190080d2  mov	x25, #0
0xfffffff009e9cbf8: e8b740f9  ldr	x8, [sp, #0x168]
0xfffffff009e9cbfc: c80000b5  cbnz	x8, #0xfffffff009e9cc14
0xfffffff009e9cc00: 683640f9  ldr	x8, [x19, #0x68]
