; Candidate 7304
; ADRP+ADD at VM 0xfffffff00886610c (fileoff 0x186210c): page=0x1fe983000 add_imm=0xe80

0xfffffff00886608c: 01018052  mov	w1, #8
0xfffffff008866090: d0550094  bl	#0xfffffff00887b7d0
0xfffffff008866094: a0040034  cbz	w0, #0xfffffff008866128
0xfffffff008866098: 600c8052  mov	w0, #0x63
0xfffffff00886609c: df550094  bl	#0xfffffff00887b818
0xfffffff0088660a0: f90300aa  mov	x25, x0
0xfffffff0088660a4: 42380194  bl	#0xfffffff0088b41ac
0xfffffff0088660a8: f40300aa  mov	x20, x0
0xfffffff0088660ac: 00018052  mov	w0, #8
0xfffffff0088660b0: e8550094  bl	#0xfffffff00887b850
0xfffffff0088660b4: 79010034  cbz	w25, #0xfffffff0088660e0
0xfffffff0088660b8: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff0088660bc: e8f303a9  stp	x8, x28, [sp, #0x38]
0xfffffff0088660c0: f6cf02a9  stp	x22, x19, [sp, #0x28]
0xfffffff0088660c4: faef01a9  stp	x26, x27, [sp, #0x18]
0xfffffff0088660c8: f58300a9  stp	x21, x0, [sp, #8]
0xfffffff0088660cc: f40300f9  str	x20, [sp]
0xfffffff0088660d0: 004efff0  adrp	x0, #0xfffffff007229000
0xfffffff0088660d4: 006c1b91  add	x0, x0, #0x6db
0xfffffff0088660d8: e244d597  bl	#0xfffffff007db7460
0xfffffff0088660dc: 13000014  b	#0xfffffff008866128
0xfffffff0088660e0: 33380194  bl	#0xfffffff0088b41ac
0xfffffff0088660e4: f40300aa  mov	x20, x0
0xfffffff0088660e8: 00018052  mov	w0, #8
0xfffffff0088660ec: d9550094  bl	#0xfffffff00887b850
0xfffffff0088660f0: e8031caa  mov	x8, x28
0xfffffff0088660f4: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff0088660f8: e9a303a9  stp	x9, x8, [sp, #0x38]
0xfffffff0088660fc: f6cf02a9  stp	x22, x19, [sp, #0x28]
0xfffffff008866100: faef01a9  stp	x26, x27, [sp, #0x18]
0xfffffff008866104: f58300a9  stp	x21, x0, [sp, #8]
0xfffffff008866108: f40300f9  str	x20, [sp]
0xfffffff00886610c: 004cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008866110: 00003a91  add	x0, x0, #0xe80
0xfffffff008866114: 018dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008866118: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00886611c: 02008052  mov	w2, #0
0xfffffff008866120: e30318aa  mov	x3, x24
0xfffffff008866124: 0334eb97  bl	#0xfffffff008333130
0xfffffff008866128: 681240f9  ldr	x8, [x19, #0x20]
0xfffffff00886612c: 081940b9  ldr	w8, [x8, #0x18]
0xfffffff008866130: 087d171b  mul	w8, w8, w23
0xfffffff008866134: 9f03086b  cmp	w28, w8
0xfffffff008866138: 8c090054  b.gt	#0xfffffff008866268
0xfffffff00886613c: 9c070011  add	w28, w28, #1
0xfffffff008866140: 800c8052  mov	w0, #0x64
0xfffffff008866144: b1c3eb97  bl	#0xfffffff008357008
0xfffffff008866148: 603a40f9  ldr	x0, [x19, #0x70]
0xfffffff00886614c: 61008052  mov	w1, #3
0xfffffff008866150: dbcd0094  bl	#0xfffffff0088998bc
0xfffffff008866154: 14008052  mov	w20, #0
0xfffffff008866158: 191b8052  mov	w25, #0xd8
0xfffffff00886615c: d974a572  movk	w25, #0x2ba6, lsl #16
0xfffffff008866160: 40f9ff35  cbnz	w0, #0xfffffff008866088
0xfffffff008866164: 97f7ff17  b	#0xfffffff008863fc0
0xfffffff008866168: 600c8052  mov	w0, #0x63
0xfffffff00886616c: 81008052  mov	w1, #4
0xfffffff008866170: 98550094  bl	#0xfffffff00887b7d0
0xfffffff008866174: 600e0034  cbz	w0, #0xfffffff008866340
0xfffffff008866178: 600c8052  mov	w0, #0x63
0xfffffff00886617c: a7550094  bl	#0xfffffff00887b818
0xfffffff008866180: f50300aa  mov	x21, x0
0xfffffff008866184: 0a380194  bl	#0xfffffff0088b41ac
0xfffffff008866188: f40300aa  mov	x20, x0
