; Candidate 3556
; ADRP+ADD at VM 0xfffffff008745a60 (fileoff 0x1741a60): page=0x1fe9ec000 add_imm=0xd90

0xfffffff0087459e0: 202800b4  cbz	x0, #0xfffffff008745ee4
0xfffffff0087459e4: fb0300aa  mov	x27, x0
0xfffffff0087459e8: 01008052  mov	w1, #0
0xfffffff0087459ec: 44fb4d94  bl	#0xfffffff009ac46fc
0xfffffff0087459f0: e0031baa  mov	x0, x27
0xfffffff0087459f4: 58ef4d94  bl	#0xfffffff009ac1754
0xfffffff0087459f8: e03e00b4  cbz	x0, #0xfffffff0087461d4
0xfffffff0087459fc: f50300aa  mov	x21, x0
0xfffffff008745a00: 100040f9  ldr	x16, [x0]
0xfffffff008745a04: f10300aa  mov	x17, x0
0xfffffff008745a08: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008745a0c: 301ac1da  autda	x16, x17
0xfffffff008745a10: 080e42f8  ldr	x8, [x16, #0x20]!
0xfffffff008745a14: e90310aa  mov	x9, x16
0xfffffff008745a18: f10309aa  mov	x17, x9
0xfffffff008745a1c: 51c9e5f2  movk	x17, #0x2e4a, lsl #48
0xfffffff008745a20: 11093fd7  blraa	x8, x17
0xfffffff008745a24: b00240f9  ldr	x16, [x21]
0xfffffff008745a28: f10315aa  mov	x17, x21
0xfffffff008745a2c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008745a30: 301ac1da  autda	x16, x17
0xfffffff008745a34: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff008745a38: e90310aa  mov	x9, x16
0xfffffff008745a3c: e00315aa  mov	x0, x21
0xfffffff008745a40: 01008052  mov	w1, #0
0xfffffff008745a44: f10309aa  mov	x17, x9
0xfffffff008745a48: 71b6fef2  movk	x17, #0xf5b3, lsl #48
0xfffffff008745a4c: 11093fd7  blraa	x8, x17
0xfffffff008745a50: c0680034  cbz	w0, #0xfffffff008746768
0xfffffff008745a54: 9350ffd0  adrp	x19, #0xfffffff007157000
0xfffffff008745a58: 738a3791  add	x19, x19, #0xde2
0xfffffff008745a5c: f30300a9  stp	x19, x0, [sp]
0xfffffff008745a60: 604fff90  adrp	x0, #0xfffffff007131000
0xfffffff008745a64: 00403691  add	x0, x0, #0xd90
0xfffffff008745a68: c195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008745a6c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008745a70: c34fffb0  adrp	x3, #0xfffffff00713e000
0xfffffff008745a74: 63b81b91  add	x3, x3, #0x6ee
0xfffffff008745a78: 02008052  mov	w2, #0
0xfffffff008745a7c: adb5ef97  bl	#0xfffffff008333130
0xfffffff008745a80: b00240f9  ldr	x16, [x21]
0xfffffff008745a84: f10315aa  mov	x17, x21
0xfffffff008745a88: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008745a8c: 301ac1da  autda	x16, x17
0xfffffff008745a90: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008745a94: e90310aa  mov	x9, x16
0xfffffff008745a98: e00315aa  mov	x0, x21
0xfffffff008745a9c: f10309aa  mov	x17, x9
0xfffffff008745aa0: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008745aa4: 11093fd7  blraa	x8, x17
0xfffffff008745aa8: e0031baa  mov	x0, x27
0xfffffff008745aac: 01008052  mov	w1, #0
0xfffffff008745ab0: 28fb4d94  bl	#0xfffffff009ac4750
0xfffffff008745ab4: 40010034  cbz	w0, #0xfffffff008745adc
0xfffffff008745ab8: f30300a9  stp	x19, x0, [sp]
0xfffffff008745abc: 604fff90  adrp	x0, #0xfffffff007131000
0xfffffff008745ac0: 00403691  add	x0, x0, #0xd90
0xfffffff008745ac4: c195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008745ac8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008745acc: c34fffb0  adrp	x3, #0xfffffff00713e000
0xfffffff008745ad0: 63181d91  add	x3, x3, #0x746
0xfffffff008745ad4: 02008052  mov	w2, #0
0xfffffff008745ad8: 96b5ef97  bl	#0xfffffff008333130
0xfffffff008745adc: 98578052  mov	w24, #0x2bc
