; Candidate 753
; ADRP+ADD at VM 0xfffffff008069804 (fileoff 0x1065804): page=0x1ff006000 add_imm=0xd28

0xfffffff008069784: 03000014  b	#0xfffffff008069790
0xfffffff008069788: a080ff90  adrp	x0, #0xfffffff00707d000
0xfffffff00806978c: 007c2591  add	x0, x0, #0x95f
0xfffffff008069790: 2180ffd0  adrp	x1, #0xfffffff00706f000
0xfffffff008069794: 21682c91  add	x1, x1, #0xb1a
0xfffffff008069798: a2e68152  mov	w2, #0xf35
0xfffffff00806979c: 1ed81094  bl	#0xfffffff00849f814
0xfffffff0080697a0: a080ff90  adrp	x0, #0xfffffff00707d000
0xfffffff0080697a4: 00702191  add	x0, x0, #0x85c
0xfffffff0080697a8: 2180ffd0  adrp	x1, #0xfffffff00706f000
0xfffffff0080697ac: 21682c91  add	x1, x1, #0xb1a
0xfffffff0080697b0: 02038152  mov	w2, #0x818
0xfffffff0080697b4: 18d81094  bl	#0xfffffff00849f814
0xfffffff0080697b8: a080ff90  adrp	x0, #0xfffffff00707d000
0xfffffff0080697bc: 00b42191  add	x0, x0, #0x86d
0xfffffff0080697c0: 2180ffd0  adrp	x1, #0xfffffff00706f000
0xfffffff0080697c4: 21682c91  add	x1, x1, #0xb1a
0xfffffff0080697c8: 22038152  mov	w2, #0x819
0xfffffff0080697cc: 12d81094  bl	#0xfffffff00849f814
0xfffffff0080697d0: a00e01f0  adrp	x0, #0xfffffff00a240000
0xfffffff0080697d4: 00c00b91  add	x0, x0, #0x2f0
0xfffffff0080697d8: e10319aa  mov	x1, x25
0xfffffff0080697dc: 02008052  mov	w2, #0
0xfffffff0080697e0: c608f597  bl	#0xfffffff007dabaf8
0xfffffff0080697e4: 2ffcff17  b	#0xfffffff0080688a0
0xfffffff0080697e8: a00e01f0  adrp	x0, #0xfffffff00a240000
0xfffffff0080697ec: 00c00b91  add	x0, x0, #0x2f0
0xfffffff0080697f0: e10319aa  mov	x1, x25
0xfffffff0080697f4: dc0bf597  bl	#0xfffffff007dac764
0xfffffff0080697f8: e02740f9  ldr	x0, [sp, #0x48]
0xfffffff0080697fc: 00f5ffb5  cbnz	x0, #0xfffffff00806969c
0xfffffff008069800: bbffff17  b	#0xfffffff0080696ec
0xfffffff008069804: 2080ffd0  adrp	x0, #0xfffffff00706f000
0xfffffff008069808: 00a03491  add	x0, x0, #0xd28
0xfffffff00806980c: 2180ffd0  adrp	x1, #0xfffffff00706f000
0xfffffff008069810: 21682c91  add	x1, x1, #0xb1a
0xfffffff008069814: a22d8152  mov	w2, #0x96d
0xfffffff008069818: ffd71094  bl	#0xfffffff00849f814
0xfffffff00806981c: 2080ffd0  adrp	x0, #0xfffffff00706f000
0xfffffff008069820: 00ec2d91  add	x0, x0, #0xb7b
0xfffffff008069824: 2180ffd0  adrp	x1, #0xfffffff00706f000
0xfffffff008069828: 21682c91  add	x1, x1, #0xb1a
0xfffffff00806982c: 22078152  mov	w2, #0x839
0xfffffff008069830: f9d71094  bl	#0xfffffff00849f814
0xfffffff008069834: 86d1f397  bl	#0xfffffff007d5de4c
0xfffffff008069838: 7f2303d5  pacibsp	
0xfffffff00806983c: ffc303d1  sub	sp, sp, #0xf0
0xfffffff008069840: fc6f09a9  stp	x28, x27, [sp, #0x90]
0xfffffff008069844: fa670aa9  stp	x26, x25, [sp, #0xa0]
0xfffffff008069848: f85f0ba9  stp	x24, x23, [sp, #0xb0]
0xfffffff00806984c: f6570ca9  stp	x22, x21, [sp, #0xc0]
0xfffffff008069850: f44f0da9  stp	x20, x19, [sp, #0xd0]
0xfffffff008069854: fd7b0ea9  stp	x29, x30, [sp, #0xe0]
0xfffffff008069858: fd830391  add	x29, sp, #0xe0
0xfffffff00806985c: f50304aa  mov	x21, x4
0xfffffff008069860: f60303aa  mov	x22, x3
0xfffffff008069864: f70302aa  mov	x23, x2
0xfffffff008069868: f30301aa  mov	x19, x1
0xfffffff00806986c: fc0300aa  mov	x28, x0
0xfffffff008069870: e80a01d0  adrp	x8, #0xfffffff00a1c7000
0xfffffff008069874: 08010091  add	x8, x8, #0
0xfffffff008069878: 080140f9  ldr	x8, [x8]
0xfffffff00806987c: a8831af8  stur	x8, [x29, #-0x58]
0xfffffff008069880: ff2f00f9  str	xzr, [sp, #0x58]
