; Candidate 7908
; ADRP+ADD at VM 0xfffffff008886ee4 (fileoff 0x1882ee4): page=0x1fe963000 add_imm=0xe80

0xfffffff008886e64: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008886e68: e80314aa  mov	x8, x20
0xfffffff008886e6c: 204dfff0  adrp	x0, #0xfffffff00722d000
0xfffffff008886e70: 00b02f91  add	x0, x0, #0xbec
0xfffffff008886e74: f72300a9  stp	x23, x8, [sp]
0xfffffff008886e78: 0c000014  b	#0xfffffff008886ea8
0xfffffff008886e7c: 60040034  cbz	w0, #0xfffffff008886f08
0xfffffff008886e80: e803164b  neg	w8, w22
0xfffffff008886e84: 28042837  tbnz	w8, #5, #0xfffffff008886f08
0xfffffff008886e88: 68a64729  ldp	w8, w9, [x19, #0x3c]
0xfffffff008886e8c: 6aae4829  ldp	w10, w11, [x19, #0x44]
0xfffffff008886e90: ea2f02a9  stp	x10, x11, [sp, #0x20]
0xfffffff008886e94: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008886e98: e8430191  add	x8, sp, #0x50
0xfffffff008886e9c: e84f00a9  stp	x8, x19, [sp]
0xfffffff008886ea0: 204dfff0  adrp	x0, #0xfffffff00722d000
0xfffffff008886ea4: 000c2e91  add	x0, x0, #0xb83
0xfffffff008886ea8: 6ec1d497  bl	#0xfffffff007db7460
0xfffffff008886eac: 25000014  b	#0xfffffff008886f40
0xfffffff008886eb0: bfb40094  bl	#0xfffffff0088b41ac
0xfffffff008886eb4: f70300aa  mov	x23, x0
0xfffffff008886eb8: e00315aa  mov	x0, x21
0xfffffff008886ebc: 65d2ff97  bl	#0xfffffff00887b850
0xfffffff008886ec0: 68a64729  ldp	w8, w9, [x19, #0x3c]
0xfffffff008886ec4: 6aae4829  ldp	w10, w11, [x19, #0x44]
0xfffffff008886ec8: eaaf03a9  stp	x10, x11, [sp, #0x38]
0xfffffff008886ecc: e8a702a9  stp	x8, x9, [sp, #0x28]
0xfffffff008886ed0: e8430191  add	x8, sp, #0x50
0xfffffff008886ed4: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008886ed8: e80314aa  mov	x8, x20
0xfffffff008886edc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008886ee0: f70300f9  str	x23, [sp]
0xfffffff008886ee4: 004bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008886ee8: 00003a91  add	x0, x0, #0xe80
0xfffffff008886eec: 018cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008886ef0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008886ef4: a34effd0  adrp	x3, #0xfffffff00725c000
0xfffffff008886ef8: 63402f91  add	x3, x3, #0xbd0
0xfffffff008886efc: 02008052  mov	w2, #0
0xfffffff008886f00: 8cb0ea97  bl	#0xfffffff008333130
0xfffffff008886f04: 0f000014  b	#0xfffffff008886f40
0xfffffff008886f08: 68a64729  ldp	w8, w9, [x19, #0x3c]
0xfffffff008886f0c: 6aae4829  ldp	w10, w11, [x19, #0x44]
0xfffffff008886f10: ea2f02a9  stp	x10, x11, [sp, #0x20]
0xfffffff008886f14: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008886f18: e8430191  add	x8, sp, #0x50
0xfffffff008886f1c: e84f00a9  stp	x8, x19, [sp]
0xfffffff008886f20: 004bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008886f24: 00003a91  add	x0, x0, #0xe80
0xfffffff008886f28: 018cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008886f2c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008886f30: a34effd0  adrp	x3, #0xfffffff00725c000
0xfffffff008886f34: 63a02d91  add	x3, x3, #0xb68
0xfffffff008886f38: 02008052  mov	w2, #0
0xfffffff008886f3c: 7db0ea97  bl	#0xfffffff008333130
0xfffffff008886f40: e00314aa  mov	x0, x20
0xfffffff008886f44: e10315aa  mov	x1, x21
0xfffffff008886f48: 22d2ff97  bl	#0xfffffff00887b7d0
0xfffffff008886f4c: 20090034  cbz	w0, #0xfffffff008887070
0xfffffff008886f50: e00314aa  mov	x0, x20
0xfffffff008886f54: 31d2ff97  bl	#0xfffffff00887b818
0xfffffff008886f58: b602f837  tbnz	w22, #0x1f, #0xfffffff008886fac
0xfffffff008886f5c: d8021b12  and	w24, w22, #0x20
0xfffffff008886f60: 19000052  eor	w25, w0, #1
