; Candidate 14752
; ADRP+ADD at VM 0xfffffff0098de4c4 (fileoff 0x28da4c4): page=0x1fe39d000 add_imm=0xe88

0xfffffff0098de444: e0e7fed0  adrp	x0, #0xfffffff0075dc000
0xfffffff0098de448: 00001391  add	x0, x0, #0x4c0
0xfffffff0098de44c: 03e8fef0  adrp	x3, #0xfffffff0075e1000
0xfffffff0098de450: 63540091  add	x3, x3, #0x15
0xfffffff0098de454: e10314aa  mov	x1, x20
0xfffffff0098de458: 02028052  mov	w2, #0x10
0xfffffff0098de45c: 3553a997  bl	#0xfffffff008333130
0xfffffff0098de460: e82340f9  ldr	x8, [sp, #0x40]
0xfffffff0098de464: 08f1ffb4  cbz	x8, #0xfffffff0098de284
0xfffffff0098de468: e91f40f9  ldr	x9, [sp, #0x38]
0xfffffff0098de46c: 282d40b9  ldr	w8, [x9, #0x2c]
0xfffffff0098de470: 08050011  add	w8, w8, #1
0xfffffff0098de474: 282d00b9  str	w8, [x9, #0x2c]
0xfffffff0098de478: 83ffff17  b	#0xfffffff0098de284
0xfffffff0098de47c: dc0000b4  cbz	x28, #0xfffffff0098de494
0xfffffff0098de480: e01cffb0  adrp	x0, #0xfffffff007c7b000
0xfffffff0098de484: 00203c91  add	x0, x0, #0xf08
0xfffffff0098de488: e1031caa  mov	x1, x28
0xfffffff0098de48c: a0e0a997  bl	#0xfffffff00835670c
0xfffffff0098de490: 1c0080d2  mov	x28, #0
0xfffffff0098de494: a8578052  mov	w8, #0x2bd
0xfffffff0098de498: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff0098de49c: e82700f9  str	x8, [sp, #0x48]
0xfffffff0098de4a0: fb3740b9  ldr	w27, [sp, #0x34]
0xfffffff0098de4a4: 78ffff17  b	#0xfffffff0098de284
0xfffffff0098de4a8: e0e7fef0  adrp	x0, #0xfffffff0075dd000
0xfffffff0098de4ac: 004c2691  add	x0, x0, #0x993
0xfffffff0098de4b0: 11010094  bl	#0xfffffff0098de8f4
0xfffffff0098de4b4: e0e7fef0  adrp	x0, #0xfffffff0075dd000
0xfffffff0098de4b8: 00d82991  add	x0, x0, #0xa76
0xfffffff0098de4bc: 0e010094  bl	#0xfffffff0098de8f4
0xfffffff0098de4c0: b60000b4  cbz	x22, #0xfffffff0098de4d4
0xfffffff0098de4c4: e01cffb0  adrp	x0, #0xfffffff007c7b000
0xfffffff0098de4c8: 00203a91  add	x0, x0, #0xe88
0xfffffff0098de4cc: e10316aa  mov	x1, x22
0xfffffff0098de4d0: 8fe0a997  bl	#0xfffffff00835670c
0xfffffff0098de4d4: 686640f9  ldr	x8, [x19, #0xc8]
0xfffffff0098de4d8: 002540f9  ldr	x0, [x8, #0x48]
0xfffffff0098de4dc: c8e40094  bl	#0xfffffff0099177fc
0xfffffff0098de4e0: e82740f9  ldr	x8, [sp, #0x48]
0xfffffff0098de4e4: 08690011  add	w8, w8, #0x1a
0xfffffff0098de4e8: e82700f9  str	x8, [sp, #0x48]
0xfffffff0098de4ec: 93ffff17  b	#0xfffffff0098de338
0xfffffff0098de4f0: e0e7fef0  adrp	x0, #0xfffffff0075dd000
0xfffffff0098de4f4: 00182391  add	x0, x0, #0x8c6
0xfffffff0098de4f8: ff000094  bl	#0xfffffff0098de8f4
0xfffffff0098de4fc: e0e7fef0  adrp	x0, #0xfffffff0075dd000
0xfffffff0098de500: 00e02491  add	x0, x0, #0x938
0xfffffff0098de504: fc000094  bl	#0xfffffff0098de8f4
0xfffffff0098de508: 51fe9197  bl	#0xfffffff007d5de4c
0xfffffff0098de50c: 5f2403d5  bti	c
0xfffffff0098de510: 27008052  mov	w7, #1
0xfffffff0098de514: 90fdff17  b	#0xfffffff0098ddb54
0xfffffff0098de518: 5f2403d5  bti	c
0xfffffff0098de51c: 060080d2  mov	x6, #0
0xfffffff0098de520: 07008052  mov	w7, #0
0xfffffff0098de524: 8cfdff17  b	#0xfffffff0098ddb54
0xfffffff0098de528: 7f2303d5  pacibsp	
0xfffffff0098de52c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0098de530: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0098de534: fd430091  add	x29, sp, #0x10
0xfffffff0098de538: f30301aa  mov	x19, x1
0xfffffff0098de53c: f40300aa  mov	x20, x0
0xfffffff0098de540: 881cfff0  adrp	x8, #0xfffffff007c71000
