; Candidate 7881
; ADRP+ADD at VM 0xfffffff0088859b0 (fileoff 0x18819b0): page=0x1fe98e000 add_imm=0xd2e

0xfffffff008885930: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008885934: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008885938: ff830191  add	sp, sp, #0x60
0xfffffff00888593c: ff0f5fd6  retab	
0xfffffff008885940: 7f2303d5  pacibsp	
0xfffffff008885944: ffc302d1  sub	sp, sp, #0xb0
0xfffffff008885948: f85f07a9  stp	x24, x23, [sp, #0x70]
0xfffffff00888594c: f65708a9  stp	x22, x21, [sp, #0x80]
0xfffffff008885950: f44f09a9  stp	x20, x19, [sp, #0x90]
0xfffffff008885954: fd7b0aa9  stp	x29, x30, [sp, #0xa0]
0xfffffff008885958: fd830291  add	x29, sp, #0xa0
0xfffffff00888595c: f40301aa  mov	x20, x1
0xfffffff008885960: f30300aa  mov	x19, x0
0xfffffff008885964: 371040b9  ldr	w23, [x1, #0x10]
0xfffffff008885968: 400d8052  mov	w0, #0x6a
0xfffffff00888596c: 01018052  mov	w1, #8
0xfffffff008885970: 98d7ff97  bl	#0xfffffff00887b7d0
0xfffffff008885974: a0040034  cbz	w0, #0xfffffff008885a08
0xfffffff008885978: 400d8052  mov	w0, #0x6a
0xfffffff00888597c: a7d7ff97  bl	#0xfffffff00887b818
0xfffffff008885980: f60300aa  mov	x22, x0
0xfffffff008885984: 0aba0094  bl	#0xfffffff0088b41ac
0xfffffff008885988: f50300aa  mov	x21, x0
0xfffffff00888598c: 00018052  mov	w0, #8
0xfffffff008885990: b0d7ff97  bl	#0xfffffff00887b850
0xfffffff008885994: 76010034  cbz	w22, #0xfffffff0088859c0
0xfffffff008885998: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff00888599c: 484dff90  adrp	x8, #0xfffffff00722d000
0xfffffff0088859a0: 08d91891  add	x8, x8, #0x636
0xfffffff0088859a4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088859a8: 480d8052  mov	w8, #0x6a
0xfffffff0088859ac: f52300a9  stp	x21, x8, [sp]
0xfffffff0088859b0: 604cffd0  adrp	x0, #0xfffffff007213000
0xfffffff0088859b4: 00b83491  add	x0, x0, #0xd2e
0xfffffff0088859b8: aac6d497  bl	#0xfffffff007db7460
0xfffffff0088859bc: 13000014  b	#0xfffffff008885a08
0xfffffff0088859c0: fbb90094  bl	#0xfffffff0088b41ac
0xfffffff0088859c4: f50300aa  mov	x21, x0
0xfffffff0088859c8: 00018052  mov	w0, #8
0xfffffff0088859cc: a1d7ff97  bl	#0xfffffff00887b850
0xfffffff0088859d0: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0088859d4: 484dff90  adrp	x8, #0xfffffff00722d000
0xfffffff0088859d8: 08d91891  add	x8, x8, #0x636
0xfffffff0088859dc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088859e0: 480d8052  mov	w8, #0x6a
0xfffffff0088859e4: f52300a9  stp	x21, x8, [sp]
0xfffffff0088859e8: 204bff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088859ec: 00003a91  add	x0, x0, #0xe80
0xfffffff0088859f0: 018cfff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088859f4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088859f8: a34efff0  adrp	x3, #0xfffffff00725c000
0xfffffff0088859fc: 63d41591  add	x3, x3, #0x575
0xfffffff008885a00: 02008052  mov	w2, #0
0xfffffff008885a04: cbb5ea97  bl	#0xfffffff008333130
0xfffffff008885a08: f5621653  ubfx	w21, w23, #0x16, #3
0xfffffff008885a0c: f8461053  ubfx	w24, w23, #0x10, #2
0xfffffff008885a10: 400d8052  mov	w0, #0x6a
0xfffffff008885a14: e1008052  mov	w1, #7
0xfffffff008885a18: 6ed7ff97  bl	#0xfffffff00887b7d0
0xfffffff008885a1c: a0060034  cbz	w0, #0xfffffff008885af0
0xfffffff008885a20: 400d8052  mov	w0, #0x6a
0xfffffff008885a24: 7dd7ff97  bl	#0xfffffff00887b818
0xfffffff008885a28: f70300aa  mov	x23, x0
0xfffffff008885a2c: e0b90094  bl	#0xfffffff0088b41ac
