; Candidate 6541
; ADRP+ADD at VM 0xfffffff0088327b8 (fileoff 0x182e7b8): page=0x1fe9f0000 add_imm=0xda7

0xfffffff008832738: a18effd0  adrp	x1, #0xfffffff007a08000
0xfffffff00883273c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008832740: c350fff0  adrp	x3, #0xfffffff00724d000
0xfffffff008832744: 63441d91  add	x3, x3, #0x751
0xfffffff008832748: 02008052  mov	w2, #0
0xfffffff00883274c: 7902ec97  bl	#0xfffffff008333130
0xfffffff008832750: 682240b9  ldr	w8, [x19, #0x20]
0xfffffff008832754: e8030034  cbz	w8, #0xfffffff0088327d0
0xfffffff008832758: 000b8052  mov	w0, #0x58
0xfffffff00883275c: c1008052  mov	w1, #6
0xfffffff008832760: 1c240194  bl	#0xfffffff00887b7d0
0xfffffff008832764: 800a0034  cbz	w0, #0xfffffff0088328b4
0xfffffff008832768: 000b8052  mov	w0, #0x58
0xfffffff00883276c: 2b240194  bl	#0xfffffff00887b818
0xfffffff008832770: f70300aa  mov	x23, x0
0xfffffff008832774: 8e060294  bl	#0xfffffff0088b41ac
0xfffffff008832778: f50300aa  mov	x21, x0
0xfffffff00883277c: c0008052  mov	w0, #6
0xfffffff008832780: 34240194  bl	#0xfffffff00887b850
0xfffffff008832784: f60300aa  mov	x22, x0
0xfffffff008832788: 600640f9  ldr	x0, [x19, #8]
0xfffffff00883278c: 73e3ff97  bl	#0xfffffff00882b558
0xfffffff008832790: f7050034  cbz	w23, #0xfffffff00883284c
0xfffffff008832794: 68264529  ldp	w8, w9, [x19, #0x28]
0xfffffff008832798: e8a703a9  stp	x8, x9, [sp, #0x38]
0xfffffff00883279c: e90314aa  mov	x9, x20
0xfffffff0088327a0: e0a702a9  stp	x0, x9, [sp, #0x28]
0xfffffff0088327a4: ea368052  mov	w10, #0x1b7
0xfffffff0088327a8: 884fff90  adrp	x8, #0xfffffff007222000
0xfffffff0088327ac: 08553791  add	x8, x8, #0xdd5
0xfffffff0088327b0: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff0088327b4: 080b8052  mov	w8, #0x58
0xfffffff0088327b8: 804fff90  adrp	x0, #0xfffffff007222000
0xfffffff0088327bc: 009c3691  add	x0, x0, #0xda7
0xfffffff0088327c0: e8db00a9  stp	x8, x22, [sp, #8]
0xfffffff0088327c4: f50300f9  str	x21, [sp]
0xfffffff0088327c8: 2613d697  bl	#0xfffffff007db7460
0xfffffff0088327cc: 3a000014  b	#0xfffffff0088328b4
0xfffffff0088327d0: 000b8052  mov	w0, #0x58
0xfffffff0088327d4: 81008052  mov	w1, #4
0xfffffff0088327d8: fe230194  bl	#0xfffffff00887b7d0
0xfffffff0088327dc: 40120034  cbz	w0, #0xfffffff008832a24
0xfffffff0088327e0: 000b8052  mov	w0, #0x58
0xfffffff0088327e4: 0d240194  bl	#0xfffffff00887b818
0xfffffff0088327e8: f60300aa  mov	x22, x0
0xfffffff0088327ec: 70060294  bl	#0xfffffff0088b41ac
0xfffffff0088327f0: f50300aa  mov	x21, x0
0xfffffff0088327f4: 80008052  mov	w0, #4
0xfffffff0088327f8: 16240194  bl	#0xfffffff00887b850
0xfffffff0088327fc: f60d0034  cbz	w22, #0xfffffff0088329b8
0xfffffff008832800: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff008832804: 692240b9  ldr	w9, [x19, #0x20]
0xfffffff008832808: ea4efff0  adrp	x10, #0xfffffff007211000
0xfffffff00883280c: 4a591891  add	x10, x10, #0x616
0xfffffff008832810: e82704a9  stp	x8, x9, [sp, #0x40]
0xfffffff008832814: ea4f03a9  stp	x10, x19, [sp, #0x30]
0xfffffff008832818: 88368052  mov	w8, #0x1b4
0xfffffff00883281c: 894fff90  adrp	x9, #0xfffffff007222000
0xfffffff008832820: 29553791  add	x9, x9, #0xdd5
0xfffffff008832824: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008832828: 884fff90  adrp	x8, #0xfffffff007222000
0xfffffff00883282c: 08813991  add	x8, x8, #0xe60
0xfffffff008832830: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008832834: 080b8052  mov	w8, #0x58
