; Candidate 12806
; ADRP+ADD at VM 0xfffffff00915de64 (fileoff 0x2159e64): page=0x1fe32d000 add_imm=0xd90

0xfffffff00915dde4: 08014039  ldrb	w8, [x8]
0xfffffff00915dde8: e80b0034  cbz	w8, #0xfffffff00915df64
0xfffffff00915ddec: 6819ffb0  adrp	x8, #0xfffffff00748a000
0xfffffff00915ddf0: 085d3591  add	x8, x8, #0xd57
0xfffffff00915ddf4: e80300f9  str	x8, [sp]
0xfffffff00915ddf8: 6019ffb0  adrp	x0, #0xfffffff00748a000
0xfffffff00915ddfc: 00703491  add	x0, x0, #0xd1c
0xfffffff00915de00: 9865b197  bl	#0xfffffff007db7460
0xfffffff00915de04: 5e000014  b	#0xfffffff00915df7c
0xfffffff00915de08: f80500b4  cbz	x24, #0xfffffff00915dec4
0xfffffff00915de0c: 0850ffb0  adrp	x8, #0xfffffff007b5e000
0xfffffff00915de10: 089141f9  ldr	x8, [x8, #0x320]
0xfffffff00915de14: 080140f9  ldr	x8, [x8]
0xfffffff00915de18: 080140f9  ldr	x8, [x8]
0xfffffff00915de1c: 1f0308eb  cmp	x24, x8
0xfffffff00915de20: 61000054  b.ne	#0xfffffff00915de2c
0xfffffff00915de24: 28008052  mov	w8, #1
0xfffffff00915de28: 68a60339  strb	w8, [x19, #0xe9]
0xfffffff00915de2c: 100340f9  ldr	x16, [x24]
0xfffffff00915de30: f10318aa  mov	x17, x24
0xfffffff00915de34: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00915de38: 301ac1da  autda	x16, x17
0xfffffff00915de3c: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00915de40: e90310aa  mov	x9, x16
0xfffffff00915de44: e00318aa  mov	x0, x24
0xfffffff00915de48: f10309aa  mov	x17, x9
0xfffffff00915de4c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00915de50: 11093fd7  blraa	x8, x17
0xfffffff00915de54: 1c000014  b	#0xfffffff00915dec4
0xfffffff00915de58: 6819ffb0  adrp	x8, #0xfffffff00748a000
0xfffffff00915de5c: 085d3591  add	x8, x8, #0xd57
0xfffffff00915de60: e80300a9  stp	x8, x0, [sp]
0xfffffff00915de64: 6019ffb0  adrp	x0, #0xfffffff00748a000
0xfffffff00915de68: 00403691  add	x0, x0, #0xd90
0xfffffff00915de6c: b945cc97  bl	#0xfffffff00846f550
0xfffffff00915de70: 28034039  ldrb	w8, [x25]
0xfffffff00915de74: 68020836  tbz	w8, #1, #0xfffffff00915dec0
0xfffffff00915de78: 09c0b597  bl	#0xfffffff007ecde9c
0xfffffff00915de7c: 20020034  cbz	w0, #0xfffffff00915dec0
0xfffffff00915de80: f00240f9  ldr	x16, [x23]
0xfffffff00915de84: f10317aa  mov	x17, x23
0xfffffff00915de88: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00915de8c: 301ac1da  autda	x16, x17
0xfffffff00915de90: 080e49f8  ldr	x8, [x16, #0x90]!
0xfffffff00915de94: e90310aa  mov	x9, x16
0xfffffff00915de98: e00317aa  mov	x0, x23
0xfffffff00915de9c: f10309aa  mov	x17, x9
0xfffffff00915dea0: 113de5f2  movk	x17, #0x29e8, lsl #48
0xfffffff00915dea4: 11093fd7  blraa	x8, x17
0xfffffff00915dea8: 6819ffb0  adrp	x8, #0xfffffff00748a000
0xfffffff00915deac: 085d3591  add	x8, x8, #0xd57
0xfffffff00915deb0: e80300a9  stp	x8, x0, [sp]
0xfffffff00915deb4: 6019ffb0  adrp	x0, #0xfffffff00748a000
0xfffffff00915deb8: 00403691  add	x0, x0, #0xd90
0xfffffff00915debc: 59e4c797  bl	#0xfffffff008357020
0xfffffff00915dec0: 777a00f9  str	x23, [x19, #0xf0]
0xfffffff00915dec4: 0850ffb0  adrp	x8, #0xfffffff007b5e000
0xfffffff00915dec8: 083141f9  ldr	x8, [x8, #0x260]
0xfffffff00915decc: 09a11591  add	x9, x8, #0x568
0xfffffff00915ded0: 08b542f9  ldr	x8, [x8, #0x568]
0xfffffff00915ded4: e00313aa  mov	x0, x19
0xfffffff00915ded8: e10314aa  mov	x1, x20
0xfffffff00915dedc: e20316aa  mov	x2, x22
0xfffffff00915dee0: e30315aa  mov	x3, x21
