; Candidate 6264
; ADRP+ADD at VM 0xfffffff00881e04c (fileoff 0x181a04c): page=0x1fea01000 add_imm=0xe8d

0xfffffff00881dfcc: f40300aa  mov	x20, x0
0xfffffff00881dfd0: bf831df8  stur	xzr, [x29, #-0x28]
0xfffffff00881dfd4: 08ff8352  mov	w8, #0x1ff8
0xfffffff00881dfd8: e801a072  movk	w8, #0xf, lsl #16
0xfffffff00881dfdc: 006868f8  ldr	x0, [x0, x8]
0xfffffff00881dfe0: a1a300d1  sub	x1, x29, #0x28
0xfffffff00881dfe4: 562aff97  bl	#0xfffffff0087e893c
0xfffffff00881dfe8: f30300aa  mov	x19, x0
0xfffffff00881dfec: a0030034  cbz	w0, #0xfffffff00881e060
0xfffffff00881dff0: a00e8052  mov	w0, #0x75
0xfffffff00881dff4: 81008052  mov	w1, #4
0xfffffff00881dff8: f6750194  bl	#0xfffffff00887b7d0
0xfffffff00881dffc: 60070034  cbz	w0, #0xfffffff00881e0e8
0xfffffff00881e000: a00e8052  mov	w0, #0x75
0xfffffff00881e004: 05760194  bl	#0xfffffff00887b818
0xfffffff00881e008: f60300aa  mov	x22, x0
0xfffffff00881e00c: 68580294  bl	#0xfffffff0088b41ac
0xfffffff00881e010: f50300aa  mov	x21, x0
0xfffffff00881e014: 80008052  mov	w0, #4
0xfffffff00881e018: 0e760194  bl	#0xfffffff00887b850
0xfffffff00881e01c: 56030034  cbz	w22, #0xfffffff00881e084
0xfffffff00881e020: 885a40b9  ldr	w8, [x20, #0x58]
0xfffffff00881e024: e8cf03a9  stp	x8, x19, [sp, #0x38]
0xfffffff00881e028: 884fffd0  adrp	x8, #0xfffffff007210000
0xfffffff00881e02c: 08b92791  add	x8, x8, #0x9ee
0xfffffff00881e030: a98d8152  mov	w9, #0xc6d
0xfffffff00881e034: e8d302a9  stp	x8, x20, [sp, #0x28]
0xfffffff00881e038: 0850ffb0  adrp	x8, #0xfffffff00721f000
0xfffffff00881e03c: 08113b91  add	x8, x8, #0xec4
0xfffffff00881e040: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00881e044: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00881e048: a80e8052  mov	w8, #0x75
0xfffffff00881e04c: 0050ffb0  adrp	x0, #0xfffffff00721f000
0xfffffff00881e050: 00343a91  add	x0, x0, #0xe8d
0xfffffff00881e054: f52300a9  stp	x21, x8, [sp]
0xfffffff00881e058: 0265d697  bl	#0xfffffff007db7460
0xfffffff00881e05c: 23000014  b	#0xfffffff00881e0e8
0xfffffff00881e060: a0835df8  ldur	x0, [x29, #-0x28]
0xfffffff00881e064: 01008052  mov	w1, #0
0xfffffff00881e068: 02138052  mov	w2, #0x98
0xfffffff00881e06c: d5bad497  bl	#0xfffffff007d4cbc0
0xfffffff00881e070: a0835df8  ldur	x0, [x29, #-0x28]
0xfffffff00881e074: d7440094  bl	#0xfffffff00882f3d0
0xfffffff00881e078: a8835df8  ldur	x8, [x29, #-0x28]
0xfffffff00881e07c: a80200f9  str	x8, [x21]
0xfffffff00881e080: 1a000014  b	#0xfffffff00881e0e8
0xfffffff00881e084: 4a580294  bl	#0xfffffff0088b41ac
0xfffffff00881e088: f50300aa  mov	x21, x0
0xfffffff00881e08c: 80008052  mov	w0, #4
0xfffffff00881e090: f0750194  bl	#0xfffffff00887b850
0xfffffff00881e094: e80313aa  mov	x8, x19
0xfffffff00881e098: 895a40b9  ldr	w9, [x20, #0x58]
0xfffffff00881e09c: e9a303a9  stp	x9, x8, [sp, #0x38]
0xfffffff00881e0a0: 884fffd0  adrp	x8, #0xfffffff007210000
0xfffffff00881e0a4: 08b92791  add	x8, x8, #0x9ee
0xfffffff00881e0a8: a98d8152  mov	w9, #0xc6d
0xfffffff00881e0ac: e8d302a9  stp	x8, x20, [sp, #0x28]
0xfffffff00881e0b0: 0850ffb0  adrp	x8, #0xfffffff00721f000
0xfffffff00881e0b4: 08113b91  add	x8, x8, #0xec4
0xfffffff00881e0b8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00881e0bc: a80e8052  mov	w8, #0x75
0xfffffff00881e0c0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00881e0c4: f50300f9  str	x21, [sp]
0xfffffff00881e0c8: 404efff0  adrp	x0, #0xfffffff0071e9000
