; Candidate 8404
; ADRP+ADD at VM 0xfffffff0088a8d70 (fileoff 0x18a4d70): page=0x1fe941000 add_imm=0xe80

0xfffffff0088a8cf0: 330500b4  cbz	x19, #0xfffffff0088a8d94
0xfffffff0088a8cf4: 684e41b9  ldr	w8, [x19, #0x14c]
0xfffffff0088a8cf8: 1f050071  cmp	w8, #1
0xfffffff0088a8cfc: a1010054  b.ne	#0xfffffff0088a8d30
0xfffffff0088a8d00: 681640b9  ldr	w8, [x19, #0x14]
0xfffffff0088a8d04: 1f050071  cmp	w8, #1
0xfffffff0088a8d08: cb010054  b.lt	#0xfffffff0088a8d40
0xfffffff0088a8d0c: 090080d2  mov	x9, #0
0xfffffff0088a8d10: 6ad20091  add	x10, x19, #0x34
0xfffffff0088a8d14: 2b008052  mov	w11, #1
0xfffffff0088a8d18: 4b253f29  stp	w11, w9, [x10, #-8]
0xfffffff0088a8d1c: 5f4502b8  str	wzr, [x10], #0x24
0xfffffff0088a8d20: 29050091  add	x9, x9, #1
0xfffffff0088a8d24: 1f0109eb  cmp	x8, x9
0xfffffff0088a8d28: 81ffff54  b.ne	#0xfffffff0088a8d18
0xfffffff0088a8d2c: 05000014  b	#0xfffffff0088a8d40
0xfffffff0088a8d30: 60b20091  add	x0, x19, #0x2c
0xfffffff0088a8d34: 01008052  mov	w1, #0
0xfffffff0088a8d38: 02248052  mov	w2, #0x120
0xfffffff0088a8d3c: a18fd297  bl	#0xfffffff007d4cbc0
0xfffffff0088a8d40: 14008052  mov	w20, #0
0xfffffff0088a8d44: 45000014  b	#0xfffffff0088a8e58
0xfffffff0088a8d48: 192d0094  bl	#0xfffffff0088b41ac
0xfffffff0088a8d4c: f40300aa  mov	x20, x0
0xfffffff0088a8d50: e0008052  mov	w0, #7
0xfffffff0088a8d54: bf4aff97  bl	#0xfffffff00887b850
0xfffffff0088a8d58: 484cffd0  adrp	x8, #0xfffffff007232000
0xfffffff0088a8d5c: 08b53c91  add	x8, x8, #0xf2d
0xfffffff0088a8d60: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088a8d64: c80f8052  mov	w8, #0x7e
0xfffffff0088a8d68: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088a8d6c: f40300f9  str	x20, [sp]
0xfffffff0088a8d70: 004affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a8d74: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a8d78: 018bff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088a8d7c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a8d80: c34dffd0  adrp	x3, #0xfffffff007262000
0xfffffff0088a8d84: 63703c91  add	x3, x3, #0xf1c
0xfffffff0088a8d88: 02008052  mov	w2, #0
0xfffffff0088a8d8c: e928ea97  bl	#0xfffffff008333130
0xfffffff0088a8d90: 33fbffb5  cbnz	x19, #0xfffffff0088a8cf4
0xfffffff0088a8d94: c00f8052  mov	w0, #0x7e
0xfffffff0088a8d98: 81008052  mov	w1, #4
0xfffffff0088a8d9c: 8d4aff97  bl	#0xfffffff00887b7d0
0xfffffff0088a8da0: a0050034  cbz	w0, #0xfffffff0088a8e54
0xfffffff0088a8da4: c00f8052  mov	w0, #0x7e
0xfffffff0088a8da8: 9c4aff97  bl	#0xfffffff00887b818
0xfffffff0088a8dac: f50300aa  mov	x21, x0
0xfffffff0088a8db0: ff2c0094  bl	#0xfffffff0088b41ac
0xfffffff0088a8db4: f40300aa  mov	x20, x0
0xfffffff0088a8db8: 80008052  mov	w0, #4
0xfffffff0088a8dbc: a54aff97  bl	#0xfffffff00887b850
0xfffffff0088a8dc0: f5010034  cbz	w21, #0xfffffff0088a8dfc
0xfffffff0088a8dc4: 484cffd0  adrp	x8, #0xfffffff007232000
0xfffffff0088a8dc8: 08d13a91  add	x8, x8, #0xeb4
0xfffffff0088a8dcc: 09178052  mov	w9, #0xb8
0xfffffff0088a8dd0: e8ff02a9  stp	x8, xzr, [sp, #0x28]
0xfffffff0088a8dd4: 484cffd0  adrp	x8, #0xfffffff007232000
0xfffffff0088a8dd8: 08b53c91  add	x8, x8, #0xf2d
0xfffffff0088a8ddc: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088a8de0: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088a8de4: c80f8052  mov	w8, #0x7e
0xfffffff0088a8de8: 604bffb0  adrp	x0, #0xfffffff007215000
0xfffffff0088a8dec: 00a81491  add	x0, x0, #0x52a
