; Candidate 2845
; ADRP+ADD at VM 0xfffffff0086ecfa0 (fileoff 0x16e8fa0): page=0x1fea45000 add_imm=0xd90

0xfffffff0086ecf20: 0a184079  ldrh	w10, [x0, #0xc]
0xfffffff0086ecf24: 4a180079  strh	w10, [x2, #0xc]
0xfffffff0086ecf28: 0a1c4079  ldrh	w10, [x0, #0xe]
0xfffffff0086ecf2c: 4a1c0079  strh	w10, [x2, #0xe]
0xfffffff0086ecf30: 0a1040b9  ldr	w10, [x0, #0x10]
0xfffffff0086ecf34: 4a1000b9  str	w10, [x2, #0x10]
0xfffffff0086ecf38: 0a1440b9  ldr	w10, [x0, #0x14]
0xfffffff0086ecf3c: 4a1400b9  str	w10, [x2, #0x14]
0xfffffff0086ecf40: 0a1840b9  ldr	w10, [x0, #0x18]
0xfffffff0086ecf44: 4a1800b9  str	w10, [x2, #0x18]
0xfffffff0086ecf48: 8a688952  mov	w10, #0x4b44
0xfffffff0086ecf4c: 2ac9a872  movk	w10, #0x4649, lsl #16
0xfffffff0086ecf50: 3f010a6b  cmp	w9, w10
0xfffffff0086ecf54: a1030054  b.ne	#0xfffffff0086ecfc8
0xfffffff0086ecf58: 88010034  cbz	w8, #0xfffffff0086ecf88
0xfffffff0086ecf5c: 2953ff90  adrp	x9, #0xfffffff007150000
0xfffffff0086ecf60: 29dd2d91  add	x9, x9, #0xb77
0xfffffff0086ecf64: e92300a9  stp	x9, x8, [sp]
0xfffffff0086ecf68: 2052ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086ecf6c: 00403691  add	x0, x0, #0xd90
0xfffffff0086ecf70: 8198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086ecf74: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086ecf78: 4352ff90  adrp	x3, #0xfffffff007134000
0xfffffff0086ecf7c: 63e00391  add	x3, x3, #0xf8
0xfffffff0086ecf80: 02008052  mov	w2, #0
0xfffffff0086ecf84: 6b18f197  bl	#0xfffffff008333130
0xfffffff0086ecf88: 20008052  mov	w0, #1
0xfffffff0086ecf8c: 10000014  b	#0xfffffff0086ecfcc
0xfffffff0086ecf90: e08b00a9  stp	x0, x2, [sp, #8]
0xfffffff0086ecf94: 2853ff90  adrp	x8, #0xfffffff007150000
0xfffffff0086ecf98: 08dd2d91  add	x8, x8, #0xb77
0xfffffff0086ecf9c: e80300f9  str	x8, [sp]
0xfffffff0086ecfa0: 2052ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086ecfa4: 00403691  add	x0, x0, #0xd90
0xfffffff0086ecfa8: 8198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086ecfac: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086ecfb0: 4352ff90  adrp	x3, #0xfffffff007134000
0xfffffff0086ecfb4: 63600391  add	x3, x3, #0xd8
0xfffffff0086ecfb8: 02008052  mov	w2, #0
0xfffffff0086ecfbc: 5d18f197  bl	#0xfffffff008333130
0xfffffff0086ecfc0: 00008052  mov	w0, #0
0xfffffff0086ecfc4: 02000014  b	#0xfffffff0086ecfcc
0xfffffff0086ecfc8: 00008052  mov	w0, #0
0xfffffff0086ecfcc: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0086ecfd0: ffc30091  add	sp, sp, #0x30
0xfffffff0086ecfd4: ff0f5fd6  retab	
0xfffffff0086ecfd8: 7f2303d5  pacibsp	
0xfffffff0086ecfdc: ff0301d1  sub	sp, sp, #0x40
0xfffffff0086ecfe0: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0086ecfe4: fdc30091  add	x29, sp, #0x30
0xfffffff0086ecfe8: 3f3000f1  cmp	x1, #0xc
0xfffffff0086ecfec: 63010054  b.lo	#0xfffffff0086ed018
0xfffffff0086ecff0: 400100b4  cbz	x0, #0xfffffff0086ed018
0xfffffff0086ecff4: 220100b4  cbz	x2, #0xfffffff0086ed018
0xfffffff0086ecff8: 080040b9  ldr	w8, [x0]
0xfffffff0086ecffc: 480000b9  str	w8, [x2]
0xfffffff0086ed000: 080440b9  ldr	w8, [x0, #4]
0xfffffff0086ed004: 480400b9  str	w8, [x2, #4]
0xfffffff0086ed008: 080840b9  ldr	w8, [x0, #8]
0xfffffff0086ed00c: 480800b9  str	w8, [x2, #8]
0xfffffff0086ed010: 20008052  mov	w0, #1
0xfffffff0086ed014: 10000014  b	#0xfffffff0086ed054
0xfffffff0086ed018: 88018052  mov	w8, #0xc
0xfffffff0086ed01c: e1a301a9  stp	x1, x8, [sp, #0x18]
