; Candidate 11516
; ADRP+ADD at VM 0xfffffff008f73420 (fileoff 0x1f6f420): page=0x1febb3000 add_imm=0xd78

0xfffffff008f733a0: c1ba44f9  ldr	x1, [x22, #0x970]
0xfffffff008f733a4: 42008052  mov	w2, #2
0xfffffff008f733a8: d590cf97  bl	#0xfffffff0083576fc
0xfffffff008f733ac: e0feff34  cbz	w0, #0xfffffff008f73388
0xfffffff008f733b0: 06000014  b	#0xfffffff008f733c8
0xfffffff008f733b4: c0ba44f9  ldr	x0, [x22, #0x970]
0xfffffff008f733b8: e10313aa  mov	x1, x19
0xfffffff008f733bc: 1afeff97  bl	#0xfffffff008f72c24
0xfffffff008f733c0: c89c00b0  adrp	x8, #0xfffffff00a30c000
0xfffffff008f733c4: 1fe12539  strb	wzr, [x8, #0x978]
0xfffffff008f733c8: a0a244f9  ldr	x0, [x21, #0x940]
0xfffffff008f733cc: dce4b897  bl	#0xfffffff007dac73c
0xfffffff008f733d0: 00008052  mov	w0, #0
0xfffffff008f733d4: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008f733d8: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008f733dc: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff008f733e0: ff0f5fd6  retab	
0xfffffff008f733e4: 5f2403d5  bti	c
0xfffffff008f733e8: c89c00b0  adrp	x8, #0xfffffff00a30c000
0xfffffff008f733ec: 00c144f9  ldr	x0, [x8, #0x980]
0xfffffff008f733f0: c0035fd6  ret	
0xfffffff008f733f4: 7f2303d5  pacibsp	
0xfffffff008f733f8: ff0301d1  sub	sp, sp, #0x40
0xfffffff008f733fc: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff008f73400: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008f73404: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008f73408: fdc30091  add	x29, sp, #0x30
0xfffffff008f7340c: f30301aa  mov	x19, x1
0xfffffff008f73410: f40300aa  mov	x20, x0
0xfffffff008f73414: c89c00b0  adrp	x8, #0xfffffff00a30c000
0xfffffff008f73418: 08c144f9  ldr	x8, [x8, #0x980]
0xfffffff008f7341c: 680a00b5  cbnz	x8, #0xfffffff008f73568
0xfffffff008f73420: 805dfff0  adrp	x0, #0xfffffff007b26000
0xfffffff008f73424: 00e03591  add	x0, x0, #0xd78
0xfffffff008f73428: 01028052  mov	w1, #0x10
0xfffffff008f7342c: 83d0cd97  bl	#0xfffffff0082e7638
0xfffffff008f73430: f50300aa  mov	x21, x0
0xfffffff008f73434: d69c00b0  adrp	x22, #0xfffffff00a30c000
0xfffffff008f73438: d6622491  add	x22, x22, #0x918
0xfffffff008f7343c: e10316aa  mov	x1, x22
0xfffffff008f73440: cbd0cd97  bl	#0xfffffff0082e776c
0xfffffff008f73444: 905dfff0  adrp	x16, #0xfffffff007b26000
0xfffffff008f73448: 10822491  add	x16, x16, #0x920
0xfffffff008f7344c: 10420091  add	x16, x16, #0x10
0xfffffff008f73450: f10300aa  mov	x17, x0
0xfffffff008f73454: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f73458: 300ac1da  pacda	x16, x17
0xfffffff008f7345c: 100000f9  str	x16, [x0]
0xfffffff008f73460: e00316aa  mov	x0, x22
0xfffffff008f73464: 34c7cd97  bl	#0xfffffff0082e5134
0xfffffff008f73468: c29c00b0  adrp	x2, #0xfffffff00a30c000
0xfffffff008f7346c: 42002691  add	x2, x2, #0x980
0xfffffff008f73470: 000080d2  mov	x0, #0
0xfffffff008f73474: e10315aa  mov	x1, x21
0xfffffff008f73478: 85bfcd97  bl	#0xfffffff0082e328c
0xfffffff008f7347c: 60040034  cbz	w0, #0xfffffff008f73508
0xfffffff008f73480: c19c00b0  adrp	x1, #0xfffffff00a30c000
0xfffffff008f73484: 21001a91  add	x1, x1, #0x680
0xfffffff008f73488: 00008012  mov	w0, #-1
0xfffffff008f7348c: 0fbdcd97  bl	#0xfffffff0082e28c8
0xfffffff008f73490: 2005f837  tbnz	w0, #0x1f, #0xfffffff008f73534
0xfffffff008f73494: f50300aa  mov	x21, x0
0xfffffff008f73498: 001c0853  lsl	w0, w0, #0x18
0xfffffff008f7349c: 6525ffb0  adrp	x5, #0xfffffff007420000
