; Candidate 14719
; ADRP+ADD at VM 0xfffffff0098b5b9c (fileoff 0x28b1b9c): page=0xadf000 add_imm=0xce8

0xfffffff0098b5b1c: 6c010054  b.gt	#0xfffffff0098b5b48
0xfffffff0098b5b20: ed030a2a  mov	w13, w10
0xfffffff0098b5b24: 9f0101eb  cmp	x12, x1
0xfffffff0098b5b28: acd58dda  cneg	x12, x13, gt
0xfffffff0098b5b2c: 4dd58a5a  cneg	w13, w10, gt
0xfffffff0098b5b30: a901090b  add	w9, w13, w9
0xfffffff0098b5b34: 88210b9b  madd	x8, x12, x11, x8
0xfffffff0098b5b38: 5f050071  cmp	w10, #1
0xfffffff0098b5b3c: ec979f1a  cset	w12, hi
0xfffffff0098b5b40: 4a25cc1a  lsr	w10, w10, w12
0xfffffff0098b5b44: f0ffff17  b	#0xfffffff0098b5b04
0xfffffff0098b5b48: 0a0140b9  ldr	w10, [x8]
0xfffffff0098b5b4c: 6a0000b9  str	w10, [x3]
0xfffffff0098b5b50: 490000b9  str	w9, [x2]
0xfffffff0098b5b54: 8c0000f9  str	x12, [x4]
0xfffffff0098b5b58: 091940f9  ldr	x9, [x8, #0x30]
0xfffffff0098b5b5c: 0a0540f9  ldr	x10, [x8, #8]
0xfffffff0098b5b60: 29010acb  sub	x9, x9, x10
0xfffffff0098b5b64: a90000f9  str	x9, [x5]
0xfffffff0098b5b68: 090d40f9  ldr	x9, [x8, #0x18]
0xfffffff0098b5b6c: c90000f9  str	x9, [x6]
0xfffffff0098b5b70: 081140f9  ldr	x8, [x8, #0x20]
0xfffffff0098b5b74: e80000f9  str	x8, [x7]
0xfffffff0098b5b78: c0035fd6  ret	
0xfffffff0098b5b7c: 5f2403d5  bti	c
0xfffffff0098b5b80: ddbaa817  b	#0xfffffff0082e46f4
0xfffffff0098b5b84: 5f2403d5  bti	c
0xfffffff0098b5b88: 005440f9  ldr	x0, [x0, #0xa8]
0xfffffff0098b5b8c: c0035fd6  ret	
0xfffffff0098b5b90: 7f2303d5  pacibsp	
0xfffffff0098b5b94: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0098b5b98: fd030091  mov	x29, sp
0xfffffff0098b5b9c: e05600f0  adrp	x0, #0xfffffff00a394000
0xfffffff0098b5ba0: 00a03391  add	x0, x0, #0xce8
0xfffffff0098b5ba4: 21e9fef0  adrp	x1, #0xfffffff0075dc000
0xfffffff0098b5ba8: 21200891  add	x1, x1, #0x208
0xfffffff0098b5bac: c21dffb0  adrp	x2, #0xfffffff007c6e000
0xfffffff0098b5bb0: 42f042f9  ldr	x2, [x2, #0x5e0]
0xfffffff0098b5bb4: 03198052  mov	w3, #0xc8
0xfffffff0098b5bb8: e0b7a897  bl	#0xfffffff0082e3b38
0xfffffff0098b5bbc: d01dffb0  adrp	x16, #0xfffffff007c6e000
0xfffffff0098b5bc0: 10023291  add	x16, x16, #0xc80
0xfffffff0098b5bc4: 10420091  add	x16, x16, #0x10
0xfffffff0098b5bc8: f10300aa  mov	x17, x0
0xfffffff0098b5bcc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0098b5bd0: 300ac1da  pacda	x16, x17
0xfffffff0098b5bd4: 100000f9  str	x16, [x0]
0xfffffff0098b5bd8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0098b5bdc: ff0f5fd6  retab	
0xfffffff0098b5be0: 5f2403d5  bti	c
0xfffffff0098b5be4: e05600f0  adrp	x0, #0xfffffff00a394000
0xfffffff0098b5be8: 00a03391  add	x0, x0, #0xce8
0xfffffff0098b5bec: c2baa817  b	#0xfffffff0082e46f4
0xfffffff0098b5bf0: 7f2303d5  pacibsp	
0xfffffff0098b5bf4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0098b5bf8: fd030091  mov	x29, sp
0xfffffff0098b5bfc: 21e9fef0  adrp	x1, #0xfffffff0075dc000
0xfffffff0098b5c00: 21f00991  add	x1, x1, #0x27c
0xfffffff0098b5c04: c21dffb0  adrp	x2, #0xfffffff007c6e000
0xfffffff0098b5c08: 420843f9  ldr	x2, [x2, #0x610]
0xfffffff0098b5c0c: 03088052  mov	w3, #0x40
0xfffffff0098b5c10: cab7a897  bl	#0xfffffff0082e3b38
0xfffffff0098b5c14: d01dffb0  adrp	x16, #0xfffffff007c6e000
0xfffffff0098b5c18: 10c23691  add	x16, x16, #0xdb0
