; Candidate 4706
; ADRP+ADD at VM 0xfffffff0087c35c4 (fileoff 0x17bf5c4): page=0x1fe96e000 add_imm=0xd90

0xfffffff0087c3544: 090143b9  ldr	w9, [x8, #0x300]
0xfffffff0087c3548: 08fd42b9  ldr	w8, [x8, #0x2fc]
0xfffffff0087c354c: 0a008012  mov	w10, #-1
0xfffffff0087c3550: eb0314aa  mov	x11, x20
0xfffffff0087c3554: 1429091b  madd	w20, w8, w9, w10
0xfffffff0087c3558: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff0087c355c: 692e40b9  ldr	w9, [x19, #0x2c]
0xfffffff0087c3560: 29fd43d3  lsr	x9, x9, #3
0xfffffff0087c3564: 2801084b  sub	w8, w9, w8
0xfffffff0087c3568: 6101080b  add	w1, w11, w8
0xfffffff0087c356c: e00313aa  mov	x0, x19
0xfffffff0087c3570: a0f1ff97  bl	#0xfffffff0087bfbf0
0xfffffff0087c3574: ea2f40f9  ldr	x10, [sp, #0x58]
0xfffffff0087c3578: 4a413c8b  add	x10, x10, w28, uxtw
0xfffffff0087c357c: ff02146b  cmp	w23, w20
0xfffffff0087c3580: 794cffb0  adrp	x25, #0xfffffff007150000
0xfffffff0087c3584: 39df2a91  add	x25, x25, #0xab7
0xfffffff0087c3588: 61b9ff54  b.ne	#0xfffffff0087c2cb4
0xfffffff0087c358c: 7f3a30b9  str	wzr, [x19, #0x3038]
0xfffffff0087c3590: 7f6230b9  str	wzr, [x19, #0x3060]
0xfffffff0087c3594: 52fbff17  b	#0xfffffff0087c22dc
0xfffffff0087c3598: e00313aa  mov	x0, x19
0xfffffff0087c359c: e14cff90  adrp	x1, #0xfffffff00715f000
0xfffffff0087c35a0: 21742191  add	x1, x1, #0x85d
0xfffffff0087c35a4: 02028052  mov	w2, #0x10
0xfffffff0087c35a8: 46dfff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c35ac: 600a30b9  str	w0, [x19, #0x3008]
0xfffffff0087c35b0: 1f404071  cmp	w0, #0x10, lsl #12
0xfffffff0087c35b4: a3260054  b.lo	#0xfffffff0087c3a88
0xfffffff0087c35b8: e84cff90  adrp	x8, #0xfffffff00715f000
0xfffffff0087c35bc: 08312191  add	x8, x8, #0x84c
0xfffffff0087c35c0: e80300a9  stp	x8, x0, [sp]
0xfffffff0087c35c4: 604bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087c35c8: 00403691  add	x0, x0, #0xd90
0xfffffff0087c35cc: c191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c35d0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c35d4: 02008052  mov	w2, #0
0xfffffff0087c35d8: 434cfff0  adrp	x3, #0xfffffff00714e000
0xfffffff0087c35dc: 63b43491  add	x3, x3, #0xd2d
0xfffffff0087c35e0: d4beed97  bl	#0xfffffff008333130
0xfffffff0087c35e4: 29010014  b	#0xfffffff0087c3a88
0xfffffff0087c35e8: 1f380071  cmp	w0, #0xe
0xfffffff0087c35ec: e1240054  b.ne	#0xfffffff0087c3a88
0xfffffff0087c35f0: e00313aa  mov	x0, x19
0xfffffff0087c35f4: e14cff90  adrp	x1, #0xfffffff00715f000
0xfffffff0087c35f8: 21402491  add	x1, x1, #0x910
0xfffffff0087c35fc: 42008052  mov	w2, #2
0xfffffff0087c3600: 30dfff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c3604: f70300aa  mov	x23, x0
0xfffffff0087c3608: 1f100071  cmp	w0, #4
0xfffffff0087c360c: 43080054  b.lo	#0xfffffff0087c3714
0xfffffff0087c3610: e84cff90  adrp	x8, #0xfffffff00715f000
0xfffffff0087c3614: 08ad2491  add	x8, x8, #0x92b
0xfffffff0087c3618: e85f00a9  stp	x8, x23, [sp]
0xfffffff0087c361c: 604bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087c3620: 00403691  add	x0, x0, #0xd90
0xfffffff0087c3624: c191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c3628: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c362c: 02008052  mov	w2, #0
0xfffffff0087c3630: 434cfff0  adrp	x3, #0xfffffff00714e000
0xfffffff0087c3634: 63e43591  add	x3, x3, #0xd79
0xfffffff0087c3638: bebeed97  bl	#0xfffffff008333130
0xfffffff0087c363c: 13010014  b	#0xfffffff0087c3a88
0xfffffff0087c3640: 1ffc0371  cmp	w0, #0xff
