; Candidate 6233
; ADRP+ADD at VM 0xfffffff00881c1f8 (fileoff 0x18181f8): page=0x1fe9cd000 add_imm=0xe80

0xfffffff00881c178: 0050fff0  adrp	x0, #0xfffffff00721f000
0xfffffff00881c17c: 00341291  add	x0, x0, #0x48d
0xfffffff00881c180: f72300a9  stp	x23, x8, [sp]
0xfffffff00881c184: b76cd697  bl	#0xfffffff007db7460
0xfffffff00881c188: 3e000014  b	#0xfffffff00881c280
0xfffffff00881c18c: e00313aa  mov	x0, x19
0xfffffff00881c190: e10316aa  mov	x1, x22
0xfffffff00881c194: 02008052  mov	w2, #0
0xfffffff00881c198: 03008012  mov	w3, #-1
0xfffffff00881c19c: 84f5ff97  bl	#0xfffffff0088197ac
0xfffffff00881c1a0: 16008052  mov	w22, #0
0xfffffff00881c1a4: 38000014  b	#0xfffffff00881c284
0xfffffff00881c1a8: 01600294  bl	#0xfffffff0088b41ac
0xfffffff00881c1ac: f60300aa  mov	x22, x0
0xfffffff00881c1b0: 80008052  mov	w0, #4
0xfffffff00881c1b4: a77d0194  bl	#0xfffffff00887b850
0xfffffff00881c1b8: 685a40b9  ldr	w8, [x19, #0x58]
0xfffffff00881c1bc: e90315aa  mov	x9, x21
0xfffffff00881c1c0: e9ff04a9  stp	x9, xzr, [sp, #0x48]
0xfffffff00881c1c4: e8d303a9  stp	x8, x20, [sp, #0x38]
0xfffffff00881c1c8: 0850fff0  adrp	x8, #0xfffffff00721f000
0xfffffff00881c1cc: 08e51191  add	x8, x8, #0x479
0xfffffff00881c1d0: 69558152  mov	w9, #0xaab
0xfffffff00881c1d4: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00881c1d8: 0850fff0  adrp	x8, #0xfffffff00721f000
0xfffffff00881c1dc: 08312691  add	x8, x8, #0x98c
0xfffffff00881c1e0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00881c1e4: 880e8052  mov	w8, #0x74
0xfffffff00881c1e8: 6351ffb0  adrp	x3, #0xfffffff007249000
0xfffffff00881c1ec: 637c2d91  add	x3, x3, #0xb5f
0xfffffff00881c1f0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00881c1f4: f60300f9  str	x22, [sp]
0xfffffff00881c1f8: 604effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00881c1fc: 00003a91  add	x0, x0, #0xe80
0xfffffff00881c200: 618fff90  adrp	x1, #0xfffffff007a08000
0xfffffff00881c204: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881c208: 02008052  mov	w2, #0
0xfffffff00881c20c: c95bec97  bl	#0xfffffff008333130
0xfffffff00881c210: 1c000014  b	#0xfffffff00881c280
0xfffffff00881c214: e65f0294  bl	#0xfffffff0088b41ac
0xfffffff00881c218: f70300aa  mov	x23, x0
0xfffffff00881c21c: 80008052  mov	w0, #4
0xfffffff00881c220: 8c7d0194  bl	#0xfffffff00887b850
0xfffffff00881c224: 685a40b9  ldr	w8, [x19, #0x58]
0xfffffff00881c228: cac240b9  ldr	w10, [x22, #0xc0]
0xfffffff00881c22c: e90315aa  mov	x9, x21
0xfffffff00881c230: e9ab04a9  stp	x9, x10, [sp, #0x48]
0xfffffff00881c234: e8d303a9  stp	x8, x20, [sp, #0x38]
0xfffffff00881c238: 0850fff0  adrp	x8, #0xfffffff00721f000
0xfffffff00881c23c: 082d2a91  add	x8, x8, #0xa8b
0xfffffff00881c240: e9558152  mov	w9, #0xaaf
0xfffffff00881c244: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00881c248: 0850fff0  adrp	x8, #0xfffffff00721f000
0xfffffff00881c24c: 08312691  add	x8, x8, #0x98c
0xfffffff00881c250: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00881c254: 880e8052  mov	w8, #0x74
0xfffffff00881c258: 6351ffb0  adrp	x3, #0xfffffff007249000
0xfffffff00881c25c: 63702e91  add	x3, x3, #0xb9c
0xfffffff00881c260: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00881c264: f70300f9  str	x23, [sp]
0xfffffff00881c268: 604effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00881c26c: 00003a91  add	x0, x0, #0xe80
0xfffffff00881c270: 618fff90  adrp	x1, #0xfffffff007a08000
0xfffffff00881c274: 212c42f9  ldr	x1, [x1, #0x458]
