; Candidate 1099
; ADRP+ADD at VM 0xfffffff0081f87c8 (fileoff 0x11f47c8): page=0x1fd3000 add_imm=0xd24

0xfffffff0081f8748: 09000014  b	#0xfffffff0081f876c
0xfffffff0081f874c: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0081f8750: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0081f8754: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff0081f8758: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff0081f875c: ff0f5fd6  retab	
0xfffffff0081f8760: e003144b  neg	w0, w20
0xfffffff0081f8764: e1028052  mov	w1, #0x17
0xfffffff0081f8768: eb68ff97  bl	#0xfffffff0081d2b14
0xfffffff0081f876c: 684a41b9  ldr	w8, [x19, #0x148]
0xfffffff0081f8770: 08050011  add	w8, w8, #1
0xfffffff0081f8774: 684a01b9  str	w8, [x19, #0x148]
0xfffffff0081f8778: 0820a052  mov	w8, #0x1000000
0xfffffff0081f877c: 0803a8b8  ldadda	w8, w8, [x24]
0xfffffff0081f8780: 095d1053  ubfx	w9, w8, #0x10, #8
0xfffffff0081f8784: 3f61486b  cmp	w9, w8, lsr #24
0xfffffff0081f8788: 21040054  b.ne	#0xfffffff0081f880c
0xfffffff0081f878c: 681a44b9  ldr	w8, [x19, #0x418]
0xfffffff0081f8790: e8320db9  str	w8, [x23, #0xd30]
0xfffffff0081f8794: a8465b39  ldrb	w8, [x21, #0x6d1]
0xfffffff0081f8798: 1f050071  cmp	w8, #1
0xfffffff0081f879c: 61010054  b.ne	#0xfffffff0081f87c8
0xfffffff0081f87a0: e80001d0  adrp	x8, #0xfffffff00a216000
0xfffffff0081f87a4: 08016a39  ldrb	w8, [x8, #0xa80]
0xfffffff0081f87a8: 08011836  tbz	w8, #3, #0xfffffff0081f87c8
0xfffffff0081f87ac: c02640f9  ldr	x0, [x22, #0x48]
0xfffffff0081f87b0: 01008052  mov	w1, #0
0xfffffff0081f87b4: 02008052  mov	w2, #0
0xfffffff0081f87b8: e02eef97  bl	#0xfffffff007dc4338
0xfffffff0081f87bc: c80240b9  ldr	w8, [x22]
0xfffffff0081f87c0: 08791c12  and	w8, w8, #0xfffffff7
0xfffffff0081f87c4: c80200b9  str	w8, [x22]
0xfffffff0081f87c8: 80fe00f0  adrp	x0, #0xfffffff00a1cb000
0xfffffff0081f87cc: 00903491  add	x0, x0, #0xd24
0xfffffff0081f87d0: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0081f87d4: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0081f87d8: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff0081f87dc: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff0081f87e0: ff2303d5  autibsp	
0xfffffff0081f87e4: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0081f87e8: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0081f87f0
0xfffffff0081f87ec: 208e38d4  brk	#0xc471
0xfffffff0081f87f0: 41dbee17  b	#0xfffffff007daf4f4
0xfffffff0081f87f4: 017d1853  lsr	w1, w8, #0x18
0xfffffff0081f87f8: 80fe00f0  adrp	x0, #0xfffffff00a1cb000
0xfffffff0081f87fc: 00903491  add	x0, x0, #0xd24
0xfffffff0081f8800: e20313aa  mov	x2, x19
0xfffffff0081f8804: 89daee97  bl	#0xfffffff007daf228
0xfffffff0081f8808: beffff17  b	#0xfffffff0081f8700
0xfffffff0081f880c: 017d1853  lsr	w1, w8, #0x18
0xfffffff0081f8810: 80fe00f0  adrp	x0, #0xfffffff00a1cb000
0xfffffff0081f8814: 00903491  add	x0, x0, #0xd24
0xfffffff0081f8818: e20313aa  mov	x2, x19
0xfffffff0081f881c: 83daee97  bl	#0xfffffff007daf228
0xfffffff0081f8820: ddffff17  b	#0xfffffff0081f8794
0xfffffff0081f8824: 7f2303d5  pacibsp	
0xfffffff0081f8828: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0081f882c: fd030091  mov	x29, sp
0xfffffff0081f8830: 08010190  adrp	x8, #0xfffffff00a218000
0xfffffff0081f8834: 08f14fb9  ldr	w8, [x8, #0xff0]
0xfffffff0081f8838: a9fd0090  adrp	x9, #0xfffffff00a1ac000
0xfffffff0081f883c: 29f142b9  ldr	w9, [x9, #0x2f0]
0xfffffff0081f8840: 1f010071  cmp	w8, #0
0xfffffff0081f8844: 2009417a  ccmp	w9, #1, #0, eq
