; Candidate 14497
; ADRP+ADD at VM 0xfffffff0097fc9b8 (fileoff 0x27f89b8): page=0x1fddb8000 add_imm=0xdc2

0xfffffff0097fc938: 20430091  add	x0, x25, #0x10
0xfffffff0097fc93c: d78200d1  sub	x23, x22, #0x20
0xfffffff0097fc940: 81168052  mov	w1, #0xb4
0xfffffff0097fc944: e20317aa  mov	x2, x23
0xfffffff0097fc948: 9e409597  bl	#0xfffffff007d4cbc0
0xfffffff0097fc94c: f81300f9  str	x24, [sp, #0x20]
0xfffffff0097fc950: 1f430071  cmp	w24, #0x10
0xfffffff0097fc954: c2020054  b.hs	#0xfffffff0097fc9ac
0xfffffff0097fc958: c84200d1  sub	x8, x22, #0x10
0xfffffff0097fc95c: 1f4500f1  cmp	x8, #0x11
0xfffffff0097fc960: 430b0054  b.lo	#0xfffffff0097fcac8
0xfffffff0097fc964: 090080d2  mov	x9, #0
0xfffffff0097fc968: 2a430091  add	x10, x25, #0x10
0xfffffff0097fc96c: 4b696938  ldrb	w11, [x10, x9]
0xfffffff0097fc970: 7fd10271  cmp	w11, #0xb4
0xfffffff0097fc974: e10a0054  b.ne	#0xfffffff0097fcad0
0xfffffff0097fc978: 29050091  add	x9, x9, #1
0xfffffff0097fc97c: ff0209eb  cmp	x23, x9
0xfffffff0097fc980: 61ffff54  b.ne	#0xfffffff0097fc96c
0xfffffff0097fc984: 54000014  b	#0xfffffff0097fcad4
0xfffffff0097fc988: c8edfe90  adrp	x8, #0xfffffff0075b4000
0xfffffff0097fc98c: 08d13691  add	x8, x8, #0xdb4
0xfffffff0097fc990: e80300f9  str	x8, [sp]
0xfffffff0097fc994: c0edfe90  adrp	x0, #0xfffffff0075b4000
0xfffffff0097fc998: 001c3691  add	x0, x0, #0xd87
0xfffffff0097fc99c: edcab197  bl	#0xfffffff00846f550
0xfffffff0097fc9a0: ba578052  mov	w26, #0x2bd
0xfffffff0097fc9a4: 1a00bc72  movk	w26, #0xe000, lsl #16
0xfffffff0097fc9a8: da000014  b	#0xfffffff0097fcd10
0xfffffff0097fc9ac: 1a028052  mov	w26, #0x10
0xfffffff0097fc9b0: c8edfe90  adrp	x8, #0xfffffff0075b4000
0xfffffff0097fc9b4: 08d13691  add	x8, x8, #0xdb4
0xfffffff0097fc9b8: c0edfe90  adrp	x0, #0xfffffff0075b4000
0xfffffff0097fc9bc: 00083791  add	x0, x0, #0xdc2
0xfffffff0097fc9c0: 1ce28452  mov	w28, #0x2710
0xfffffff0097fc9c4: fceb00a9  stp	x28, x26, [sp, #8]
0xfffffff0097fc9c8: f80308aa  mov	x24, x8
0xfffffff0097fc9cc: e80300f9  str	x8, [sp]
0xfffffff0097fc9d0: e0cab197  bl	#0xfffffff00846f550
0xfffffff0097fc9d4: e0030191  add	x0, sp, #0x40
0xfffffff0097fc9d8: 47daa797  bl	#0xfffffff0081f32f4
0xfffffff0097fc9dc: 5b7f4093  sxtw	x27, w26
0xfffffff0097fc9e0: a06e40f9  ldr	x0, [x21, #0xd8]
0xfffffff0097fc9e4: 100040f9  ldr	x16, [x0]
0xfffffff0097fc9e8: f10300aa  mov	x17, x0
0xfffffff0097fc9ec: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097fc9f0: 301ac1da  autda	x16, x17
0xfffffff0097fc9f4: 11aa80d2  mov	x17, #0x550
0xfffffff0097fc9f8: 1002118b  add	x16, x16, x17
0xfffffff0097fc9fc: 080240f9  ldr	x8, [x16]
0xfffffff0097fca00: e90310aa  mov	x9, x16
0xfffffff0097fca04: ff7f00a9  stp	xzr, xzr, [sp]
0xfffffff0097fca08: e4430191  add	x4, sp, #0x50
0xfffffff0097fca0c: e6830191  add	x6, sp, #0x60
0xfffffff0097fca10: ff0b00f9  str	xzr, [sp, #0x10]
0xfffffff0097fca14: e10314aa  mov	x1, x20
0xfffffff0097fca18: e20313aa  mov	x2, x19
0xfffffff0097fca1c: e3031baa  mov	x3, x27
0xfffffff0097fca20: 05008052  mov	w5, #0
0xfffffff0097fca24: 070080d2  mov	x7, #0
0xfffffff0097fca28: f10309aa  mov	x17, x9
0xfffffff0097fca2c: 91fbe2f2  movk	x17, #0x17dc, lsl #48
0xfffffff0097fca30: 11093fd7  blraa	x8, x17
0xfffffff0097fca34: e0030035  cbnz	w0, #0xfffffff0097fcab0
