; Candidate 13743
; ADRP+ADD at VM 0xfffffff009560d44 (fileoff 0x255cd44): page=0x1fe68a000 add_imm=0xe68

0xfffffff009560cc4: 160080d2  mov	x22, #0
0xfffffff009560cc8: 2f000014  b	#0xfffffff009560d84
0xfffffff009560ccc: 206540f9  ldr	x0, [x9, #0xc8]
0xfffffff009560cd0: 215540f9  ldr	x1, [x9, #0xa8]
0xfffffff009560cd4: 22c10291  add	x2, x9, #0xb0
0xfffffff009560cd8: 23814179  ldrh	w3, [x9, #0xc0]
0xfffffff009560cdc: 37300094  bl	#0xfffffff00956cdb8
0xfffffff009560ce0: 20fbff34  cbz	w0, #0xfffffff009560c44
0xfffffff009560ce4: f70300aa  mov	x23, x0
0xfffffff009560ce8: f32f40f9  ldr	x19, [sp, #0x58]
0xfffffff009560cec: 680a40b9  ldr	w8, [x19, #8]
0xfffffff009560cf0: e85f00a9  stp	x8, x23, [sp]
0xfffffff009560cf4: c0fffed0  adrp	x0, #0xfffffff00755a000
0xfffffff009560cf8: 00582e91  add	x0, x0, #0xb96
0xfffffff009560cfc: d959a197  bl	#0xfffffff007db7460
0xfffffff009560d00: 03000014  b	#0xfffffff009560d0c
0xfffffff009560d04: 17008052  mov	w23, #0
0xfffffff009560d08: f32f40f9  ldr	x19, [sp, #0x58]
0xfffffff009560d0c: 686640f9  ldr	x8, [x19, #0xc8]
0xfffffff009560d10: 481600b4  cbz	x8, #0xfffffff009560fd8
0xfffffff009560d14: 000d40f9  ldr	x0, [x8, #0x18]
0xfffffff009560d18: 001600b4  cbz	x0, #0xfffffff009560fd8
0xfffffff009560d1c: 01008052  mov	w1, #0
0xfffffff009560d20: c0030194  bl	#0xfffffff0095a1c20
0xfffffff009560d24: ad000014  b	#0xfffffff009560fd8
0xfffffff009560d28: 48018052  mov	w8, #0xa
0xfffffff009560d2c: e82b0179  strh	w8, [sp, #0x94]
0xfffffff009560d30: e92f40f9  ldr	x9, [sp, #0x58]
0xfffffff009560d34: 28314039  ldrb	w8, [x9, #0xc]
0xfffffff009560d38: e85b0239  strb	w8, [sp, #0x96]
0xfffffff009560d3c: 280940b9  ldr	w8, [x9, #8]
0xfffffff009560d40: e89b00b9  str	w8, [sp, #0x98]
0xfffffff009560d44: 4034ffd0  adrp	x0, #0xfffffff007bea000
0xfffffff009560d48: 00a03991  add	x0, x0, #0xe68
0xfffffff009560d4c: ead5b797  bl	#0xfffffff0083564f4
0xfffffff009560d50: fc0300aa  mov	x28, x0
0xfffffff009560d54: a00000b4  cbz	x0, #0xfffffff009560d68
0xfffffff009560d58: 417100b0  adrp	x1, #0xfffffff00a389000
0xfffffff009560d5c: 21c00391  add	x1, x1, #0xf0
0xfffffff009560d60: 00088052  mov	w0, #0x40
0xfffffff009560d64: 5b09b697  bl	#0xfffffff0082e32d0
0xfffffff009560d68: ff1f00f9  str	xzr, [sp, #0x38]
0xfffffff009560d6c: 080080d2  mov	x8, #0
0xfffffff009560d70: fc3700f9  str	x28, [sp, #0x68]
0xfffffff009560d74: c9fffe90  adrp	x9, #0xfffffff007558000
0xfffffff009560d78: 209540fd  ldr	d0, [x9, #0x128]
0xfffffff009560d7c: e03b00fd  str	d0, [sp, #0x70]
0xfffffff009560d80: fc1300f9  str	x28, [sp, #0x20]
0xfffffff009560d84: 15008052  mov	w21, #0
0xfffffff009560d88: 09210091  add	x9, x8, #8
0xfffffff009560d8c: ca220091  add	x10, x22, #8
0xfffffff009560d90: e85740b9  ldr	w8, [sp, #0x54]
0xfffffff009560d94: 1f010071  cmp	w8, #0
0xfffffff009560d98: f6ab02a9  stp	x22, x10, [sp, #0x28]
0xfffffff009560d9c: 4801899a  csel	x8, x10, x9, eq
0xfffffff009560da0: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff009560da4: 96230091  add	x22, x28, #8
0xfffffff009560da8: c8fffe90  adrp	x8, #0xfffffff007558000
0xfffffff009560dac: 08a140fd  ldr	d8, [x8, #0x140]
0xfffffff009560db0: e82740f9  ldr	x8, [sp, #0x48]
0xfffffff009560db4: 190100b9  str	w25, [x8]
0xfffffff009560db8: e82f40f9  ldr	x8, [sp, #0x58]
0xfffffff009560dbc: 006540f9  ldr	x0, [x8, #0xc8]
0xfffffff009560dc0: e1e30191  add	x1, sp, #0x78
