; Candidate 4221
; ADRP+ADD at VM 0xfffffff0087971cc (fileoff 0x17931cc): page=0x1fe99a000 add_imm=0xd90

0xfffffff00879714c: ecfdff97  bl	#0xfffffff0087968fc
0xfffffff008797150: a0020034  cbz	w0, #0xfffffff0087971a4
0xfffffff008797154: 284eff90  adrp	x8, #0xfffffff00715b000
0xfffffff008797158: 08451491  add	x8, x8, #0x511
0xfffffff00879715c: e80300f9  str	x8, [sp]
0xfffffff008797160: c04cffd0  adrp	x0, #0xfffffff007131000
0xfffffff008797164: 00403691  add	x0, x0, #0xd90
0xfffffff008797168: 2193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879716c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008797170: 834dffb0  adrp	x3, #0xfffffff007148000
0xfffffff008797174: 63442291  add	x3, x3, #0x891
0xfffffff008797178: 02008052  mov	w2, #0
0xfffffff00879717c: ed6fee97  bl	#0xfffffff008333130
0xfffffff008797180: 687241f9  ldr	x8, [x19, #0x2e0]
0xfffffff008797184: 896240b9  ldr	w9, [x20, #0x60]
0xfffffff008797188: 290d4092  and	x9, x9, #0xf
0xfffffff00879718c: 0a178252  mov	w10, #0x10b8
0xfffffff008797190: 21210a9b  madd	x1, x9, x10, x8
0xfffffff008797194: e00313aa  mov	x0, x19
0xfffffff008797198: 92f9ff97  bl	#0xfffffff0087957e0
0xfffffff00879719c: 75278052  mov	w21, #0x13b
0xfffffff0087971a0: 1e000014  b	#0xfffffff008797218
0xfffffff0087971a4: 846240b9  ldr	w4, [x20, #0x60]
0xfffffff0087971a8: e1e30091  add	x1, sp, #0x38
0xfffffff0087971ac: e2d30091  add	x2, sp, #0x34
0xfffffff0087971b0: e3c30091  add	x3, sp, #0x30
0xfffffff0087971b4: e00313aa  mov	x0, x19
0xfffffff0087971b8: 5cfeff97  bl	#0xfffffff008796b28
0xfffffff0087971bc: a0050034  cbz	w0, #0xfffffff008797270
0xfffffff0087971c0: 284eff90  adrp	x8, #0xfffffff00715b000
0xfffffff0087971c4: 08451491  add	x8, x8, #0x511
0xfffffff0087971c8: e80300f9  str	x8, [sp]
0xfffffff0087971cc: c04cffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087971d0: 00403691  add	x0, x0, #0xd90
0xfffffff0087971d4: 2193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087971d8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087971dc: 834dffb0  adrp	x3, #0xfffffff007148000
0xfffffff0087971e0: 63ec2291  add	x3, x3, #0x8bb
0xfffffff0087971e4: 02008052  mov	w2, #0
0xfffffff0087971e8: d26fee97  bl	#0xfffffff008333130
0xfffffff0087971ec: 35268052  mov	w21, #0x131
0xfffffff0087971f0: 0a000014  b	#0xfffffff008797218
0xfffffff0087971f4: 603a58f9  ldr	x0, [x19, #0x3070]
0xfffffff0087971f8: 5155d897  bl	#0xfffffff007dac73c
0xfffffff0087971fc: 816240b9  ldr	w1, [x20, #0x60]
0xfffffff008797200: 624241b9  ldr	w2, [x19, #0x140]
0xfffffff008797204: e00313aa  mov	x0, x19
0xfffffff008797208: e30315aa  mov	x3, x21
0xfffffff00879720c: 050080d2  mov	x5, #0
0xfffffff008797210: fce8ff97  bl	#0xfffffff008791600
0xfffffff008797214: f5f6ff34  cbz	w21, #0xfffffff0087970f0
0xfffffff008797218: e13740b9  ldr	w1, [sp, #0x34]
0xfffffff00879721c: 3f040031  cmn	w1, #1
0xfffffff008797220: 60000054  b.eq	#0xfffffff00879722c
0xfffffff008797224: e00313aa  mov	x0, x19
0xfffffff008797228: 98feff97  bl	#0xfffffff008796c88
0xfffffff00879722c: 886640b9  ldr	w8, [x20, #0x64]
0xfffffff008797230: 1fcd0071  cmp	w8, #0x33
0xfffffff008797234: e0000054  b.eq	#0xfffffff008797250
0xfffffff008797238: 816240b9  ldr	w1, [x20, #0x60]
0xfffffff00879723c: 624241b9  ldr	w2, [x19, #0x140]
0xfffffff008797240: e00313aa  mov	x0, x19
0xfffffff008797244: e30315aa  mov	x3, x21
0xfffffff008797248: 050080d2  mov	x5, #0
