; Candidate 5030
; ADRP+ADD at VM 0xfffffff0087d338c (fileoff 0x17cf38c): page=0x1fea16000 add_imm=0xe80

0xfffffff0087d330c: 001c1a91  add	x0, x0, #0x687
0xfffffff0087d3310: f52300a9  stp	x21, x8, [sp]
0xfffffff0087d3314: 5390d797  bl	#0xfffffff007db7460
0xfffffff0087d3318: 25000014  b	#0xfffffff0087d33ac
0xfffffff0087d331c: 15008052  mov	w21, #0
0xfffffff0087d3320: a47e4093  sxtw	x4, w21
0xfffffff0087d3324: c0120011  add	w0, w22, #4
0xfffffff0087d3328: 010080d2  mov	x1, #0
0xfffffff0087d332c: 22008052  mov	w2, #1
0xfffffff0087d3330: 030080d2  mov	x3, #0
0xfffffff0087d3334: 050080d2  mov	x5, #0
0xfffffff0087d3338: f3aae697  bl	#0xfffffff00817df04
0xfffffff0087d333c: 1d000014  b	#0xfffffff0087d33b0
0xfffffff0087d3340: 9b830394  bl	#0xfffffff0088b41ac
0xfffffff0087d3344: f50300aa  mov	x21, x0
0xfffffff0087d3348: a0008052  mov	w0, #5
0xfffffff0087d334c: 41a10294  bl	#0xfffffff00887b850
0xfffffff0087d3350: 68c240b9  ldr	w8, [x19, #0xc0]
0xfffffff0087d3354: e90314aa  mov	x9, x20
0xfffffff0087d3358: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff0087d335c: e851ffd0  adrp	x8, #0xfffffff007211000
0xfffffff0087d3360: 08591891  add	x8, x8, #0x616
0xfffffff0087d3364: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff0087d3368: e8538052  mov	w8, #0x29f
0xfffffff0087d336c: e951ffd0  adrp	x9, #0xfffffff007211000
0xfffffff0087d3370: 29d11991  add	x9, x9, #0x674
0xfffffff0087d3374: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087d3378: e851ffb0  adrp	x8, #0xfffffff007210000
0xfffffff0087d337c: 08712591  add	x8, x8, #0x95c
0xfffffff0087d3380: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d3384: 080a8052  mov	w8, #0x50
0xfffffff0087d3388: f52300a9  stp	x21, x8, [sp]
0xfffffff0087d338c: a050ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d3390: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d3394: a191ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087d3398: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d339c: 4353ff90  adrp	x3, #0xfffffff00723b000
0xfffffff0087d33a0: 635c0691  add	x3, x3, #0x197
0xfffffff0087d33a4: 02008052  mov	w2, #0
0xfffffff0087d33a8: 627fed97  bl	#0xfffffff008333130
0xfffffff0087d33ac: 557e8012  mov	w21, #-0x3f3
0xfffffff0087d33b0: a891ffb0  adrp	x8, #0xfffffff007a08000
0xfffffff0087d33b4: 082542f9  ldr	x8, [x8, #0x448]
0xfffffff0087d33b8: 09210a91  add	x9, x8, #0x288
0xfffffff0087d33bc: 084541f9  ldr	x8, [x8, #0x288]
0xfffffff0087d33c0: e00313aa  mov	x0, x19
0xfffffff0087d33c4: e10314aa  mov	x1, x20
0xfffffff0087d33c8: f10309aa  mov	x17, x9
0xfffffff0087d33cc: d149e3f2  movk	x17, #0x1a4e, lsl #48
0xfffffff0087d33d0: 11093fd7  blraa	x8, x17
0xfffffff0087d33d4: 000a8052  mov	w0, #0x50
0xfffffff0087d33d8: e1008052  mov	w1, #7
0xfffffff0087d33dc: fda00294  bl	#0xfffffff00887b7d0
0xfffffff0087d33e0: 60050034  cbz	w0, #0xfffffff0087d348c
0xfffffff0087d33e4: 000a8052  mov	w0, #0x50
0xfffffff0087d33e8: 0ca10294  bl	#0xfffffff00887b818
0xfffffff0087d33ec: f70300aa  mov	x23, x0
0xfffffff0087d33f0: 6f830394  bl	#0xfffffff0088b41ac
0xfffffff0087d33f4: f60300aa  mov	x22, x0
0xfffffff0087d33f8: e0008052  mov	w0, #7
0xfffffff0087d33fc: 15a10294  bl	#0xfffffff00887b850
0xfffffff0087d3400: d7010034  cbz	w23, #0xfffffff0087d3438
0xfffffff0087d3404: f45703a9  stp	x20, x21, [sp, #0x30]
0xfffffff0087d3408: e851ffd0  adrp	x8, #0xfffffff007211000
