; Candidate 2062
; ADRP+ADD at VM 0xfffffff008551160 (fileoff 0x154d160): page=0x1d84000 add_imm=0xd28

0xfffffff0085510e0: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff0085510e4: ff2303d5  autibsp	
0xfffffff0085510e8: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0085510ec: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0085510f4
0xfffffff0085510f0: 208e38d4  brk	#0xc471
0xfffffff0085510f4: 926de117  b	#0xfffffff007dac73c
0xfffffff0085510f8: 5f2403d5  bti	c
0xfffffff0085510fc: 22a2ff90  adrp	x2, #0xfffffff007995000
0xfffffff008551100: 426845f9  ldr	x2, [x2, #0xad0]
0xfffffff008551104: 500c4df8  ldr	x16, [x2, #0xd0]!
0xfffffff008551108: f10302aa  mov	x17, x2
0xfffffff00855110c: 31ffe2f2  movk	x17, #0x17f9, lsl #48
0xfffffff008551110: 110a1fd7  braa	x16, x17
0xfffffff008551114: 7f2303d5  pacibsp	
0xfffffff008551118: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00855111c: fd030091  mov	x29, sp
0xfffffff008551120: 007040f9  ldr	x0, [x0, #0xe0]
0xfffffff008551124: b8564c94  bl	#0xfffffff009866c04
0xfffffff008551128: 1f000071  cmp	w0, #0
0xfffffff00855112c: 48588052  mov	w8, #0x2c2
0xfffffff008551130: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff008551134: e013881a  csel	w0, wzr, w8, ne
0xfffffff008551138: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00855113c: ff0f5fd6  retab	
0xfffffff008551140: 7f2303d5  pacibsp	
0xfffffff008551144: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff008551148: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff00855114c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008551150: fd830091  add	x29, sp, #0x20
0xfffffff008551154: f40301aa  mov	x20, x1
0xfffffff008551158: f50300aa  mov	x21, x0
0xfffffff00855115c: 162440f9  ldr	x22, [x0, #0x48]
0xfffffff008551160: 20ec0090  adrp	x0, #0xfffffff00a2d5000
0xfffffff008551164: 00a03491  add	x0, x0, #0xd28
0xfffffff008551168: 100040f9  ldr	x16, [x0]
0xfffffff00855116c: f10300aa  mov	x17, x0
0xfffffff008551170: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008551174: 301ac1da  autda	x16, x17
0xfffffff008551178: 088e46f8  ldr	x8, [x16, #0x68]!
0xfffffff00855117c: e90310aa  mov	x9, x16
0xfffffff008551180: f10309aa  mov	x17, x9
0xfffffff008551184: 31c0e2f2  movk	x17, #0x1601, lsl #48
0xfffffff008551188: 11093fd7  blraa	x8, x17
0xfffffff00855118c: 600500b4  cbz	x0, #0xfffffff008551238
0xfffffff008551190: f30300aa  mov	x19, x0
0xfffffff008551194: e10316aa  mov	x1, x22
0xfffffff008551198: 020080d2  mov	x2, #0
0xfffffff00855119c: 9aafff97  bl	#0xfffffff00853d004
0xfffffff0085511a0: 80030036  tbz	w0, #0, #0xfffffff008551210
0xfffffff0085511a4: a07240f9  ldr	x0, [x21, #0xe0]
0xfffffff0085511a8: e10313aa  mov	x1, x19
0xfffffff0085511ac: 2c564c94  bl	#0xfffffff009866a5c
0xfffffff0085511b0: c0040034  cbz	w0, #0xfffffff008551248
0xfffffff0085511b4: f603002a  mov	w22, w0
0xfffffff0085511b8: 960200f9  str	x22, [x20]
0xfffffff0085511bc: 681240f9  ldr	x8, [x19, #0x20]
0xfffffff0085511c0: 880600f9  str	x8, [x20, #8]
0xfffffff0085511c4: b52640f9  ldr	x21, [x21, #0x48]
0xfffffff0085511c8: 88ec8752  mov	w8, #0x3f64
0xfffffff0085511cc: a86a6838  ldrb	w8, [x21, x8]
0xfffffff0085511d0: c8011836  tbz	w8, #3, #0xfffffff008551208
0xfffffff0085511d4: 741240f9  ldr	x20, [x19, #0x20]
0xfffffff0085511d8: a0b65ff9  ldr	x0, [x21, #0x3f68]
0xfffffff0085511dc: 3c6ae197  bl	#0xfffffff007dabacc
