; Candidate 8753
; ADRP+ADD at VM 0xfffffff0088c3290 (fileoff 0x18bf290): page=0x1fe926000 add_imm=0xe80

0xfffffff0088c3210: 4e01088b  add	x14, x10, x8
0xfffffff0088c3214: cd110139  strb	w13, [x14, #0x44]
0xfffffff0088c3218: 08050091  add	x8, x8, #1
0xfffffff0088c321c: ad8a80b9  ldrsw	x13, [x21, #0x88]
0xfffffff0088c3220: 1f010deb  cmp	x8, x13
0xfffffff0088c3224: cbfdff54  b.lt	#0xfffffff0088c31dc
0xfffffff0088c3228: 16008052  mov	w22, #0
0xfffffff0088c322c: 22000014  b	#0xfffffff0088c32b4
0xfffffff0088c3230: 3f3a00b9  str	wzr, [x17, #0x38]
0xfffffff0088c3234: 28fcff35  cbnz	w8, #0xfffffff0088c31b8
0xfffffff0088c3238: 16008052  mov	w22, #0
0xfffffff0088c323c: 3f3e00b9  str	wzr, [x17, #0x3c]
0xfffffff0088c3240: 1d000014  b	#0xfffffff0088c32b4
0xfffffff0088c3244: dac3ff97  bl	#0xfffffff0088b41ac
0xfffffff0088c3248: f60300aa  mov	x22, x0
0xfffffff0088c324c: 80008052  mov	w0, #4
0xfffffff0088c3250: 80e1fe97  bl	#0xfffffff00887b850
0xfffffff0088c3254: e80314aa  mov	x8, x20
0xfffffff0088c3258: e87f04a9  stp	x8, xzr, [sp, #0x40]
0xfffffff0088c325c: e80313aa  mov	x8, x19
0xfffffff0088c3260: 694bffb0  adrp	x9, #0xfffffff007230000
0xfffffff0088c3264: 29991e91  add	x9, x9, #0x7a6
0xfffffff0088c3268: e92303a9  stp	x9, x8, [sp, #0x30]
0xfffffff0088c326c: 48cc8152  mov	w8, #0xe62
0xfffffff0088c3270: 894bfff0  adrp	x9, #0xfffffff007236000
0xfffffff0088c3274: 297d3191  add	x9, x9, #0xc5f
0xfffffff0088c3278: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088c327c: 884bfff0  adrp	x8, #0xfffffff007236000
0xfffffff0088c3280: 083d3791  add	x8, x8, #0xdcf
0xfffffff0088c3284: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088c3288: 08098052  mov	w8, #0x48
0xfffffff0088c328c: f62300a9  stp	x22, x8, [sp]
0xfffffff0088c3290: 2049ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088c3294: 00003a91  add	x0, x0, #0xe80
0xfffffff0088c3298: 218affb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088c329c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088c32a0: 034dfff0  adrp	x3, #0xfffffff007266000
0xfffffff0088c32a4: 63e03d91  add	x3, x3, #0xf78
0xfffffff0088c32a8: 02008052  mov	w2, #0
0xfffffff0088c32ac: a1bfe997  bl	#0xfffffff008333130
0xfffffff0088c32b0: 167d8012  mov	w22, #-0x3e9
0xfffffff0088c32b4: 00098052  mov	w0, #0x48
0xfffffff0088c32b8: e1008052  mov	w1, #7
0xfffffff0088c32bc: 45e1fe97  bl	#0xfffffff00887b7d0
0xfffffff0088c32c0: 80050034  cbz	w0, #0xfffffff0088c3370
0xfffffff0088c32c4: 00098052  mov	w0, #0x48
0xfffffff0088c32c8: 54e1fe97  bl	#0xfffffff00887b818
0xfffffff0088c32cc: f80300aa  mov	x24, x0
0xfffffff0088c32d0: b7c3ff97  bl	#0xfffffff0088b41ac
0xfffffff0088c32d4: f70300aa  mov	x23, x0
0xfffffff0088c32d8: e0008052  mov	w0, #7
0xfffffff0088c32dc: 5de1fe97  bl	#0xfffffff00887b850
0xfffffff0088c32e0: d8010034  cbz	w24, #0xfffffff0088c3318
0xfffffff0088c32e4: f55b03a9  stp	x21, x22, [sp, #0x30]
0xfffffff0088c32e8: e80314aa  mov	x8, x20
0xfffffff0088c32ec: e90313aa  mov	x9, x19
0xfffffff0088c32f0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088c32f4: 884bfff0  adrp	x8, #0xfffffff007236000
0xfffffff0088c32f8: 087d3191  add	x8, x8, #0xc5f
0xfffffff0088c32fc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088c3300: 08098052  mov	w8, #0x48
0xfffffff0088c3304: 804bfff0  adrp	x0, #0xfffffff007236000
0xfffffff0088c3308: 00b43491  add	x0, x0, #0xd2d
0xfffffff0088c330c: f72300a9  stp	x23, x8, [sp]
