; Candidate 14073
; ADRP+ADD at VM 0xfffffff0096bb9c4 (fileoff 0x26b79c4): page=0x1fded3000 add_imm=0xd78

0xfffffff0096bb944: 400300b4  cbz	x0, #0xfffffff0096bb9ac
0xfffffff0096bb948: 700240f9  ldr	x16, [x19]
0xfffffff0096bb94c: f10313aa  mov	x17, x19
0xfffffff0096bb950: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096bb954: 301ac1da  autda	x16, x17
0xfffffff0096bb958: 116e80d2  mov	x17, #0x370
0xfffffff0096bb95c: 1002118b  add	x16, x16, x17
0xfffffff0096bb960: 080240f9  ldr	x8, [x16]
0xfffffff0096bb964: e90310aa  mov	x9, x16
0xfffffff0096bb968: e00313aa  mov	x0, x19
0xfffffff0096bb96c: f10309aa  mov	x17, x9
0xfffffff0096bb970: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0096bb974: 11093fd7  blraa	x8, x17
0xfffffff0096bb978: 100040f9  ldr	x16, [x0]
0xfffffff0096bb97c: f10300aa  mov	x17, x0
0xfffffff0096bb980: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096bb984: 301ac1da  autda	x16, x17
0xfffffff0096bb988: 113d80d2  mov	x17, #0x1e8
0xfffffff0096bb98c: 1002118b  add	x16, x16, x17
0xfffffff0096bb990: 080240f9  ldr	x8, [x16]
0xfffffff0096bb994: e90310aa  mov	x9, x16
0xfffffff0096bb998: 010080d2  mov	x1, #0
0xfffffff0096bb99c: f10309aa  mov	x17, x9
0xfffffff0096bb9a0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0096bb9a4: 11093fd7  blraa	x8, x17
0xfffffff0096bb9a8: 03000014  b	#0xfffffff0096bb9b4
0xfffffff0096bb9ac: 80f6fed0  adrp	x0, #0xfffffff00758d000
0xfffffff0096bb9b0: 007c1f91  add	x0, x0, #0x7df
0xfffffff0096bb9b4: 88f6fef0  adrp	x8, #0xfffffff00758e000
0xfffffff0096bb9b8: 089d3891  add	x8, x8, #0xe27
0xfffffff0096bb9bc: e05301a9  stp	x0, x20, [sp, #0x10]
0xfffffff0096bb9c0: f52300a9  stp	x21, x8, [sp]
0xfffffff0096bb9c4: 80f6fef0  adrp	x0, #0xfffffff00758e000
0xfffffff0096bb9c8: 00e03591  add	x0, x0, #0xd78
0xfffffff0096bb9cc: 956db297  bl	#0xfffffff008357020
0xfffffff0096bb9d0: 700240f9  ldr	x16, [x19]
0xfffffff0096bb9d4: d01ac1da  autda	x16, x22
0xfffffff0096bb9d8: 080e42f8  ldr	x8, [x16, #0x20]!
0xfffffff0096bb9dc: e90310aa  mov	x9, x16
0xfffffff0096bb9e0: e00313aa  mov	x0, x19
0xfffffff0096bb9e4: f10309aa  mov	x17, x9
0xfffffff0096bb9e8: 51c9e5f2  movk	x17, #0x2e4a, lsl #48
0xfffffff0096bb9ec: 11093fd7  blraa	x8, x17
0xfffffff0096bb9f0: 60d640f9  ldr	x0, [x19, #0x1a8]
0xfffffff0096bb9f4: e203142a  mov	w2, w20
0xfffffff0096bb9f8: 100040f9  ldr	x16, [x0]
0xfffffff0096bb9fc: f10300aa  mov	x17, x0
0xfffffff0096bba00: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096bba04: 301ac1da  autda	x16, x17
0xfffffff0096bba08: 088e4ef8  ldr	x8, [x16, #0xe8]!
0xfffffff0096bba0c: e90310aa  mov	x9, x16
0xfffffff0096bba10: 100000f0  adrp	x16, #0xfffffff0096be000
0xfffffff0096bba14: 10120e91  add	x16, x16, #0x384
0xfffffff0096bba18: 31a897d2  mov	x17, #0xbd41
0xfffffff0096bba1c: 3002c1da  pacia	x16, x17
0xfffffff0096bba20: e10310aa  mov	x1, x16
0xfffffff0096bba24: 030080d2  mov	x3, #0
0xfffffff0096bba28: 040080d2  mov	x4, #0
0xfffffff0096bba2c: 050080d2  mov	x5, #0
0xfffffff0096bba30: f10309aa  mov	x17, x9
0xfffffff0096bba34: f13ffff2  movk	x17, #0xf9ff, lsl #48
0xfffffff0096bba38: 11093fd7  blraa	x8, x17
0xfffffff0096bba3c: f40300aa  mov	x20, x0
0xfffffff0096bba40: 700240f9  ldr	x16, [x19]
