; Candidate 8865
; ADRP+ADD at VM 0xfffffff0088e7538 (fileoff 0x18e3538): page=0x1ff12f000 add_imm=0xd98

0xfffffff0088e74b8: e0000034  cbz	w0, #0xfffffff0088e74d4
0xfffffff0088e74bc: e00317aa  mov	x0, x23
0xfffffff0088e74c0: e10318aa  mov	x1, x24
0xfffffff0088e74c4: 02008052  mov	w2, #0
0xfffffff0088e74c8: e3031baa  mov	x3, x27
0xfffffff0088e74cc: 192fe997  bl	#0xfffffff008333130
0xfffffff0088e74d0: 17000014  b	#0xfffffff0088e752c
0xfffffff0088e74d4: e00314aa  mov	x0, x20
0xfffffff0088e74d8: 010080d2  mov	x1, #0
0xfffffff0088e74dc: d9000094  bl	#0xfffffff0088e7840
0xfffffff0088e74e0: e0000034  cbz	w0, #0xfffffff0088e74fc
0xfffffff0088e74e4: e00317aa  mov	x0, x23
0xfffffff0088e74e8: e10318aa  mov	x1, x24
0xfffffff0088e74ec: 02008052  mov	w2, #0
0xfffffff0088e74f0: e3031aaa  mov	x3, x26
0xfffffff0088e74f4: 0f2fe997  bl	#0xfffffff008333130
0xfffffff0088e74f8: 0d000014  b	#0xfffffff0088e752c
0xfffffff0088e74fc: e00314aa  mov	x0, x20
0xfffffff0088e7500: 010c8052  mov	w1, #0x60
0xfffffff0088e7504: e20316aa  mov	x2, x22
0xfffffff0088e7508: e30313aa  mov	x3, x19
0xfffffff0088e750c: 24008052  mov	w4, #1
0xfffffff0088e7510: fbfeff97  bl	#0xfffffff0088e70fc
0xfffffff0088e7514: 20010034  cbz	w0, #0xfffffff0088e7538
0xfffffff0088e7518: e00317aa  mov	x0, x23
0xfffffff0088e751c: e10318aa  mov	x1, x24
0xfffffff0088e7520: 02008052  mov	w2, #0
0xfffffff0088e7524: e30319aa  mov	x3, x25
0xfffffff0088e7528: 022fe997  bl	#0xfffffff008333130
0xfffffff0088e752c: 9c070051  sub	w28, w28, #1
0xfffffff0088e7530: 9f1f0072  tst	w28, #0xff
0xfffffff0088e7534: 81fbff54  b.ne	#0xfffffff0088e74a4
0xfffffff0088e7538: 6089fff0  adrp	x0, #0xfffffff007a16000
0xfffffff0088e753c: 00603691  add	x0, x0, #0xd98
0xfffffff0088e7540: e10315aa  mov	x1, x21
0xfffffff0088e7544: 72bce997  bl	#0xfffffff00835670c
0xfffffff0088e7548: 13008052  mov	w19, #0
0xfffffff0088e754c: e00313aa  mov	x0, x19
0xfffffff0088e7550: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0088e7554: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0088e7558: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0088e755c: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0088e7560: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff0088e7564: fc6f42a9  ldp	x28, x27, [sp, #0x20]
0xfffffff0088e7568: ff030291  add	sp, sp, #0x80
0xfffffff0088e756c: ff0f5fd6  retab	
0xfffffff0088e7570: 7f2303d5  pacibsp	
0xfffffff0088e7574: ff4302d1  sub	sp, sp, #0x90
0xfffffff0088e7578: fc6f03a9  stp	x28, x27, [sp, #0x30]
0xfffffff0088e757c: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff0088e7580: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff0088e7584: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff0088e7588: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff0088e758c: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff0088e7590: fd030291  add	x29, sp, #0x80
0xfffffff0088e7594: f30303aa  mov	x19, x3
0xfffffff0088e7598: f40302aa  mov	x20, x2
0xfffffff0088e759c: f50300aa  mov	x21, x0
0xfffffff0088e75a0: e1bf0039  strb	w1, [sp, #0x2f]
0xfffffff0088e75a4: 1a018052  mov	w26, #8
0xfffffff0088e75a8: 3b428052  mov	w27, #0x211
0xfffffff0088e75ac: 164cfff0  adrp	x22, #0xfffffff00726a000
0xfffffff0088e75b0: d6c20c91  add	x22, x22, #0x330
0xfffffff0088e75b4: 5789ffd0  adrp	x23, #0xfffffff007a11000
