; Candidate 14215
; ADRP+ADD at VM 0xfffffff00974f774 (fileoff 0x274b774): page=0xc3c000 add_imm=0xd58

0xfffffff00974f6f4: 51c9e5f2  movk	x17, #0x2e4a, lsl #48
0xfffffff00974f6f8: 11093fd7  blraa	x8, x17
0xfffffff00974f6fc: e00313aa  mov	x0, x19
0xfffffff00974f700: effeff97  bl	#0xfffffff00974f2bc
0xfffffff00974f704: e8f301b2  mov	x8, #-0x5555555555555556
0xfffffff00974f708: e80f00f9  str	x8, [sp, #0x18]
0xfffffff00974f70c: 10000090  adrp	x16, #0xfffffff00974f000
0xfffffff00974f710: 10422791  add	x16, x16, #0x9d0
0xfffffff00974f714: f1a09ad2  mov	x17, #0xd507
0xfffffff00974f718: 3002c1da  pacia	x16, x17
0xfffffff00974f71c: e00310aa  mov	x0, x16
0xfffffff00974f720: e2630091  add	x2, sp, #0x18
0xfffffff00974f724: e10313aa  mov	x1, x19
0xfffffff00974f728: 286a9a97  bl	#0xfffffff007de9fc8
0xfffffff00974f72c: f60300aa  mov	x22, x0
0xfffffff00974f730: 900240f9  ldr	x16, [x20]
0xfffffff00974f734: f10314aa  mov	x17, x20
0xfffffff00974f738: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974f73c: 301ac1da  autda	x16, x17
0xfffffff00974f740: f10310aa  mov	x17, x16
0xfffffff00974f744: f147c1da  xpacd	x17
0xfffffff00974f748: 1f0211eb  cmp	x16, x17
0xfffffff00974f74c: 40000054  b.eq	#0xfffffff00974f754
0xfffffff00974f750: 408e38d4  brk	#0xc472
0xfffffff00974f754: 08021591  add	x8, x16, #0x540
0xfffffff00974f758: 09a242f9  ldr	x9, [x16, #0x540]
0xfffffff00974f75c: e00314aa  mov	x0, x20
0xfffffff00974f760: f10308aa  mov	x17, x8
0xfffffff00974f764: 5188f3f2  movk	x17, #0x9c42, lsl #48
0xfffffff00974f768: 31093fd7  blraa	x9, x17
0xfffffff00974f76c: 000600b4  cbz	x0, #0xfffffff00974f82c
0xfffffff00974f770: f70300aa  mov	x23, x0
0xfffffff00974f774: e0610090  adrp	x0, #0xfffffff00a38b000
0xfffffff00974f778: 00603591  add	x0, x0, #0xd58
0xfffffff00974f77c: 7754ae97  bl	#0xfffffff0082e4958
0xfffffff00974f780: f80300aa  mov	x24, x0
0xfffffff00974f784: f00240f9  ldr	x16, [x23]
0xfffffff00974f788: f10317aa  mov	x17, x23
0xfffffff00974f78c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974f790: 301ac1da  autda	x16, x17
0xfffffff00974f794: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff00974f798: e90310aa  mov	x9, x16
0xfffffff00974f79c: e00317aa  mov	x0, x23
0xfffffff00974f7a0: f10309aa  mov	x17, x9
0xfffffff00974f7a4: f1c0e6f2  movk	x17, #0x3607, lsl #48
0xfffffff00974f7a8: 11093fd7  blraa	x8, x17
0xfffffff00974f7ac: f90300aa  mov	x25, x0
0xfffffff00974f7b0: 900240f9  ldr	x16, [x20]
0xfffffff00974f7b4: f10314aa  mov	x17, x20
0xfffffff00974f7b8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974f7bc: 301ac1da  autda	x16, x17
0xfffffff00974f7c0: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff00974f7c4: e90310aa  mov	x9, x16
0xfffffff00974f7c8: e00314aa  mov	x0, x20
0xfffffff00974f7cc: f10309aa  mov	x17, x9
0xfffffff00974f7d0: f1c0e6f2  movk	x17, #0x3607, lsl #48
0xfffffff00974f7d4: 11093fd7  blraa	x8, x17
0xfffffff00974f7d8: f40300aa  mov	x20, x0
0xfffffff00974f7dc: 700240f9  ldr	x16, [x19]
0xfffffff00974f7e0: f10313aa  mov	x17, x19
0xfffffff00974f7e4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974f7e8: 301ac1da  autda	x16, x17
0xfffffff00974f7ec: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff00974f7f0: e90310aa  mov	x9, x16
