; Candidate 3588
; ADRP+ADD at VM 0xfffffff00874726c (fileoff 0x174326c): page=0x1fe9ea000 add_imm=0xd90

0xfffffff0087471ec: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff0087471f0: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff0087471f4: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff0087471f8: fd830191  add	x29, sp, #0x60
0xfffffff0087471fc: f50300aa  mov	x21, x0
0xfffffff008747200: 281040f9  ldr	x8, [x1, #0x20]
0xfffffff008747204: 000940f9  ldr	x0, [x8, #0x10]
0xfffffff008747208: 800200b4  cbz	x0, #0xfffffff008747258
0xfffffff00874720c: f80302aa  mov	x24, x2
0xfffffff008747210: f40301aa  mov	x20, x1
0xfffffff008747214: a84e238b  add	x8, x21, w3, uxtw #3
0xfffffff008747218: 176540f9  ldr	x23, [x8, #0xc8]
0xfffffff00874721c: 93578052  mov	w19, #0x2bc
0xfffffff008747220: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008747224: 4ce94d94  bl	#0xfffffff009ac1754
0xfffffff008747228: 400300b4  cbz	x0, #0xfffffff008747290
0xfffffff00874722c: f60300aa  mov	x22, x0
0xfffffff008747230: 1f0b0071  cmp	w24, #2
0xfffffff008747234: 83040054  b.lo	#0xfffffff0087472c4
0xfffffff008747238: 1f0f0071  cmp	w24, #3
0xfffffff00874723c: c0040054  b.eq	#0xfffffff0087472d4
0xfffffff008747240: 1f0b0071  cmp	w24, #2
0xfffffff008747244: a1070054  b.ne	#0xfffffff008747338
0xfffffff008747248: 18008052  mov	w24, #0
0xfffffff00874724c: 24008052  mov	w4, #1
0xfffffff008747250: 970400b5  cbnz	x23, #0xfffffff0087472e0
0xfffffff008747254: 56000014  b	#0xfffffff0087473ac
0xfffffff008747258: 93578052  mov	w19, #0x2bc
0xfffffff00874725c: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008747260: 8850ff90  adrp	x8, #0xfffffff007157000
0xfffffff008747264: 08553691  add	x8, x8, #0xd95
0xfffffff008747268: e80300f9  str	x8, [sp]
0xfffffff00874726c: 404fffd0  adrp	x0, #0xfffffff007131000
0xfffffff008747270: 00403691  add	x0, x0, #0xd90
0xfffffff008747274: a195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008747278: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00874727c: a34ffff0  adrp	x3, #0xfffffff00713e000
0xfffffff008747280: 63d80291  add	x3, x3, #0xb6
0xfffffff008747284: 02008052  mov	w2, #0
0xfffffff008747288: aaafef97  bl	#0xfffffff008333130
0xfffffff00874728c: 48000014  b	#0xfffffff0087473ac
0xfffffff008747290: 73060011  add	w19, w19, #1
0xfffffff008747294: 8850ff90  adrp	x8, #0xfffffff007157000
0xfffffff008747298: 08553691  add	x8, x8, #0xd95
0xfffffff00874729c: e84f00a9  stp	x8, x19, [sp]
0xfffffff0087472a0: 404fffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087472a4: 00403691  add	x0, x0, #0xd90
0xfffffff0087472a8: a195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087472ac: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087472b0: a34ffff0  adrp	x3, #0xfffffff00713e000
0xfffffff0087472b4: 63800391  add	x3, x3, #0xe0
0xfffffff0087472b8: 02008052  mov	w2, #0
0xfffffff0087472bc: 9dafef97  bl	#0xfffffff008333130
0xfffffff0087472c0: 3b000014  b	#0xfffffff0087473ac
0xfffffff0087472c4: 04008052  mov	w4, #0
0xfffffff0087472c8: 38008052  mov	w24, #1
0xfffffff0087472cc: b70000b5  cbnz	x23, #0xfffffff0087472e0
0xfffffff0087472d0: 37000014  b	#0xfffffff0087473ac
0xfffffff0087472d4: 18008052  mov	w24, #0
0xfffffff0087472d8: 44008052  mov	w4, #2
0xfffffff0087472dc: 970600b4  cbz	x23, #0xfffffff0087473ac
0xfffffff0087472e0: ff7f02a9  stp	xzr, xzr, [sp, #0x20]
0xfffffff0087472e4: 9f0a00f9  str	xzr, [x20, #0x10]
0xfffffff0087472e8: e2a30091  add	x2, sp, #0x28
