; Candidate 1403
; ADRP+ADD at VM 0xfffffff0083a6384 (fileoff 0x13a2384): page=0x1e72000 add_imm=0xe40

0xfffffff0083a6304: a80000b4  cbz	x8, #0xfffffff0083a6318
0xfffffff0083a6308: a0aefff0  adrp	x0, #0xfffffff00797d000
0xfffffff0083a630c: 00c02a91  add	x0, x0, #0xab0
0xfffffff0083a6310: 3f8ee997  bl	#0xfffffff007e09c0c
0xfffffff0083a6314: 07000014  b	#0xfffffff0083a6330
0xfffffff0083a6318: a8aefff0  adrp	x8, #0xfffffff00797d000
0xfffffff0083a631c: 08dd4ab9  ldr	w8, [x8, #0xadc]
0xfffffff0083a6320: 025d4092  and	x2, x8, #0xffffff
0xfffffff0083a6324: 20acfff0  adrp	x0, #0xfffffff00792d000
0xfffffff0083a6328: 00c01c91  add	x0, x0, #0x730
0xfffffff0083a632c: d001e897  bl	#0xfffffff007da6a6c
0xfffffff0083a6330: 08008092  mov	x8, #-1
0xfffffff0083a6334: 680200f9  str	x8, [x19]
0xfffffff0083a6338: e00313aa  mov	x0, x19
0xfffffff0083a633c: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0083a6340: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0083a6344: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff0083a6348: ff0f5fd6  retab	
0xfffffff0083a634c: e10314aa  mov	x1, x20
0xfffffff0083a6350: 02008052  mov	w2, #0
0xfffffff0083a6354: e915e897  bl	#0xfffffff007dabaf8
0xfffffff0083a6358: 87ffff17  b	#0xfffffff0083a6174
0xfffffff0083a635c: e10314aa  mov	x1, x20
0xfffffff0083a6360: 0119e897  bl	#0xfffffff007dac764
0xfffffff0083a6364: 35f5ffb5  cbnz	x21, #0xfffffff0083a6208
0xfffffff0083a6368: ccffff17  b	#0xfffffff0083a6298
0xfffffff0083a636c: e10314aa  mov	x1, x20
0xfffffff0083a6370: fd18e897  bl	#0xfffffff007dac764
0xfffffff0083a6374: c9ffff17  b	#0xfffffff0083a6298
0xfffffff0083a6378: 7f2303d5  pacibsp	
0xfffffff0083a637c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0083a6380: fd030091  mov	x29, sp
0xfffffff0083a6384: 80f300d0  adrp	x0, #0xfffffff00a218000
0xfffffff0083a6388: 00003991  add	x0, x0, #0xe40
0xfffffff0083a638c: c167ffb0  adrp	x1, #0xfffffff00709f000
0xfffffff0083a6390: 21842d91  add	x1, x1, #0xb61
0xfffffff0083a6394: a2f30090  adrp	x2, #0xfffffff00a21a000
0xfffffff0083a6398: 42602191  add	x2, x2, #0x858
0xfffffff0083a639c: 03078052  mov	w3, #0x38
0xfffffff0083a63a0: e6f5fc97  bl	#0xfffffff0082e3b38
0xfffffff0083a63a4: 50acfff0  adrp	x16, #0xfffffff007931000
0xfffffff0083a63a8: 10420991  add	x16, x16, #0x250
0xfffffff0083a63ac: 10420091  add	x16, x16, #0x10
0xfffffff0083a63b0: f10300aa  mov	x17, x0
0xfffffff0083a63b4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0083a63b8: 300ac1da  pacda	x16, x17
0xfffffff0083a63bc: 100000f9  str	x16, [x0]
0xfffffff0083a63c0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0083a63c4: ff0f5fd6  retab	
0xfffffff0083a63c8: 7f2303d5  pacibsp	
0xfffffff0083a63cc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0083a63d0: fd030091  mov	x29, sp
0xfffffff0083a63d4: c167ffb0  adrp	x1, #0xfffffff00709f000
0xfffffff0083a63d8: 21842d91  add	x1, x1, #0xb61
0xfffffff0083a63dc: a2f30090  adrp	x2, #0xfffffff00a21a000
0xfffffff0083a63e0: 42602191  add	x2, x2, #0x858
0xfffffff0083a63e4: 03078052  mov	w3, #0x38
0xfffffff0083a63e8: d4f5fc97  bl	#0xfffffff0082e3b38
0xfffffff0083a63ec: 50acfff0  adrp	x16, #0xfffffff007931000
0xfffffff0083a63f0: 10420991  add	x16, x16, #0x250
0xfffffff0083a63f4: 10420091  add	x16, x16, #0x10
0xfffffff0083a63f8: f10300aa  mov	x17, x0
0xfffffff0083a63fc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0083a6400: 300ac1da  pacda	x16, x17
