; Candidate 4366
; ADRP+ADD at VM 0xfffffff0087a6aec (fileoff 0x17a2aec): page=0x1fe98b000 add_imm=0xd90

0xfffffff0087a6a6c: 06000014  b	#0xfffffff0087a6a84
0xfffffff0087a6a70: 1f010071  cmp	w8, #0
0xfffffff0087a6a74: 68018052  mov	w8, #0xb
0xfffffff0087a6a78: 0905881a  cinc	w9, w8, ne
0xfffffff0087a6a7c: 88008052  mov	w8, #4
0xfffffff0087a6a80: 0805881a  cinc	w8, w8, ne
0xfffffff0087a6a84: 0a518b52  mov	w10, #0x5a88
0xfffffff0087a6a88: eb3740f9  ldr	x11, [sp, #0x68]
0xfffffff0087a6a8c: 6a6d0a9b  madd	x10, x11, x10, x27
0xfffffff0087a6a90: 4a114eb9  ldr	w10, [x10, #0xe10]
0xfffffff0087a6a94: 5f010071  cmp	w10, #0
0xfffffff0087a6a98: 241b407a  ccmp	w25, #0, #4, ne
0xfffffff0087a6a9c: 610e0054  b.ne	#0xfffffff0087a6c68
0xfffffff0087a6aa0: 94030034  cbz	w20, #0xfffffff0087a6b10
0xfffffff0087a6aa4: 9f0e0071  cmp	w20, #3
0xfffffff0087a6aa8: 81000054  b.ne	#0xfffffff0087a6ab8
0xfffffff0087a6aac: 09250051  sub	w9, w8, #9
0xfffffff0087a6ab0: 3f090071  cmp	w9, #2
0xfffffff0087a6ab4: 43010054  b.lo	#0xfffffff0087a6adc
0xfffffff0087a6ab8: 1f690071  cmp	w8, #0x1a
0xfffffff0087a6abc: a8020054  b.hi	#0xfffffff0087a6b10
0xfffffff0087a6ac0: 29008052  mov	w9, #1
0xfffffff0087a6ac4: 2921c81a  lsl	w9, w9, w8
0xfffffff0087a6ac8: 0a98a052  mov	w10, #0x4c00000
0xfffffff0087a6acc: 3f010a6a  tst	w9, w10
0xfffffff0087a6ad0: 00020054  b.eq	#0xfffffff0087a6b10
0xfffffff0087a6ad4: 9f0a0071  cmp	w20, #2
0xfffffff0087a6ad8: c8010054  b.hi	#0xfffffff0087a6b10
0xfffffff0087a6adc: e8d300a9  stp	x8, x20, [sp, #8]
0xfffffff0087a6ae0: 494dffb0  adrp	x9, #0xfffffff00714f000
0xfffffff0087a6ae4: 29bd1991  add	x9, x9, #0x66f
0xfffffff0087a6ae8: e90300f9  str	x9, [sp]
0xfffffff0087a6aec: 404cfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087a6af0: 00403691  add	x0, x0, #0xd90
0xfffffff0087a6af4: a192fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087a6af8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087a6afc: 234dff90  adrp	x3, #0xfffffff00714a000
0xfffffff0087a6b00: 63502b91  add	x3, x3, #0xad4
0xfffffff0087a6b04: 02008052  mov	w2, #0
0xfffffff0087a6b08: 8a31ee97  bl	#0xfffffff008333130
0xfffffff0087a6b0c: f7020014  b	#0xfffffff0087a76e8
0xfffffff0087a6b10: f01300f9  str	x16, [sp, #0x20]
0xfffffff0087a6b14: fa030faa  mov	x26, x15
0xfffffff0087a6b18: 08b6a552  mov	w8, #0x2db00000
0xfffffff0087a6b1c: 085b00b9  str	w8, [x24, #0x58]
0xfffffff0087a6b20: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff0087a6b24: 100040f9  ldr	x16, [x0]
0xfffffff0087a6b28: f10300aa  mov	x17, x0
0xfffffff0087a6b2c: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff0087a6b30: 301ac1da  autda	x16, x17
0xfffffff0087a6b34: 080e4cf8  ldr	x8, [x16, #0xc0]!
0xfffffff0087a6b38: e90310aa  mov	x9, x16
0xfffffff0087a6b3c: f10309aa  mov	x17, x9
0xfffffff0087a6b40: f177e0f2  movk	x17, #0x3bf, lsl #48
0xfffffff0087a6b44: 11093fd7  blraa	x8, x17
0xfffffff0087a6b48: e0000034  cbz	w0, #0xfffffff0087a6b64
0xfffffff0087a6b4c: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff0087a6b50: 08894cb9  ldr	w8, [x8, #0xc88]
0xfffffff0087a6b54: 1f090071  cmp	w8, #2
0xfffffff0087a6b58: e8179f1a  cset	w8, eq
0xfffffff0087a6b5c: 08491353  lsl	w8, w8, #0xd
0xfffffff0087a6b60: 02000014  b	#0xfffffff0087a6b68
0xfffffff0087a6b64: 08008052  mov	w8, #0
0xfffffff0087a6b68: e15340b9  ldr	w1, [sp, #0x50]
