; Candidate 6952
; ADRP+ADD at VM 0xfffffff00884c568 (fileoff 0x1848568): page=0x1fe9d9000 add_imm=0xea8

0xfffffff00884c4e8: 62820191  add	x2, x19, #0x60
0xfffffff00884c4ec: 01008052  mov	w1, #0
0xfffffff00884c4f0: 06c80094  bl	#0xfffffff00887e508
0xfffffff00884c4f4: a0070034  cbz	w0, #0xfffffff00884c5e8
0xfffffff00884c4f8: f80300aa  mov	x24, x0
0xfffffff00884c4fc: e00d8052  mov	w0, #0x6f
0xfffffff00884c500: 81008052  mov	w1, #4
0xfffffff00884c504: b3bc0094  bl	#0xfffffff00887b7d0
0xfffffff00884c508: 00100034  cbz	w0, #0xfffffff00884c708
0xfffffff00884c50c: e00d8052  mov	w0, #0x6f
0xfffffff00884c510: c2bc0094  bl	#0xfffffff00887b818
0xfffffff00884c514: fa0300aa  mov	x26, x0
0xfffffff00884c518: 259f0194  bl	#0xfffffff0088b41ac
0xfffffff00884c51c: f90300aa  mov	x25, x0
0xfffffff00884c520: 80008052  mov	w0, #4
0xfffffff00884c524: cbbc0094  bl	#0xfffffff00887b850
0xfffffff00884c528: 9a140034  cbz	w26, #0xfffffff00884c7b8
0xfffffff00884c52c: 884240b9  ldr	w8, [x20, #0x40]
0xfffffff00884c530: f7cf05a9  stp	x23, x19, [sp, #0x58]
0xfffffff00884c534: f5db04a9  stp	x21, x22, [sp, #0x48]
0xfffffff00884c538: 294eff90  adrp	x9, #0xfffffff007210000
0xfffffff00884c53c: 2ab92791  add	x10, x9, #0x9ee
0xfffffff00884c540: f4a303a9  stp	x20, x8, [sp, #0x38]
0xfffffff00884c544: 28078052  mov	w8, #0x39
0xfffffff00884c548: c94effb0  adrp	x9, #0xfffffff007225000
0xfffffff00884c54c: 29c13991  add	x9, x9, #0xe70
0xfffffff00884c550: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00884c554: c84efff0  adrp	x8, #0xfffffff007227000
0xfffffff00884c558: 08811191  add	x8, x8, #0x460
0xfffffff00884c55c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00884c560: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00884c564: e80d8052  mov	w8, #0x6f
0xfffffff00884c568: c04effb0  adrp	x0, #0xfffffff007225000
0xfffffff00884c56c: 00a03a91  add	x0, x0, #0xea8
0xfffffff00884c570: f92300a9  stp	x25, x8, [sp]
0xfffffff00884c574: bbabd597  bl	#0xfffffff007db7460
0xfffffff00884c578: 64000014  b	#0xfffffff00884c708
0xfffffff00884c57c: 800c8052  mov	w0, #0x64
0xfffffff00884c580: 81008052  mov	w1, #4
0xfffffff00884c584: 93bc0094  bl	#0xfffffff00887b7d0
0xfffffff00884c588: e00b0034  cbz	w0, #0xfffffff00884c704
0xfffffff00884c58c: 800c8052  mov	w0, #0x64
0xfffffff00884c590: a2bc0094  bl	#0xfffffff00887b818
0xfffffff00884c594: f80300aa  mov	x24, x0
0xfffffff00884c598: 059f0194  bl	#0xfffffff0088b41ac
0xfffffff00884c59c: f40300aa  mov	x20, x0
0xfffffff00884c5a0: 80008052  mov	w0, #4
0xfffffff00884c5a4: abbc0094  bl	#0xfffffff00887b850
0xfffffff00884c5a8: 18080034  cbz	w24, #0xfffffff00884c6a8
0xfffffff00884c5ac: f74f04a9  stp	x23, x19, [sp, #0x40]
0xfffffff00884c5b0: f55b03a9  stp	x21, x22, [sp, #0x30]
0xfffffff00884c5b4: c84effb0  adrp	x8, #0xfffffff007225000
0xfffffff00884c5b8: 08053a91  add	x8, x8, #0xe81
0xfffffff00884c5bc: c9038052  mov	w9, #0x1e
0xfffffff00884c5c0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00884c5c4: c84effb0  adrp	x8, #0xfffffff007225000
0xfffffff00884c5c8: 08c13991  add	x8, x8, #0xe70
0xfffffff00884c5cc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00884c5d0: 880c8052  mov	w8, #0x64
0xfffffff00884c5d4: c04effb0  adrp	x0, #0xfffffff007225000
0xfffffff00884c5d8: 00cc3891  add	x0, x0, #0xe33
0xfffffff00884c5dc: f42300a9  stp	x20, x8, [sp]
0xfffffff00884c5e0: a0abd597  bl	#0xfffffff007db7460
0xfffffff00884c5e4: 48000014  b	#0xfffffff00884c704
