; Candidate 15458
; ADRP+ADD at VM 0xfffffff009bb8574 (fileoff 0x2bb4574): page=0x1fda85000 add_imm=0xdbe

0xfffffff009bb84f4: 290140b9  ldr	w9, [x9]
0xfffffff009bb84f8: e9150036  tbz	w9, #0, #0xfffffff009bb87b4
0xfffffff009bb84fc: e91700f9  str	x9, [sp, #0x28]
0xfffffff009bb8500: 0913f036  tbz	w9, #0x1e, #0xfffffff009bb8760
0xfffffff009bb8504: 66568c97  bl	#0xfffffff007ecde9c
0xfffffff009bb8508: 1f040071  cmp	w0, #1
0xfffffff009bb850c: 81120054  b.ne	#0xfffffff009bb875c
0xfffffff009bb8510: 680a4039  ldrb	w8, [x19, #2]
0xfffffff009bb8514: 08711912  and	w8, w8, #0xffffff8f
0xfffffff009bb8518: a90e4039  ldrb	w9, [x21, #3]
0xfffffff009bb851c: 2ad4feb0  adrp	x10, #0xfffffff00763d000
0xfffffff009bb8520: 4a553091  add	x10, x10, #0xc15
0xfffffff009bb8524: 2bd4feb0  adrp	x11, #0xfffffff00763d000
0xfffffff009bb8528: 6bdd2491  add	x11, x11, #0x937
0xfffffff009bb852c: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009bb8530: eb2b00a9  stp	x11, x10, [sp]
0xfffffff009bb8534: 20d4feb0  adrp	x0, #0xfffffff00763d000
0xfffffff009bb8538: 00103891  add	x0, x0, #0xe04
0xfffffff009bb853c: b97a9e97  bl	#0xfffffff008357020
0xfffffff009bb8540: 9d000014  b	#0xfffffff009bb87b4
0xfffffff009bb8544: 1602f036  tbz	w22, #0x1e, #0xfffffff009bb8584
0xfffffff009bb8548: 55568c97  bl	#0xfffffff007ecde9c
0xfffffff009bb854c: 680a4039  ldrb	w8, [x19, #2]
0xfffffff009bb8550: 1f040071  cmp	w0, #1
0xfffffff009bb8554: 81010054  b.ne	#0xfffffff009bb8584
0xfffffff009bb8558: 08711912  and	w8, w8, #0xffffff8f
0xfffffff009bb855c: 29d4feb0  adrp	x9, #0xfffffff00763d000
0xfffffff009bb8560: 29553091  add	x9, x9, #0xc15
0xfffffff009bb8564: 2ad4feb0  adrp	x10, #0xfffffff00763d000
0xfffffff009bb8568: 4add2491  add	x10, x10, #0x937
0xfffffff009bb856c: ea2700a9  stp	x10, x9, [sp]
0xfffffff009bb8570: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009bb8574: 20d4feb0  adrp	x0, #0xfffffff00763d000
0xfffffff009bb8578: 00f83691  add	x0, x0, #0xdbe
0xfffffff009bb857c: a97a9e97  bl	#0xfffffff008357020
0xfffffff009bb8580: 80ffff17  b	#0xfffffff009bb8380
0xfffffff009bb8584: c9020012  and	w9, w22, #1
0xfffffff009bb8588: 29791f53  lsl	w9, w9, #1
0xfffffff009bb858c: 22011f52  eor	w2, w9, #2
0xfffffff009bb8590: e9118052  mov	w9, #0x8f
0xfffffff009bb8594: 0801090a  and	w8, w8, w9
0xfffffff009bb8598: 4909ff90  adrp	x9, #0xfffffff007ce0000
0xfffffff009bb859c: 295146f9  ldr	x9, [x9, #0xca0]
0xfffffff009bb85a0: 210140f9  ldr	x1, [x9]
0xfffffff009bb85a4: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009bb85a8: 28d4feb0  adrp	x8, #0xfffffff00763d000
0xfffffff009bb85ac: 08553091  add	x8, x8, #0xc15
0xfffffff009bb85b0: 29d4feb0  adrp	x9, #0xfffffff00763d000
0xfffffff009bb85b4: 29dd2491  add	x9, x9, #0x937
0xfffffff009bb85b8: e92300a9  stp	x9, x8, [sp]
0xfffffff009bb85bc: 20d4fe90  adrp	x0, #0xfffffff00763c000
0xfffffff009bb85c0: 00003191  add	x0, x0, #0xc40
0xfffffff009bb85c4: 63d4fef0  adrp	x3, #0xfffffff007647000
0xfffffff009bb85c8: 63681091  add	x3, x3, #0x41a
0xfffffff009bb85cc: d9ea9d97  bl	#0xfffffff008333130
0xfffffff009bb85d0: 16008052  mov	w22, #0
0xfffffff009bb85d4: 6cffff17  b	#0xfffffff009bb8384
0xfffffff009bb85d8: a80e4039  ldrb	w8, [x21, #3]
0xfffffff009bb85dc: e91740f9  ldr	x9, [sp, #0x28]
0xfffffff009bb85e0: 29010012  and	w9, w9, #1
0xfffffff009bb85e4: 29791f53  lsl	w9, w9, #1
0xfffffff009bb85e8: 22011f52  eor	w2, w9, #2
0xfffffff009bb85ec: 690a4039  ldrb	w9, [x19, #2]
0xfffffff009bb85f0: 29711912  and	w9, w9, #0xffffff8f
