; Candidate 16344
; ADRP+ADD at VM 0xfffffff009e671a0 (fileoff 0x2e631a0): page=0x56c000 add_imm=0xe30

0xfffffff009e67120: ea470139  strb	w10, [sp, #0x51]
0xfffffff009e67124: 50f6fed0  adrp	x16, #0xfffffff007d31000
0xfffffff009e67128: 10221a91  add	x16, x16, #0x688
0xfffffff009e6712c: 10620091  add	x16, x16, #0x18
0xfffffff009e67130: f10308aa  mov	x17, x8
0xfffffff009e67134: 3185eef2  movk	x17, #0x7429, lsl #48
0xfffffff009e67138: 300ac1da  pacda	x16, x17
0xfffffff009e6713c: f01300f9  str	x16, [sp, #0x20]
0xfffffff009e67140: 50f6fed0  adrp	x16, #0xfffffff007d31000
0xfffffff009e67144: 10221a91  add	x16, x16, #0x688
0xfffffff009e67148: 10420191  add	x16, x16, #0x50
0xfffffff009e6714c: f10309aa  mov	x17, x9
0xfffffff009e67150: 1188fef2  movk	x17, #0xf440, lsl #48
0xfffffff009e67154: 300ac1da  pacda	x16, x17
0xfffffff009e67158: f04700f9  str	x16, [sp, #0x88]
0xfffffff009e6715c: 886240f9  ldr	x8, [x20, #0xc0]
0xfffffff009e67160: 091940f9  ldr	x9, [x8, #0x30]
0xfffffff009e67164: 29017eb2  orr	x9, x9, #4
0xfffffff009e67168: 091900f9  str	x9, [x8, #0x30]
0xfffffff009e6716c: e0830091  add	x0, sp, #0x20
0xfffffff009e67170: d52cff97  bl	#0xfffffff009e324c4
0xfffffff009e67174: f70300aa  mov	x23, x0
0xfffffff009e67178: c0010034  cbz	w0, #0xfffffff009e671b0
0xfffffff009e6717c: e8cdfe90  adrp	x8, #0xfffffff007823000
0xfffffff009e67180: 08190191  add	x8, x8, #0x46
0xfffffff009e67184: 69068052  mov	w9, #0x33
0xfffffff009e67188: e9df00a9  stp	x9, x23, [sp, #8]
0xfffffff009e6718c: e80300f9  str	x8, [sp]
0xfffffff009e67190: e0cdfe90  adrp	x0, #0xfffffff007823000
0xfffffff009e67194: 00600091  add	x0, x0, #0x18
0xfffffff009e67198: cb610094  bl	#0xfffffff009e7f8c4
0xfffffff009e6719c: 613b0011  add	w1, w27, #0xe
0xfffffff009e671a0: 602b0090  adrp	x0, #0xfffffff00a3d3000
0xfffffff009e671a4: 00c03891  add	x0, x0, #0xe30
0xfffffff009e671a8: e20317aa  mov	x2, x23
0xfffffff009e671ac: 612cff97  bl	#0xfffffff009e32330
0xfffffff009e671b0: b80300b4  cbz	x24, #0xfffffff009e67224
0xfffffff009e671b4: 682b0090  adrp	x8, #0xfffffff00a3d3000
0xfffffff009e671b8: 08c13891  add	x8, x8, #0xe30
0xfffffff009e671bc: 090140f9  ldr	x9, [x8]
0xfffffff009e671c0: 090300f9  str	x9, [x24]
0xfffffff009e671c4: 090940b9  ldr	w9, [x8, #8]
0xfffffff009e671c8: 090b00b9  str	w9, [x24, #8]
0xfffffff009e671cc: 00c1c03c  ldur	q0, [x8, #0xc]
0xfffffff009e671d0: 01c1c13c  ldur	q1, [x8, #0x1c]
0xfffffff009e671d4: 09c142f8  ldur	x9, [x8, #0x2c]
0xfffffff009e671d8: 09c302f8  stur	x9, [x24, #0x2c]
0xfffffff009e671dc: 01c3813c  stur	q1, [x24, #0x1c]
0xfffffff009e671e0: 00c3803c  stur	q0, [x24, #0xc]
0xfffffff009e671e4: 093540b9  ldr	w9, [x8, #0x34]
0xfffffff009e671e8: 093700b9  str	w9, [x24, #0x34]
0xfffffff009e671ec: 0081c43c  ldur	q0, [x8, #0x48]
0xfffffff009e671f0: 0181c53c  ldur	q1, [x8, #0x58]
0xfffffff009e671f4: 0281c63c  ldur	q2, [x8, #0x68]
0xfffffff009e671f8: 0381c73c  ldur	q3, [x8, #0x78]
0xfffffff009e671fc: 0383873c  stur	q3, [x24, #0x78]
0xfffffff009e67200: 0283863c  stur	q2, [x24, #0x68]
0xfffffff009e67204: 0183853c  stur	q1, [x24, #0x58]
0xfffffff009e67208: 0083843c  stur	q0, [x24, #0x48]
0xfffffff009e6720c: 0081c33c  ldur	q0, [x8, #0x38]
0xfffffff009e67210: 0083833c  stur	q0, [x24, #0x38]
0xfffffff009e67214: 098940b9  ldr	w9, [x8, #0x88]
0xfffffff009e67218: 098b00b9  str	w9, [x24, #0x88]
0xfffffff009e6721c: 089940b9  ldr	w8, [x8, #0x98]
