; Candidate 13075
; ADRP+ADD at VM 0xfffffff0091e00f0 (fileoff 0x21dc0f0): page=0x1fe2bf000 add_imm=0xcfa

0xfffffff0091e0070: f30301aa  mov	x19, x1
0xfffffff0091e0074: f40300aa  mov	x20, x0
0xfffffff0091e0078: 284dffb0  adrp	x8, #0xfffffff007b85000
0xfffffff0091e007c: 08e144f9  ldr	x8, [x8, #0x9c0]
0xfffffff0091e0080: 010140f9  ldr	x1, [x8]
0xfffffff0091e0084: e00313aa  mov	x0, x19
0xfffffff0091e0088: 1b0fc497  bl	#0xfffffff0082e3cf4
0xfffffff0091e008c: f50300aa  mov	x21, x0
0xfffffff0091e0090: 800000b5  cbnz	x0, #0xfffffff0091e00a0
0xfffffff0091e0094: e015fff0  adrp	x0, #0xfffffff00749f000
0xfffffff0091e0098: 00c83291  add	x0, x0, #0xcb2
0xfffffff0091e009c: e1dbc597  bl	#0xfffffff008357020
0xfffffff0091e00a0: b00240f9  ldr	x16, [x21]
0xfffffff0091e00a4: f10315aa  mov	x17, x21
0xfffffff0091e00a8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091e00ac: 301ac1da  autda	x16, x17
0xfffffff0091e00b0: 112380d2  mov	x17, #0x118
0xfffffff0091e00b4: 1002118b  add	x16, x16, x17
0xfffffff0091e00b8: 080240f9  ldr	x8, [x16]
0xfffffff0091e00bc: e90310aa  mov	x9, x16
0xfffffff0091e00c0: e00315aa  mov	x0, x21
0xfffffff0091e00c4: 01008052  mov	w1, #0
0xfffffff0091e00c8: f10309aa  mov	x17, x9
0xfffffff0091e00cc: 718af0f2  movk	x17, #0x8453, lsl #48
0xfffffff0091e00d0: 11093fd7  blraa	x8, x17
0xfffffff0091e00d4: 284dffb0  adrp	x8, #0xfffffff007b85000
0xfffffff0091e00d8: 08e544f9  ldr	x8, [x8, #0x9c8]
0xfffffff0091e00dc: 160140f9  ldr	x22, [x8]
0xfffffff0091e00e0: e10316aa  mov	x1, x22
0xfffffff0091e00e4: 040fc497  bl	#0xfffffff0082e3cf4
0xfffffff0091e00e8: f70300aa  mov	x23, x0
0xfffffff0091e00ec: 800000b5  cbnz	x0, #0xfffffff0091e00fc
0xfffffff0091e00f0: e015fff0  adrp	x0, #0xfffffff00749f000
0xfffffff0091e00f4: 00e83391  add	x0, x0, #0xcfa
0xfffffff0091e00f8: cadbc597  bl	#0xfffffff008357020
0xfffffff0091e00fc: f00240f9  ldr	x16, [x23]
0xfffffff0091e0100: f10317aa  mov	x17, x23
0xfffffff0091e0104: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091e0108: 301ac1da  autda	x16, x17
0xfffffff0091e010c: 088e49f8  ldr	x8, [x16, #0x98]!
0xfffffff0091e0110: e90310aa  mov	x9, x16
0xfffffff0091e0114: e00317aa  mov	x0, x23
0xfffffff0091e0118: f10309aa  mov	x17, x9
0xfffffff0091e011c: d1d1faf2  movk	x17, #0xd68e, lsl #48
0xfffffff0091e0120: 11093fd7  blraa	x8, x17
0xfffffff0091e0124: 80ea0239  strb	w0, [x20, #0xba]
0xfffffff0091e0128: b00240f9  ldr	x16, [x21]
0xfffffff0091e012c: f10315aa  mov	x17, x21
0xfffffff0091e0130: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091e0134: 301ac1da  autda	x16, x17
0xfffffff0091e0138: f10310aa  mov	x17, x16
0xfffffff0091e013c: f147c1da  xpacd	x17
0xfffffff0091e0140: 1f0211eb  cmp	x16, x17
0xfffffff0091e0144: 40000054  b.eq	#0xfffffff0091e014c
0xfffffff0091e0148: 408e38d4  brk	#0xc472
0xfffffff0091e014c: 08620491  add	x8, x16, #0x118
0xfffffff0091e0150: 098e40f9  ldr	x9, [x16, #0x118]
0xfffffff0091e0154: e00315aa  mov	x0, x21
0xfffffff0091e0158: 21008052  mov	w1, #1
0xfffffff0091e015c: f10308aa  mov	x17, x8
0xfffffff0091e0160: 718af0f2  movk	x17, #0x8453, lsl #48
0xfffffff0091e0164: 31093fd7  blraa	x9, x17
0xfffffff0091e0168: e10316aa  mov	x1, x22
0xfffffff0091e016c: e20ec497  bl	#0xfffffff0082e3cf4
