; Candidate 12573
; ADRP+ADD at VM 0xfffffff0090bf008 (fileoff 0x20bb008): page=0x1fe39a000 add_imm=0xe24

0xfffffff0090bef88: 40b30091  add	x0, x26, #0x2c
0xfffffff0090bef8c: bfb600b1  cmn	x21, #0x2d
0xfffffff0090bef90: e383959a  csel	x3, xzr, x21, hi
0xfffffff0090bef94: e10316aa  mov	x1, x22
0xfffffff0090bef98: e20315aa  mov	x2, x21
0xfffffff0090bef9c: 2d83b797  bl	#0xfffffff007e9fc50
0xfffffff0090befa0: e00314aa  mov	x0, x20
0xfffffff0090befa4: 81058052  mov	w1, #0x2c
0xfffffff0090befa8: 02008052  mov	w2, #0
0xfffffff0090befac: e3031aaa  mov	x3, x26
0xfffffff0090befb0: e40318aa  mov	x4, x24
0xfffffff0090befb4: 050080d2  mov	x5, #0
0xfffffff0090befb8: 060080d2  mov	x6, #0
0xfffffff0090befbc: 519081d2  mov	x17, #0xc82
0xfffffff0090befc0: 710a3fd7  blraa	x19, x17
0xfffffff0090befc4: f30300aa  mov	x19, x0
0xfffffff0090befc8: a0050035  cbnz	w0, #0xfffffff0090bf07c
0xfffffff0090befcc: 9f030091  mov	sp, x28
0xfffffff0090befd0: 48018052  mov	w8, #0xa
0xfffffff0090befd4: 5a1dffd0  adrp	x26, #0xfffffff007468000
0xfffffff0090befd8: 5a473591  add	x26, x26, #0xd51
0xfffffff0090befdc: fc1cfff0  adrp	x28, #0xfffffff00745d000
0xfffffff0090befe0: 9c433c91  add	x28, x28, #0xf10
0xfffffff0090befe4: 899200b0  adrp	x9, #0xfffffff00a30f000
0xfffffff0090befe8: 29410c91  add	x9, x9, #0x310
0xfffffff0090befec: 29014039  ldrb	w9, [x9]
0xfffffff0090beff0: 1f01096b  cmp	w8, w9
0xfffffff0090beff4: 23010054  b.lo	#0xfffffff0090bf018
0xfffffff0090beff8: e80313aa  mov	x8, x19
0xfffffff0090beffc: 087d4093  sxtw	x8, w8
0xfffffff0090bf000: fc6bbea9  stp	x28, x26, [sp, #-0x20]!
0xfffffff0090bf004: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090bf008: c01cffd0  adrp	x0, #0xfffffff007459000
0xfffffff0090bf00c: 00903891  add	x0, x0, #0xe24
0xfffffff0090bf010: 0460ca97  bl	#0xfffffff008357020
0xfffffff0090bf014: ff830091  add	sp, sp, #0x20
0xfffffff0090bf018: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff0090bf01c: 4954ffd0  adrp	x9, #0xfffffff007b49000
0xfffffff0090bf020: 29a541f9  ldr	x9, [x9, #0x348]
0xfffffff0090bf024: 290140f9  ldr	x9, [x9]
0xfffffff0090bf028: 3f0108eb  cmp	x9, x8
0xfffffff0090bf02c: 61080054  b.ne	#0xfffffff0090bf138
0xfffffff0090bf030: e00313aa  mov	x0, x19
0xfffffff0090bf034: bf4301d1  sub	sp, x29, #0x50
0xfffffff0090bf038: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0090bf03c: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0090bf040: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0090bf044: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff0090bf048: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff0090bf04c: fc6fc6a8  ldp	x28, x27, [sp], #0x60
0xfffffff0090bf050: ff0f5fd6  retab	
0xfffffff0090bf054: ffc300d1  sub	sp, sp, #0x30
0xfffffff0090bf058: 48a88052  mov	w8, #0x542
0xfffffff0090bf05c: 491dff90  adrp	x9, #0xfffffff007467000
0xfffffff0090bf060: 29693f91  add	x9, x9, #0xfda
0xfffffff0090bf064: e81300f9  str	x8, [sp, #0x20]
0xfffffff0090bf068: c81cffd0  adrp	x8, #0xfffffff007459000
0xfffffff0090bf06c: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090bf070: 4a1dffb0  adrp	x10, #0xfffffff007468000
0xfffffff0090bf074: 4ad50691  add	x10, x10, #0x1b5
0xfffffff0090bf078: 27000014  b	#0xfffffff0090bf114
0xfffffff0090bf07c: 687e4093  sxtw	x8, w19
0xfffffff0090bf080: ffc300d1  sub	sp, sp, #0x30
0xfffffff0090bf084: c9ad8052  mov	w9, #0x56e
