; Candidate 10416
; ADRP+ADD at VM 0xfffffff008d421b8 (fileoff 0x1d3e1b8): page=0x1fe645000 add_imm=0xe94

0xfffffff008d42138: f9a301a9  stp	x25, x8, [sp, #0x18]
0xfffffff008d4213c: 2832fff0  adrp	x8, #0xfffffff007389000
0xfffffff008d42140: 08811c91  add	x8, x8, #0x720
0xfffffff008d42144: 2932ffb0  adrp	x9, #0xfffffff007387000
0xfffffff008d42148: 29213b91  add	x9, x9, #0xec8
0xfffffff008d4214c: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008d42150: e90300f9  str	x9, [sp]
0xfffffff008d42154: 2032fff0  adrp	x0, #0xfffffff007389000
0xfffffff008d42158: 008c1b91  add	x0, x0, #0x6e3
0xfffffff008d4215c: b153d897  bl	#0xfffffff008357020
0xfffffff008d42160: 7b008012  mov	w27, #-4
0xfffffff008d42164: aeffff17  b	#0xfffffff008d4201c
0xfffffff008d42168: 7f2303d5  pacibsp	
0xfffffff008d4216c: ff8301d1  sub	sp, sp, #0x60
0xfffffff008d42170: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008d42174: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008d42178: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008d4217c: fd430191  add	x29, sp, #0x50
0xfffffff008d42180: a00400b4  cbz	x0, #0xfffffff008d42214
0xfffffff008d42184: f30300aa  mov	x19, x0
0xfffffff008d42188: f403012a  mov	w20, w1
0xfffffff008d4218c: 41010034  cbz	w1, #0xfffffff008d421b4
0xfffffff008d42190: f50313aa  mov	x21, x19
0xfffffff008d42194: f60314aa  mov	x22, x20
0xfffffff008d42198: a00240f9  ldr	x0, [x21]
0xfffffff008d4219c: 600000b4  cbz	x0, #0xfffffff008d421a8
0xfffffff008d421a0: 5a0b0094  bl	#0xfffffff008d44f08
0xfffffff008d421a4: bf0200f9  str	xzr, [x21]
0xfffffff008d421a8: b5220091  add	x21, x21, #8
0xfffffff008d421ac: d60600f1  subs	x22, x22, #1
0xfffffff008d421b0: 41ffff54  b.ne	#0xfffffff008d42198
0xfffffff008d421b4: 94f27dd3  lsl	x20, x20, #3
0xfffffff008d421b8: 2032ffb0  adrp	x0, #0xfffffff007387000
0xfffffff008d421bc: 00503a91  add	x0, x0, #0xe94
0xfffffff008d421c0: 2332ffb0  adrp	x3, #0xfffffff007387000
0xfffffff008d421c4: 63201291  add	x3, x3, #0x488
0xfffffff008d421c8: 2532ffb0  adrp	x5, #0xfffffff007387000
0xfffffff008d421cc: a5343b91  add	x5, x5, #0xecd
0xfffffff008d421d0: e10313aa  mov	x1, x19
0xfffffff008d421d4: e20314aa  mov	x2, x20
0xfffffff008d421d8: 44e08052  mov	w4, #0x702
0xfffffff008d421dc: 8bedff97  bl	#0xfffffff008d3d808
0xfffffff008d421e0: 606cfff0  adrp	x0, #0xfffffff007ad1000
0xfffffff008d421e4: 00203291  add	x0, x0, #0xc88
0xfffffff008d421e8: e10313aa  mov	x1, x19
0xfffffff008d421ec: e20314aa  mov	x2, x20
0xfffffff008d421f0: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008d421f4: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008d421f8: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008d421fc: ff830191  add	sp, sp, #0x60
0xfffffff008d42200: ff2303d5  autibsp	
0xfffffff008d42204: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008d42208: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008d42210
0xfffffff008d4220c: 208e38d4  brk	#0xc471
0xfffffff008d42210: f652d817  b	#0xfffffff008356de8
0xfffffff008d42214: 28df8052  mov	w8, #0x6f9
0xfffffff008d42218: 2932ffb0  adrp	x9, #0xfffffff007387000
0xfffffff008d4221c: 29211291  add	x9, x9, #0x488
0xfffffff008d42220: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008d42224: 2832fff0  adrp	x8, #0xfffffff007389000
0xfffffff008d42228: 08811c91  add	x8, x8, #0x720
0xfffffff008d4222c: 2a32ffb0  adrp	x10, #0xfffffff007387000
0xfffffff008d42230: 4a553991  add	x10, x10, #0xe55
0xfffffff008d42234: ffa300a9  stp	xzr, x8, [sp, #8]
